name,englishName,year,director,cinima,playTime,endTime
情书,Love Letter,1995,,小西天(2),2025-01-02 18:30:00,2025-01-02 20:27:00
没有航标的河流,River Without Buoys,1983,,小西天,2025-01-02 19:00:00,2025-01-02 20:29:00
金色茧房,Inside the Yellow Cocoon Shell,2023,,小西天(2),2025-01-03 18:30:00,2025-01-03 21:29:00
盗马贼,The Horse Thief,1986,,小西天,2025-01-03 19:00:00,2025-01-03 20:28:00
佛罗里达乐园,The Florida Project,2017,,百子湾,2025-01-03 19:00:00,2025-01-03 20:51:00
逍遥骑士,Easy Rider,1969,,小西天,2025-01-04 11:00:00,2025-01-04 12:36:00
伴我同行,Stand by Me,1986,,小西天,2025-01-04 13:15:00,2025-01-04 14:44:00
哀乐中年,Sorrows and Joys of a Middle-Aged Man,1949,,百子湾,2025-01-04 13:30:00,2025-01-04 15:19:00
新世纪福音战士新剧场版：序,EVANGELION:1.0 YOU ARE (NOT) ALONE.,2007,,小西天,2025-01-04 15:30:00,2025-01-04 17:11:00
随心所欲,My Life to Live,1962,,百子湾,2025-01-04 16:00:00,2025-01-04 17:24:00
法外之徒,Band of Outsiders,1964,,百子湾,2025-01-04 18:00:00,2025-01-04 19:35:00
新世纪福音战士新剧场版：破,EVANGELION:2.0 YOU CAN (NOT) ADVANCE.,2009,,小西天,2025-01-04 18:00:00,2025-01-04 19:52:00
克莱默夫妇,Kramer vs. Kramer,1979,,小西天,2025-01-05 11:00:00,2025-01-05 12:45:00
大河恋,A River Runs Through It,1992,,小西天,2025-01-05 13:30:00,2025-01-05 15:33:00
牛奶配送员的奇幻人生,On the Milky Road,2016,,百子湾,2025-01-05 13:30:00,2025-01-05 15:35:00
黑猫白猫,"Black Cat, White Cat",1998,,百子湾,2025-01-05 16:00:00,2025-01-05 18:09:00
新世纪福音战士新剧场版：Q,EVANGELION:3.0 YOU CAN (NOT) REDO.,2012,,小西天,2025-01-05 16:15:00,2025-01-05 17:51:00
新世纪福音战士新剧场版：终,EVANGELION:3.0+1.0 THRICE UPON A TIME,2021,,小西天,2025-01-05 18:30:00,2025-01-05 21:04:00
地下,Underground,1995,,百子湾,2025-01-05 18:40:00,2025-01-05 21:30:00
野猪林,Wild Boar Forest,1962,,小西天(2),2025-01-07 18:30:00,2025-01-07 20:45:00
邪恶不存在,Evil Does Not Exist,2023,,小西天,2025-01-07 19:00:00,2025-01-07 20:46:00
中央车站,Central Station,1998,,小西天(2),2025-01-08 18:30:00,2025-01-08 20:23:00
误佳期,Spoiling the Wedding Day,1951,,百子湾,2025-01-08 19:00:00,2025-01-08 20:50:00
青春之歌,Song of Youth,1959,,小西天,2025-01-08 19:00:00,2025-01-08 21:44:00
