name,englishName,year,director,cinima,playTime,endTime
天堂旅行团,Always Have Always Will,2025,,小西天,2025-05-01 09:30:00,2025-05-01 11:08:00
朱同在三年级丢失了超能力,Day Dreaming,2024,,小西天,2025-05-01 11:40:00,2025-05-01 13:18:00
爆款好人,The Hutong Cowboy,2024,,小西天,2025-05-01 13:40:00,2025-05-01 15:33:00
从21世纪安全撤离,Evacuate from the 21st Century,2024,,小西天,2025-05-01 16:00:00,2025-05-01 17:38:00
野孩子,Stand By Me,2024,,小西天,2025-05-01 18:00:00,2025-05-01 20:07:00
想飞的女孩,Girls on Wire,2025,,小西天,2025-05-02 09:30:00,2025-05-02 11:24:00
妈妈和七天的时间,Mama,2024,,小西天,2025-05-02 12:00:00,2025-05-02 14:13:00
康熙与路易十四,Kangxi and Louis XIV,2024,,小西天,2025-05-02 14:40:00,2025-05-02 16:18:00
里斯本丸沉没,The Sinking of the Lisbon Maru,2024,,小西天,2025-05-02 16:40:00,2025-05-02 18:42:00
出走的决心,Like  A Rolling Stone,2024,,小西天,2025-05-03 09:30:00,2025-05-03 11:16:00
小小的我,Big World,2025,,小西天,2025-05-03 12:00:00,2025-05-03 14:11:00
不说话的爱,Mumu,2025,,小西天,2025-05-03 14:35:00,2025-05-03 16:26:00
幸运阁,The Fortune Tower / Revisit,2024,,小西天,2025-05-03 16:50:00,2025-05-03 18:19:00
好东西,Herstory,2024,,小西天,2025-05-03 18:40:00,2025-05-03 20:43:00
东四十条,Dance Still,2025,,小西天,2025-05-04 09:30:00,2025-05-04 11:03:00
最后的告别,The White Cow,2024,,小西天,2025-05-04 12:00:00,2025-05-04 13:47:00
雄狮少年2,I Am What I Am 2,2024,,小西天,2025-05-04 14:20:00,2025-05-04 16:33:00
走走停停,Gold or Shit,2024,,小西天,2025-05-04 17:00:00,2025-05-04 18:43:00
倒仓,The Midsummers Voice,2024,,小西天,2025-05-04 19:10:00,2025-05-04 20:51:00
游园惊梦,Sweet Dream in the Garden,1960,,小西天(2),2025-05-06 18:30:00,2025-05-06 19:37:00
德州巴黎,"Paris, Texas",1984,,小西天,2025-05-06 19:00:00,2025-05-06 21:25:00
佛罗里达乐园,The Florida Project,2017,,小西天(2),2025-05-07 18:30:00,2025-05-07 20:21:00
世界儿女,Children of the World,1941,,小西天,2025-05-07 19:00:00,2025-05-07 20:31:00
假凤虚凰,Phony Phoenixes,1947,,百子湾,2025-05-07 19:00:00,2025-05-07 20:31:00
白丝带,The White Ribbon,2009,,小西天(2),2025-05-08 18:30:00,2025-05-08 20:53:00
铁皮鼓,The Tin Drum,1979,,小西天,2025-05-08 19:00:00,2025-05-08 21:23:00
战争天堂,Paradise,2016,,小西天(2),2025-05-09 18:30:00,2025-05-09 20:36:00
影子部队,The Army of Shadows,1969,,百子湾,2025-05-09 19:00:00,2025-05-09 21:24:00
帝国的毁灭,Downfall,2004,,小西天,2025-05-09 19:00:00,2025-05-09 21:35:00
背靠背，脸对脸,"Back to Back, Face to Face",1994,,小西天,2025-05-10 11:00:00,2025-05-10 13:28:00
灿烂人生,The Best of Youth,2003,,百子湾,2025-05-10 13:30:00,2025-05-10 19:36:00
这个杀手不太冷,Leon,1994,,小西天,2025-05-10 14:10:00,2025-05-10 16:23:00
红辣椒,Paprika,2006,,小西天,2025-05-10 17:00:00,2025-05-10 18:30:00
穆赫兰道,Mulholland Drive,2001,,小西天,2025-05-10 19:10:00,2025-05-10 21:37:00
大法官金斯伯格,RBG,2018,,小西天,2025-05-11 10:30:00,2025-05-11 12:08:00
阮玲玉,Center Stage,1991,,小西天,2025-05-11 13:00:00,2025-05-11 15:35:00
脐带,The Cord of Life,2023,,百子湾,2025-05-11 13:30:00,2025-05-11 15:06:00
让娜·迪尔曼,"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",1975,,百子湾,2025-05-11 15:40:00,2025-05-11 19:01:00
步履不停,Still Walking,2008,,小西天,2025-05-11 16:20:00,2025-05-11 18:15:00
东京塔,Tokyo Tower,2007,,小西天,2025-05-11 19:00:00,2025-05-11 21:22:00
锁麟囊,The Unicorn Purse,2008,,小西天(2),2025-05-13 18:30:00,2025-05-13 20:35:00
宇宙探索编辑部,Journey to the West,2023,,小西天,2025-05-13 19:00:00,2025-05-13 20:58:00
八座山,The Eight Mountains,2022,,小西天(2),2025-05-14 18:30:00,2025-05-14 20:56:00
夜店,Night Inn,1947,,百子湾,2025-05-14 19:00:00,2025-05-14 20:51:00
太太万岁,Long Live the Mistresses,1947,,小西天,2025-05-14 19:00:00,2025-05-14 20:53:00
我这一辈子,This Life of Mine,2024,,小西天(2),2025-05-15 18:30:00,2025-05-15 20:06:00
超脱,Detachment,2011,,小西天,2025-05-15 19:00:00,2025-05-15 20:34:00
特写,Close-Up,1990,,小西天(2),2025-05-16 18:30:00,2025-05-16 20:08:00
新红楼梦,Modern Red Chamber Dream,1952,,小西天,2025-05-16 19:00:00,2025-05-16 20:58:00
诗,Poetry,2010,,百子湾,2025-05-16 19:00:00,2025-05-16 21:19:00
说谎世界,The Awful Truth,1950,,小西天,2025-05-17 10:30:00,2025-05-17 12:28:00
恐惧的代价,The Wages of Fear,1953,,百子湾,2025-05-17 13:30:00,2025-05-17 16:03:00
扒手,Pickpocket,1959,,小西天,2025-05-17 14:00:00,2025-05-17 15:16:00
家家户户,Neighbours All,1954,,小西天(2),2025-05-17 14:00:00,2025-05-17 16:10:00
穆赫兰道,Mulholland Drive,2001,,小西天,2025-05-17 16:00:00,2025-05-17 18:27:00
恶魔,Diabolique,1955,,百子湾,2025-05-17 16:30:00,2025-05-17 18:27:00
我是一个女人,It So Happens to a Woman,1955,,小西天(2),2025-05-17 17:00:00,2025-05-17 18:48:00
摩托日记,The Motorcycle Diaries,2004,,百子湾,2025-05-17 19:00:00,2025-05-17 21:06:00
故园春梦,Garden of Repose,1964,,小西天,2025-05-17 19:30:00,2025-05-17 21:03:00
罗拉快跑,Lola Runs,1998,,小西天,2025-05-18 11:00:00,2025-05-18 12:16:00
父子情,Father and Son,1981,,小西天,2025-05-18 13:00:00,2025-05-18 14:37:00
顽主,The Trouble-shooters,1988,,百子湾,2025-05-18 13:30:00,2025-05-18 15:14:00
驴子巴特萨,Au hasard Balthazar,1966,,百子湾,2025-05-18 15:45:00,2025-05-18 17:20:00
书剑恩仇录,The Romance of Book and Sword,1987,,小西天(2),2025-05-18 16:00:00,2025-05-18 17:28:00
罗曼蒂克消亡史,The Wasted Times,2016,,小西天,2025-05-18 16:10:00,2025-05-18 18:12:00
穆谢特,Mouchette,1967,,百子湾,2025-05-18 18:00:00,2025-05-18 19:21:00
人在纽约,Full Moon in New York,1990,,小西天,2025-05-18 19:00:00,2025-05-18 20:29:00
花为媒,Rose as a Go-between,1963,,小西天(2),2025-05-20 18:30:00,2025-05-20 20:22:00
两小无猜,Love Me If You Dare,2003,,小西天,2025-05-20 19:00:00,2025-05-20 20:34:00
搬家,Moving,1993,,小西天(2),2025-05-21 18:30:00,2025-05-21 20:34:00
姊姊妹妹站起来,"Stand up, Sisters",1951,,百子湾,2025-05-21 19:00:00,2025-05-21 20:29:00
艳阳天,Bright Day,1948,,小西天,2025-05-21 19:00:00,2025-05-21 20:40:00
腐蚀,Corrosion,1950,,小西天(2),2025-05-22 18:30:00,2025-05-22 20:59:00
中国白雪公主,Chinese Princess Snow White,1940,,小西天,2025-05-22 19:00:00,2025-05-22 20:41:00
诗,Poetry,2010,,小西天(2),2025-05-23 18:30:00,2025-05-23 20:49:00
中秋月,Festival Moon,1953,,小西天,2025-05-23 19:00:00,2025-05-23 20:37:00
八座山,The Eight Mountains,2022,,百子湾,2025-05-23 19:00:00,2025-05-23 21:27:00
败家仔,The Prodigal Son,1952,,小西天,2025-05-24 10:30:00,2025-05-24 12:22:00
法式火锅,The Taste of Things,2023,,百子湾,2025-05-24 13:30:00,2025-05-24 15:44:00
原始星球,Fantastic Planet,1973,,小西天,2025-05-24 13:45:00,2025-05-24 14:57:00
彩蝶双飞,Butterfly Couple,1959,,小西天(2),2025-05-24 14:00:00,2025-05-24 15:50:00
