name,englishName,year,cinima,playTime,endTime
刀马旦,Peking Opera Blues,1986,小西天,2023-07-01 10:30:00,2023-07-01 12:14:00
蜀山传,The Legend of Zu,2001,小西天,2023-07-01 13:00:00,2023-07-01 14:44:00
英雄儿女,Yingxiong ernü / Heroic Sons And Daughters / 英雄兒女 / 英雄兒女（2K）,1964,百子湾,2023-07-01 13:30:00,2023-07-01 15:23:00
上甘岭,The Battle of Sangkumaryung Ridge,1956,小西天,2023-07-01 15:30:00,2023-07-01 17:40:00
温蒂妮,Undine,2020,百子湾,2023-07-01 16:00:00,2023-07-01 17:30:00
帕特森,Paterson,2016,百子湾,2023-07-01 18:00:00,2023-07-01 19:58:00
横空出世,Roaring Across the Horizon,1999,小西天,2023-07-01 18:30:00,2023-07-01 20:25:00
驾驶舱,The Cockpit,2015,小西天,2023-07-02 10:30:00,2023-07-02 11:34:00
长滨+密使与看守人,Nagahama+The Courier,2016,小西天,2023-07-02 13:00:00,2023-07-02 14:18:00
又见奈良,Tracing Her Shadow,2020,百子湾,2023-07-02 13:30:00,2023-07-02 15:10:00
加加林,Gagarine,2021,百子湾,2023-07-02 15:40:00,2023-07-02 17:17:00
八月八日+你的鸟儿会唱歌,August 8+And Your Bird Can Sing,2016,小西天,2023-07-02 16:00:00,2023-07-02 17:59:00
当我们仰望天空时看见什么？,What Do We See When We Look at the Sky?,2021,百子湾,2023-07-02 18:00:00,2023-07-02 20:30:00
野性之旅+无言日记2018,Wild Tour+Diary Without Words,2018,小西天,2023-07-02 19:30:00,2023-07-02 21:37:00
碧玉簪,The Jade Hairpin,1962,小西天(2),2023-07-04 18:30:00,2023-07-04 20:39:00
惠子，凝视,"Small, Slow but Steady",2022,小西天,2023-07-04 19:00:00,2023-07-04 20:39:00
南法撩妹记,All Hands on Deck,2020,小西天(2),2023-07-05 18:30:00,2023-07-05 20:05:00
羊城暗哨,Secret Post in Canton,1957,小西天,2023-07-05 19:00:00,2023-07-05 20:37:00
英雄虎胆,Courageous Fighter,1958,百子湾,2023-07-05 19:00:00,2023-07-05 20:30:00
掬水月在手,Like the Dyer's Hand,2020,小西天(2),2023-07-06 18:30:00,2023-07-06 20:30:00
海上钢琴师,The Legend of 1900,1998,小西天,2023-07-06 19:00:00,2023-07-06 21:05:00
九三之夏,Summer 1993,2017,小西天(2),2023-07-07 18:30:00,2023-07-07 20:04:00
摩托日记,The Motorcycle Diaries,2004,百子湾,2023-07-07 19:00:00,2023-07-07 21:06:00
兰心大剧院,Saturday Fiction,2021,小西天,2023-07-07 19:00:00,2023-07-07 21:07:00
牛奶配送员的奇幻人生,On the Milky Road,2016,小西天,2023-07-08 10:30:00,2023-07-08 12:35:00
黑猫白猫,"Black Cat, White Cat",1998,小西天,2023-07-08 13:20:00,2023-07-08 15:29:00
心迷宫,Deep in the Heart,2014,百子湾,2023-07-08 13:30:00,2023-07-08 15:20:00
春天的故事,A Tale of Springtime,1990,百子湾,2023-07-08 16:00:00,2023-07-08 17:47:00
地下,Underground,1995,小西天,2023-07-08 16:10:00,2023-07-08 19:00:00
冬天的故事,A Tale of Winter,1992,百子湾,2023-07-08 18:30:00,2023-07-08 20:24:00
风声,The Message,2009,小西天,2023-07-08 19:45:00,2023-07-08 21:43:00
薄荷糖,Peppermint Candy,1999,小西天,2023-07-09 10:30:00,2023-07-09 12:40:00
绿洲,Oasis,2002,小西天,2023-07-09 13:30:00,2023-07-09 15:43:00
路边野餐,Kaili Blues,2015,百子湾,2023-07-09 13:30:00,2023-07-09 15:20:00
夏天的故事,A Summer's Tale,1996,百子湾,2023-07-09 16:00:00,2023-07-09 17:54:00
被嫌弃的松子的一生,Memories of Matsuko,2006,小西天,2023-07-09 16:30:00,2023-07-09 18:40:00
秋天的故事,Autumn Tale,1998,百子湾,2023-07-09 18:30:00,2023-07-09 20:21:00
金的音像店,Kim's Video,2023,小西天,2023-07-09 19:30:00,2023-07-09 20:58:00
红楼梦,The Dream of Red Mansions,1962,小西天(2),2023-07-11 18:30:00,2023-07-11 21:11:00
随心所欲,My Life to Live,1962,小西天,2023-07-11 19:00:00,2023-07-11 20:24:00
女生们,Schoolgirls,2020,小西天(2),2023-07-12 18:30:00,2023-07-12 20:10:00
冰山上的来客,Visitors on the Icy Mountain,1963,小西天,2023-07-12 19:00:00,2023-07-12 20:46:00
51号兵站,Depot No.51,1961,百子湾,2023-07-12 19:00:00,2023-07-12 20:34:00
空白的13年,blank 13,2017,小西天(2),2023-07-13 18:30:00,2023-07-13 19:40:00
异度空间,Inner Senses,2002,小西天,2023-07-13 19:00:00,2023-07-13 20:36:00
“炼”爱,Hard Love,2021,小西天(2),2023-07-14 18:30:00,2023-07-14 20:07:00
流浪的迪潘,Dheepan,2015,小西天,2023-07-14 19:00:00,2023-07-14 20:55:00
晨光正好,One Fine Morning,2022,百子湾,2023-07-14 19:00:00,2023-07-14 20:57:00
寻子遇仙记,The Kid,1921,小西天,2023-07-15 11:00:00,2023-07-15 11:53:00
淘金记,The Gold Rush,1925,小西天,2023-07-15 13:00:00,2023-07-15 14:12:00
罪与罚,Crime and Punishment,1983,百子湾,2023-07-15 13:30:00,2023-07-15 15:03:00
马戏团,The Circus,1928,小西天,2023-07-15 15:00:00,2023-07-15 16:11:00
卡拉马利联盟,Calamari Union,1985,百子湾,2023-07-15 15:40:00,2023-07-15 17:01:00
哈姆雷特,Hamlet,2015,小西天,2023-07-15 17:00:00,2023-07-15 20:40:00
王子复仇新记,Hamlet Goes Business,1987,百子湾,2023-07-15 17:40:00,2023-07-15 19:09:00
柏林苍穹下,Wings of Desire,1987,小西天,2023-07-16 11:00:00,2023-07-16 13:09:00
坐稳车，泰欣娜,"Take Care of Your Scarf, Tatiana",1994,百子湾,2023-07-16 13:30:00,2023-07-16 14:32:00
咫尺天涯,"Faraway, So Close!",1993,小西天,2023-07-16 14:00:00,2023-07-16 16:26:00
列宁格勒牛仔征美记,Leningrad Cowboys Go America,1989,百子湾,2023-07-16 15:10:00,2023-07-16 16:29:00
列宁格勒牛仔搭摩西,Leningrad Cowboys Meet Moses,1994,百子湾,2023-07-16 17:00:00,2023-07-16 18:34:00
城市之光,City Lights,1931,小西天,2023-07-16 17:10:00,2023-07-16 18:37:00
摩登时代,Modern Times,1936,小西天,2023-07-16 19:30:00,2023-07-16 20:57:00
野猪林,Wild Boar Forest,1962,小西天(2),2023-07-18 18:30:00,2023-07-18 20:45:00
出租车,Taxi Tehran,2015,小西天,2023-07-18 19:00:00,2023-07-18 20:22:00
月升中天,The Moon Has Risen,1955,小西天(2),2023-07-19 18:30:00,2023-07-19 20:12:00
永不消逝的电波,The Eternal Wave,1958,小西天,2023-07-19 19:00:00,2023-07-19 20:54:00
野火春风斗古城,Struggles in An Ancient City,1963,百子湾,2023-07-19 19:00:00,2023-07-19 20:44:00
塔洛,Tharlo,2015,小西天(2),2023-07-20 18:30:00,2023-07-20 20:33:00
晒后假日,Aftersun,2022,小西天,2023-07-20 19:00:00,2023-07-20 20:41:00
秘密图纸,The Secret Blue-print,1965,小西天(2),2023-07-21 18:30:00,2023-07-21 19:47:00
霍华德庄园,Howards End,1992,百子湾,2023-07-21 19:00:00,2023-07-21 21:22:00
托里和洛奇塔,Tori and Lokita,2022,小西天,2023-07-21 19:00:00,2023-07-21 20:28:00
咖啡公社,Cafe Society,2016,小西天,2023-07-22 10:30:00,2023-07-22 12:02:00
大独裁者,The Great Dictator,1940,小西天,2023-07-22 13:00:00,2023-07-22 15:05:00
两天一夜,"Two Days, One Night",2014,百子湾,2023-07-22 13:30:00,2023-07-22 15:05:00
无名女孩,The Unknown Girl,2016,百子湾,2023-07-22 15:40:00,2023-07-22 17:26:00
凡尔杜先生,Monsieur Verdoux,1947,小西天,2023-07-22 16:00:00,2023-07-22 18:04:00
年轻的阿迈德,Young Ahmed,2019,百子湾,2023-07-22 18:00:00,2023-07-22 19:24:00
少年派的奇幻漂流,Life of Pi,2023,小西天,2023-07-22 19:00:00,2023-07-22 21:22:00
特写,Close-Up,1990,小西天,2023-07-23 11:00:00,2023-07-23 12:38:00
了不起的巴斯特,The Great Buster: A Celebration,2018,百子湾,2023-07-23 13:30:00,2023-07-23 15:12:00
菊次郎的夏天,Kikujiro,1999,小西天,2023-07-23 13:30:00,2023-07-23 15:31:00
奥逊·威尔斯的眼睛,The Eyes of Orson Welles,2018,百子湾,2023-07-23 16:00:00,2023-07-23 17:50:00
卓别林短片精选,The Chaplin Revue,1959,小西天,2023-07-23 16:20:00,2023-07-23 18:16:00
布努埃尔在神龟迷宫中,Buñuel in the Labyrinth of the Turtles,2018,百子湾,2023-07-23 18:30:00,2023-07-23 19:50:00
舞台春秋,Limelight,1952,小西天,2023-07-23 19:00:00,2023-07-23 21:17:00
