name,englishName,year,director,cinima,playTime,endTime
云霄之上,Beyond the Skies,2021,,百子湾,2025-08-01 18:30:00,2025-08-01 20:00:00
火腿黑面包,Ham on Rye,2019,,小西天,2025-08-01 19:00:00,2025-08-01 20:25:00
记忆,Memoria,2021,,小西天,2025-08-02 10:15:00,2025-08-02 12:31:00
塞壬拓扑学,Topology of Sirens,2021,,小西天,2025-08-02 13:00:00,2025-08-02 14:46:00
于洛先生的假期,Mr. Hulots Holiday,1953,,百子湾,2025-08-02 13:30:00,2025-08-02 14:58:00
我的舅舅,My Uncle,1958,,百子湾,2025-08-02 15:30:00,2025-08-02 17:26:00
高弧慢球,Eephus,2024,,小西天,2025-08-02 16:15:00,2025-08-02 17:53:00
交通意外,Traffic,1971,,百子湾,2025-08-02 18:00:00,2025-08-02 19:37:00
神来电,Holy Electricity,2024,,小西天,2025-08-02 19:30:00,2025-08-02 21:05:00
遗失的章节,Lost Chapters,2024,,小西天,2025-08-03 11:00:00,2025-08-03 12:07:00
哈珀的彗星,Happer’s Comet,2022,,小西天,2025-08-03 13:00:00,2025-08-03 14:02:00
你的鸟儿会唱歌,And Your Bird Can Sing,2018,,百子湾,2025-08-03 13:30:00,2025-08-03 15:16:00
惠子，凝视,"Small, Slow but Steady",2022,,百子湾,2025-08-03 15:45:00,2025-08-03 17:24:00
米勒角的圣诞夜,Christmas Eve In Miller’s Point,2024,,小西天,2025-08-03 15:45:00,2025-08-03 17:31:00
黎明的一切,All the Long Nights,2024,,百子湾,2025-08-03 18:00:00,2025-08-03 20:00:00
一夜无眠,No Sleep Till,2024,,小西天,2025-08-03 19:00:00,2025-08-03 20:33:00
人·鬼·情,"Woman, Demon, Human",1987,,小西天,2025-08-05 19:00:00,2025-08-05 20:45:00
秘密图纸,The Secret Blue-print,1965,,小西天,2025-08-06 19:00:00,2025-08-06 20:17:00
霓虹灯下的哨兵,Sentinels under Neon Lights,1964,,百子湾,2025-08-06 19:00:00,2025-08-06 20:59:00
村戏,Bangzi Melody,2017,,小西天,2025-08-07 19:00:00,2025-08-07 20:39:00
恋战冲绳,Okinawa: Rendez-vous,2000,,百子湾,2025-08-08 19:00:00,2025-08-08 20:39:00
爱的暂停键,Loveable,2024,,小西天,2025-08-08 19:00:00,2025-08-08 20:41:00
黑猫警长全集,Inspector Black Cat,1984,,小西天,2025-08-09 10:30:00,2025-08-09 12:10:00
梦,Dreams (Sex Love),2024,,小西天,2025-08-09 13:00:00,2025-08-09 14:51:00
好老板,The Good Boss,2021,,百子湾,2025-08-09 13:30:00,2025-08-09 15:30:00
《宇宙探索编辑部》特别活动,Journey to the West,2025,,小西天,2025-08-09 15:30:00,2025-08-09 21:15:00
英雄本色,A Better Tomorrow,1986,,百子湾,2025-08-09 16:00:00,2025-08-09 17:35:00
英雄本色2,A Better Tomorrow II,1987,,百子湾,2025-08-09 18:00:00,2025-08-09 19:45:00
橡皮头,Eraserhead,1977,,小西天,2025-08-10 11:00:00,2025-08-10 12:29:00
双峰：与火同行,Twin Peaks: Fire Walk with Me,1992,,小西天,2025-08-10 13:10:00,2025-08-10 15:25:00
笑傲江湖,Swordsman,1990,,百子湾,2025-08-10 13:30:00,2025-08-10 15:28:00
胭脂扣,Rouge,1987,,百子湾,2025-08-10 16:00:00,2025-08-10 17:37:00
妖夜慌踪,Lost Highway,1997,,小西天,2025-08-10 16:10:00,2025-08-10 18:24:00
阮玲玉,Center Stage,1991,,百子湾,2025-08-10 18:10:00,2025-08-10 20:45:00
穆赫兰道,Mulholland Drive,2001,,小西天,2025-08-10 19:10:00,2025-08-10 21:37:00
遥远的普若岗日,Beyond the Frozen Horizon,2025,,小西天,2025-08-12 19:00:00,2025-08-12 20:35:00
柳堡的故事,The Story of Liubao Village,1957,,小西天,2025-08-13 19:00:00,2025-08-13 20:22:00
野火春风斗古城,Struggles in An Ancient City,1963,,百子湾,2025-08-13 19:00:00,2025-08-13 20:44:00
帝国的毁灭,Downfall,2004,,小西天,2025-08-14 19:00:00,2025-08-14 21:35:00
燃烧的影像,Images on Fire,2015,,百子湾,2025-08-15 19:00:00,2025-08-15 20:36:00
里斯本丸沉没,The Sinking of the Lisbon Maru,2024,,小西天,2025-08-15 19:00:00,2025-08-15 21:02:00
浩劫,Shoah,1985,,小西天,2025-08-16 10:30:00,2025-08-16 19:56:00
农奴,Serfs,1963,,百子湾,2025-08-16 13:30:00,2025-08-16 15:03:00
穆赫兰道,Mulholland Drive,2001,,百子湾,2025-08-16 15:40:00,2025-08-16 18:07:00
铁皮鼓,The Tin Drum,1979,,百子湾,2025-08-16 18:45:00,2025-08-16 21:08:00
晚钟,Evening Bell,1989,,小西天,2025-08-17 10:30:00,2025-08-17 12:00:00
红樱桃,Red Cherry,1995,,小西天,2025-08-17 13:00:00,2025-08-17 15:00:00
红河谷,Red River Valley,1997,,百子湾,2025-08-17 14:00:00,2025-08-17 15:58:00
影子部队,The Army of Shadows,1969,,百子湾,2025-08-17 16:30:00,2025-08-17 18:54:00
再见，孩子们,"Goodbye, Children",1987,,小西天,2025-08-17 16:40:00,2025-08-17 18:25:00
我一无所有：朗兹曼的《浩劫》,All I Had Was Nothingness,2025,,小西天,2025-08-17 19:10:00,2025-08-17 20:44:00
汉娜·阿伦特,Hannah Arendt,2012,,百子湾,2025-08-17 19:30:00,2025-08-17 21:23:00
海上钢琴师,The Legend of 1900,1998,,小西天,2025-08-19 19:00:00,2025-08-19 21:05:00
哥俩好,Good Brothers,1962,,百子湾,2025-08-20 19:00:00,2025-08-20 20:21:00
红色娘子军,Red Detachment of Women,1961,,小西天,2025-08-20 19:00:00,2025-08-20 20:55:00
审判,The Trial,1962,,小西天,2025-08-21 19:00:00,2025-08-21 20:59:00
法外之徒,Band of Outsiders,1964,,百子湾,2025-08-22 19:00:00,2025-08-22 20:35:00
死囚越狱,A Man Escaped,1956,,小西天,2025-08-22 19:00:00,2025-08-22 20:41:00
乱,Revolt,1985,,小西天,2025-08-23 10:30:00,2025-08-23 13:11:00
回西藏,Kong and Jigme,2024,,百子湾,2025-08-23 13:30:00,2025-08-23 15:19:00
尼斯印象,À propos de Nice,1930,,小西天,2025-08-23 14:00:00,2025-08-23 14:24:00
驴子巴特萨,Au hasard Balthazar,1966,,百子湾,2025-08-23 16:00:00,2025-08-23 17:35:00
亚特兰大号,L'Atalante,1934,,小西天,2025-08-23 16:10:00,2025-08-23 17:38:00
穆谢特,Mouchette,1967,,百子湾,2025-08-23 18:00:00,2025-08-23 19:21:00
男人的争斗,Rififi,1955,,小西天,2025-08-23 18:30:00,2025-08-23 20:28:00
大自然对你说了什么,What Does that Nature Say to You,2025,,小西天,2025-08-24 11:00:00,2025-08-24 12:49:00
战争终了,The War Is Over,1966,,小西天,2025-08-24 13:30:00,2025-08-24 15:32:00
我的喜马拉雅,My Himalayas,2019,,百子湾,2025-08-24 14:00:00,2025-08-24 15:30:00
圣女贞德的审判,The Trial of Joan of Arc,1962,,百子湾,2025-08-24 16:00:00,2025-08-24 17:04:00
轻举妄动,Hothead,1979,,小西天,2025-08-24 16:10:00,2025-08-24 17:39:00
钱,Money,1983,,百子湾,2025-08-24 18:30:00,2025-08-24 19:54:00
梵高,Van Gogh,1991,,小西天,2025-08-24 18:30:00,2025-08-24 21:09:00
造梦之家,The Fabelmans,2022,,小西天,2025-08-26 19:00:00,2025-08-26 21:31:00
董存瑞,Dong Cunrui,1955,,小西天,2025-08-27 19:00:00,2025-08-27 20:44:00
白毛女,The White-Haired Girl,1950,,百子湾,2025-08-27 19:00:00,2025-08-27 20:46:00
乱,Revolt,1985,,小西天,2025-08-28 19:00:00,2025-08-28 21:41:00
胭脂扣,Rouge,1987,,百子湾,2025-08-29 19:00:00,2025-08-29 20:37:00
花束般的恋爱,Hanataba mitaina koi o shita,2021,,小西天,2025-08-29 19:00:00,2025-08-29 21:03:00
爱乐之城,La La Land,2016,,小西天,2025-08-30 10:30:00,2025-08-30 12:39:00
漫长的告白,Yanagawa,2021,,百子湾,2025-08-30 13:30:00,2025-08-30 15:23:00
勃朗特姐妹,The Bronte Sisters,1979,,小西天,2025-08-30 13:30:00,2025-08-30 15:30:00
恋战冲绳,Okinawa: Rendez-vous,2000,,百子湾,2025-08-30 16:00:00,2025-08-30 17:39:00
茶花女,Lady of the Camelias,1981,,小西天,2025-08-30 16:10:00,2025-08-30 18:05:00
绿洲,Oasis,2002,,百子湾,2025-08-30 18:10:00,2025-08-30 20:23:00
斯万的爱情,Swann in Love,1984,,小西天,2025-08-30 19:00:00,2025-08-30 20:51:00
穆赫兰道,Mulholland Drive,2001,,小西天,2025-08-31 11:00:00,2025-08-31 13:27:00
脐带,The Cord of Life,2023,,百子湾,2025-08-31 13:30:00,2025-08-31 15:06:00
橡皮头,Eraserhead,1977,,小西天,2025-08-31 14:00:00,2025-08-31 15:29:00
妈妈和七天的时间,Mama,2024,,百子湾,2025-08-31 15:30:00,2025-08-31 17:43:00
双峰：与火同行,Twin Peaks: Fire Walk with Me,1992,,小西天,2025-08-31 16:10:00,2025-08-31 18:25:00
乱,Revolt,1985,,百子湾,2025-08-31 18:10:00,2025-08-31 20:51:00
妖夜慌踪,Lost Highway,1997,,小西天,2025-08-31 19:10:00,2025-08-31 21:24:00
