name,englishName,year,director,cinima,playTime,endTime
漫长的告白,Yanagawa,2021,,小西天(2),2025-02-14 18:30:00,2025-02-14 20:23:00
瑟堡的雨伞,The Umbrellas of Cherbourg,1964,,小西天,2025-02-14 19:00:00,2025-02-14 20:32:00
消失的情人节,My Missing Valentine,2023,,百子湾,2025-02-14 19:00:00,2025-02-14 21:00:00
情书,Love Letter,1995,,小西天,2025-02-15 11:00:00,2025-02-15 12:57:00
面包店的女孩+苏姗娜的故事,The Bakery Girl of Monceau+Suzanne's Career,1963,,百子湾,2025-02-15 13:30:00,2025-02-15 14:48:00
上海小姐,The Lady from Shanghai,1947,,小西天,2025-02-15 13:40:00,2025-02-15 15:07:00
女收藏家,The Collector,1967,,百子湾,2025-02-15 15:20:00,2025-02-15 16:46:00
码头风云,On the Waterfront,1954,,小西天,2025-02-15 16:00:00,2025-02-15 17:48:00
慕德家一夜,My Night at Mauds,1969,,百子湾,2025-02-15 17:15:00,2025-02-15 19:05:00
奇美拉,La Chimera,2023,,小西天,2025-02-15 18:30:00,2025-02-15 20:36:00
罗拉快跑,Lola Runs,1998,,小西天,2025-02-16 11:00:00,2025-02-16 12:16:00
奇爱博士,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,,小西天,2025-02-16 13:00:00,2025-02-16 14:35:00
绿洲,Oasis,2002,,百子湾,2025-02-16 13:30:00,2025-02-16 15:43:00
逍遥骑士,Easy Rider,1969,,小西天,2025-02-16 15:15:00,2025-02-16 16:51:00
克莱尔的膝盖,Claires Knee,1970,,百子湾,2025-02-16 16:15:00,2025-02-16 18:00:00
七武士,Seven Samurai,1954,,小西天,2025-02-16 17:30:00,2025-02-16 20:57:00
午后之爱,Love in the Afternoon,1972,,百子湾,2025-02-16 18:30:00,2025-02-16 20:07:00
追鱼,The Scholar and the Fairy Carp,1959,,小西天(2),2025-02-18 18:30:00,2025-02-18 20:03:00
机器人之梦,Robot Dreams,2023,,小西天,2025-02-18 19:00:00,2025-02-18 20:42:00
这时对，那时错,"Right Now, Wrong Then",2015,,小西天(2),2025-02-19 18:30:00,2025-02-19 20:30:00
女理发师,Woman Barber,1962,,百子湾,2025-02-19 19:00:00,2025-02-19 19:53:00
江湖儿女,The Show Must Go On,1952,,小西天,2025-02-19 19:00:00,2025-02-19 20:34:00
乘船而去,Gone with the Boat,2023,,小西天(2),2025-02-20 18:30:00,2025-02-20 20:09:00
东京塔,Tokyo Tower,2007,,小西天,2025-02-20 19:00:00,2025-02-20 21:22:00
达荷美,Dahomey,2024,,小西天(2),2025-02-21 18:30:00,2025-02-21 19:38:00
尽情游戏,Micmacs,2009,,百子湾,2025-02-21 19:00:00,2025-02-21 20:40:00
厨房,La Cocina,2024,,小西天,2025-02-21 19:00:00,2025-02-21 21:19:00
克莱默夫妇,Kramer vs. Kramer,1979,,小西天,2025-02-22 11:00:00,2025-02-22 12:45:00
土拨鼠之日,Groundhog Day,1993,,小西天,2025-02-22 13:30:00,2025-02-22 15:11:00
家族之苦,What a Wonderful Family!,2016,,百子湾,2025-02-22 13:30:00,2025-02-22 15:18:00
家族之苦2,What a Wonderful Family! II,2017,,百子湾,2025-02-22 15:50:00,2025-02-22 17:43:00
新世纪福音战士新剧场版：序,EVANGELION:1.0 YOU ARE (NOT) ALONE.,2007,,小西天,2025-02-22 16:00:00,2025-02-22 17:41:00
家族之苦3,"Wife, Be Like a Rose: What a Wonderful Family! lll",2018,,百子湾,2025-02-22 18:15:00,2025-02-22 20:18:00
新世纪福音战士新剧场版：破,EVANGELION:2.0 YOU CAN (NOT) ADVANCE.,2009,,小西天,2025-02-22 18:30:00,2025-02-22 20:22:00
大河恋,A River Runs Through It,1992,,小西天,2025-02-23 11:00:00,2025-02-23 13:03:00
白日焰火,"Black Coal, Thin Ice",2014,,百子湾,2025-02-23 13:30:00,2025-02-23 15:15:00
伴我同行,Stand by Me,1986,,小西天,2025-02-23 13:45:00,2025-02-23 15:14:00
中央车站,Central Station,1998,,百子湾,2025-02-23 15:45:00,2025-02-23 17:38:00
新世纪福音战士新剧场版：Q,EVANGELION:3.0 YOU CAN (NOT) REDO.,2012,,小西天,2025-02-23 16:00:00,2025-02-23 17:36:00
摩托日记,The Motorcycle Diaries,2004,,百子湾,2025-02-23 18:10:00,2025-02-23 20:16:00
新世纪福音战士新剧场版：终,EVANGELION:3.0+1.0 THRICE UPON A TIME,2021,,小西天,2025-02-23 18:30:00,2025-02-23 21:04:00
碧玉簪,The Jade Hairpin,1962,,小西天(2),2025-02-25 18:30:00,2025-02-25 20:39:00
国货年,The Year of Chinese Goods,1933,,小西天,2025-02-25 19:00:00,2025-02-25 19:05:00
超脱,Detachment,2011,,小西天(2),2025-02-26 18:30:00,2025-02-26 20:04:00
锦上添花,Better and Better,1962,,小西天,2025-02-26 19:00:00,2025-02-26 20:14:00
艳阳天,Bright Day,1948,,百子湾,2025-02-26 19:00:00,2025-02-26 20:40:00
中间时代,The Middle Ages,2022,,小西天(2),2025-02-27 18:30:00,2025-02-27 19:59:00
邪恶不存在,Evil Does Not Exist,2023,,小西天,2025-02-27 19:00:00,2025-02-27 20:46:00
鸟类变形记,The Metamorphosis of Birds,2020,,小西天(2),2025-02-28 18:30:00,2025-02-28 20:11:00
法外之徒,Band of Outsiders,1964,,小西天,2025-02-28 19:00:00,2025-02-28 20:35:00
激情,Passion,2008,,百子湾,2025-02-28 19:00:00,2025-02-28 20:55:00
