name,englishName,year,director,cinima,playTime,endTime
《乡愁》+《殉道学》特别映后,,1983,,小西天,2025-09-19 19:00:00,2025-09-19 21:06:00
琳达！琳达！琳达！,Linda Linda Linda,2005,,小西天,2025-09-20 10:00:00,2025-09-20 11:55:00
天然子结构,A Gentle Breeze in the Village,2007,,小西天,2025-09-20 13:30:00,2025-09-20 15:31:00
牺牲,The Sacrifice,1986,,百子湾,2025-09-20 13:30:00,2025-09-20 15:59:00
橡皮头,Eraserhead,1977,,百子湾,2025-09-20 16:30:00,2025-09-20 17:59:00
苦役列车,The Drudgery Train,2012,,小西天,2025-09-20 17:00:00,2025-09-20 18:53:00
双峰：与火同行,Twin Peaks: Fire Walk with Me,1992,,百子湾,2025-09-20 18:30:00,2025-09-20 20:45:00
旺角卡门,As Tears Go By,1988,,小西天,2025-09-20 20:30:00,2025-09-20 22:09:00
五至七时的克莱奥,Cleo from 5 to 7,1962,,小西天,2025-09-21 10:30:00,2025-09-21 12:00:00
不求上进的玉子,Moratorium Tamako,2013,,小西天,2025-09-21 13:00:00,2025-09-21 14:18:00
黑道与家族,The Family,2020,,百子湾,2025-09-21 13:30:00,2025-09-21 15:46:00
跨越栅栏,Over the Fence,2016,,小西天,2025-09-21 15:40:00,2025-09-21 17:32:00
妖夜慌踪,Lost Highway,1997,,百子湾,2025-09-21 16:15:00,2025-09-21 18:29:00
去唱卡拉OK吧！,Let's Go Karaoke!,2023,,小西天,2025-09-21 19:00:00,2025-09-21 20:48:00
穆赫兰道,Mulholland Drive,2001,,百子湾,2025-09-21 19:00:00,2025-09-21 21:27:00
卓别林：流浪之心,Charlie Chaplin: The Spirit of the Tramp,2024,,小西天,2025-09-24 14:00:00,2025-09-24 15:30:00
帕特森,Paterson,2016,,小西天(2),2025-09-24 18:30:00,2025-09-24 20:28:00
十字街头,Crossroads,1937,,百子湾,2025-09-24 19:00:00,2025-09-24 20:48:00
乌鸦与麻雀,Crows and Sparrows,1949,,小西天,2025-09-24 19:00:00,2025-09-24 20:52:00
弗兰西丝·哈,Frances Ha,2012,,小西天(2),2025-09-25 18:30:00,2025-09-25 19:56:00
英雄,Hero,2002,,小西天,2025-09-25 19:00:00,2025-09-25 20:39:00
乘船而去,Gone with the Boat,2023,,小西天(2),2025-09-26 18:30:00,2025-09-26 20:09:00
中产阶级的审慎魅力,The Discreet Charm of the Bourgeoisie,1972,,百子湾,2025-09-26 19:00:00,2025-09-26 20:42:00
方形,The Square,2017,,小西天,2025-09-26 19:00:00,2025-09-26 21:31:00
我的甜蜜家园,My Sweet Little Village,1985,,小西天,2025-09-27 11:00:00,2025-09-27 12:43:00
再见，旧时光,The End of Old Times,1989,,小西天,2025-09-27 13:30:00,2025-09-27 15:08:00
相爱相亲,Love Education,2017,,百子湾,2025-09-27 13:30:00,2025-09-27 15:31:00
但愿人长久,Fate of the Moonlight,2025,,小西天(2),2025-09-27 14:00:00,2025-09-27 16:52:00
小妈妈,Little Mom,2021,,百子湾,2025-09-27 16:00:00,2025-09-27 17:12:00
我曾侍候过英国国王,I Served the King of England,2006,,小西天,2025-09-27 16:00:00,2025-09-27 18:00:00
河畔须臾,Riverside Mukolitta,2021,,百子湾,2025-09-27 18:30:00,2025-09-27 20:30:00
天若有情,If Sky Have Love,1990,,小西天,2025-09-27 19:00:00,2025-09-27 20:32:00
大玩家,The Player,1992,,百子湾,2025-09-28 19:00:00,2025-09-28 21:00:00
天使爱美丽,Amelie,2001,,小西天,2025-09-28 19:00:00,2025-09-28 21:01:00
天空之城,Laputa: Castle in the Sky,1986,,小西天,2025-09-29 19:00:00,2025-09-29 21:05:00
方珍珠,Fang Zhenzhu,1952,,小西天(2),2025-09-30 18:30:00,2025-09-30 20:07:00
让娜·迪尔曼,"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",1975,,小西天,2025-09-30 19:00:00,2025-09-30 22:21:00
