name,englishName,year,director,cinema,playTime,endTime
瘟疫,Epidemic,1987,拉斯·冯·提尔,小西天,2026-06-06 13:30:00,2026-06-06 15:12:00
诗,Poetry,2010,李沧东,百子湾,2026-06-06 13:30:00,2026-06-06 15:49:00
戒酒五步曲,National Theatre Live: The Fifth Step,2025,芬恩·登·赫托格,江南(2),2026-06-06 14:00:00,2026-06-06 15:24:00
四季花开,Reminiscence,1974,李翰祥,江南(3),2026-06-06 15:00:00,2026-06-06 16:32:00
假面,Persona,1966,英格玛·伯格曼,江南(1),2026-06-06 15:30:00,2026-06-06 16:54:00
茜茜公主2：年轻的皇后,Sissi: The Young Empress,1956,恩斯特·马里施卡,江南(4),2026-06-06 15:40:00,2026-06-06 17:21:00
欧洲特快车,Europa,1991,拉斯·冯·提尔,小西天,2026-06-06 16:00:00,2026-06-06 17:48:00
莉莉·玛莲,Lili Marleen,1981,赖纳·维尔纳·法斯宾德,百子湾,2026-06-06 16:20:00,2026-06-06 18:17:00
醉乡民谣,Inside Llewyn Davis,2013,伊桑·科恩,江南(1),2026-06-06 18:00:00,2026-06-06 19:45:00
茜茜公主3：皇后的命运,Sissi: The Fateful Years of an Empress,1957,恩斯特·马里施卡,江南(4),2026-06-06 18:20:00,2026-06-06 20:04:00
破浪,Breaking the Waves,1996,拉斯·冯·提尔,小西天,2026-06-06 18:30:00,2026-06-06 21:09:00
让娜·迪尔曼,"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",1975,香特尔·阿克曼,百子湾,2026-06-06 18:45:00,2026-06-06 22:06:00
聂耳,"Nie Er, the Musician",1959,郑君里,江南(3),2026-06-07 10:30:00,2026-06-07 12:25:00
《女人世界》特别放映,Chinatown Cha-Cha,2024,杨圆圆,小西天,2026-06-07 11:00:00,2026-06-07 12:43:00
冰风暴,The Ice Storm,1997,李安,江南(1),2026-06-07 13:00:00,2026-06-07 14:53:00
浮云世事,Drifting Clouds,1996,阿基·考里斯马基,百子湾,2026-06-07 13:30:00,2026-06-07 15:04:00
真假老板,The Boss of It All,2006,拉斯·冯·提尔,小西天,2026-06-07 13:30:00,2026-06-07 15:06:00
邓南遮占领阜姆自由邦,Fiume o morte!,2025,伊戈尔·贝齐诺维奇,江南(4),2026-06-07 13:30:00,2026-06-07 15:23:00
成为大师,Becoming A Master,2025,赵林,小西天(2),2026-06-07 14:00:00,2026-06-07 15:28:00
弗兰肯斯坦,National Theatre Live: Frankenstein,2011,丹尼·博伊尔,江南(2),2026-06-07 14:00:00,2026-06-07 16:10:00
没有过去的男人,The Man Without a Past,2002,阿基·考里斯马基,百子湾,2026-06-07 15:30:00,2026-06-07 17:07:00
肖邦，巴黎奏鸣曲,"Chopin, Chopin!",2025,迈克·文辛斯基,江南(1),2026-06-07 15:30:00,2026-06-07 17:43:00
狗镇,Dogville,2003,拉斯·冯·提尔,小西天,2026-06-07 15:45:00,2026-06-07 18:43:00
火烧圆明园,The Burning of Yuanmingyuan,1983,李翰祥,江南(4),2026-06-07 16:00:00,2026-06-07 17:32:00
薄暮之光,Lights in the Dusk,2006,阿基·考里斯马基,百子湾,2026-06-07 17:45:00,2026-06-07 19:03:00
垂帘听政,Behind the Screen,1983,李翰祥,江南(4),2026-06-07 18:30:00,2026-06-07 20:25:00
天堂电影院,Cinema Paradiso,1988,朱塞佩·托纳多雷,江南(1),2026-06-07 19:30:00,2026-06-07 21:35:00
忧郁症,Melancholia,2011,拉斯·冯·提尔,小西天,2026-06-07 19:30:00,2026-06-07 21:40:00
柳毅传书,Liu Yi Delivers A Mail,1962,蔡振亚,小西天(2),2026-06-09 18:30:00,2026-06-09 20:21:00
四季花开,Reminiscence,1974,李翰祥,小西天,2026-06-09 19:00:00,2026-06-09 20:32:00
四季花开,Reminiscence,1974,李翰祥,江南(3),2026-06-09 19:00:00,2026-06-09 20:32:00
罪犯们,The Delinquents,2023,罗德里戈·莫雷诺,小西天(2),2026-06-10 18:30:00,2026-06-10 21:39:00
神笔,The Magic Paintbrush,1955,靳夕,小西天,2026-06-10 19:00:00,2026-06-10 19:21:00
小铃铛,Little Bell,1963,谢添,百子湾,2026-06-10 19:00:00,2026-06-10 20:09:00
乘龙快婿,Lucky Son-in-law,1947,张骏祥,江南(3),2026-06-10 19:00:00,2026-06-10 20:25:00
继承厄运,The Successor,2023,泽维尔·勒格朗,江南(4),2026-06-10 19:30:00,2026-06-10 21:22:00
中间时代,The Middle Ages,2022,卢西亚娜·阿库纳,小西天(2),2026-06-11 18:30:00,2026-06-11 19:59:00
莉莉·玛莲,Lili Marleen,1981,赖纳·维尔纳·法斯宾德,小西天,2026-06-11 19:00:00,2026-06-11 20:57:00
当我们仰望天空时看见什么？,What Do We See When We Look at the Sky?,2021,亚历山大·科贝里泽,江南(3),2026-06-11 19:00:00,2026-06-11 21:30:00
玩乐时间,Play Time,1967,雅克·塔蒂,江南(4),2026-06-11 19:30:00,2026-06-11 21:34:00
四次,The Four Times,2010,米开朗基罗·弗兰马汀诺,小西天(2),2026-06-12 18:30:00,2026-06-12 19:58:00
旅客,The Traveler,1974,阿巴斯·基亚罗斯塔米,小西天,2026-06-12 19:00:00,2026-06-12 20:13:00
莺飞人间,Songbird Flies Over the World,1946,方沛霖,江南(3),2026-06-12 19:00:00,2026-06-12 20:42:00
窃听大阴谋,The Conversation,1974,弗朗西斯·福特·科波拉,百子湾,2026-06-12 19:00:00,2026-06-12 20:54:00
胡丽叶塔,Julieta,2016,佩德罗·阿莫多瓦,江南(4),2026-06-12 19:30:00,2026-06-12 21:09:00
游园惊梦,Sweet Dream in the Garden,1960,许珂,江南(3),2026-06-13 10:30:00,2026-06-13 11:37:00
家庭作业,Homework,1989,阿巴斯·基亚罗斯塔米,小西天,2026-06-13 11:00:00,2026-06-13 12:14:00
橡皮头,Eraserhead,1977,大卫·林奇,江南(4),2026-06-13 11:00:00,2026-06-13 12:29:00
何处是我朋友的家,Where ls the Friends Home?,1987,阿巴斯·基亚罗斯塔米,小西天,2026-06-13 13:00:00,2026-06-13 14:23:00
双峰：与火同行,Twin Peaks: Fire Walk with Me,1992,大卫·林奇,江南(4),2026-06-13 13:00:00,2026-06-13 15:15:00
我在苏州学非遗,China's Secret Garden-SuZhou,2026,萧寒,江南(1),2026-06-13 13:30:00,2026-06-13 14:50:00
过春天,The Crossing,2018,白雪,百子湾,2026-06-13 13:30:00,2026-06-13 15:09:00
戒酒五步曲,National Theatre Live: The Fifth Step,2025,芬恩·登·赫托格,江南(2),2026-06-13 14:00:00,2026-06-13 15:24:00
女儿经,A Bible for Daughters,1934,李萍倩,江南(3),2026-06-13 14:30:00,2026-06-13 17:16:00
生生长流,And Life Goes On,1992,阿巴斯·基亚罗斯塔米,小西天,2026-06-13 15:00:00,2026-06-13 16:35:00
象人,The Elephant Man,1980,大卫·林奇,江南(1),2026-06-13 15:40:00,2026-06-13 17:43:00
记忆,Memoria,2021,阿彼察邦·韦拉斯哈古,百子湾,2026-06-13 15:40:00,2026-06-13 17:56:00
叶之灵,Miraculous Leaf,2026,潘伟平,江南(4),2026-06-13 15:45:00,2026-06-13 17:35:00
橄榄树下的情人,Through the Olive Trees,1994,阿巴斯·基亚罗斯塔米,小西天,2026-06-13 17:10:00,2026-06-13 18:53:00
天工苏作,The Magicial Craftmanship of SuZhou,2021,孙曾田,小西天(2),2026-06-13 18:00:00,2026-06-13 19:30:00
妖夜慌踪,Lost Highway,1997,大卫·林奇,江南(1),2026-06-13 18:30:00,2026-06-13 20:44:00
让娜·迪尔曼,"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",1975,香特尔·阿克曼,百子湾,2026-06-13 18:30:00,2026-06-13 21:51:00
梅花巾,The Plum Flower Embroidery,1980,张良,江南(4),2026-06-13 19:00:00,2026-06-13 20:46:00
去死吧，我的爱,"Die, My Love",2025,琳恩·拉姆塞,小西天,2026-06-13 19:30:00,2026-06-13 21:28:00
几番风雨,The Hard Life,1949,何兆璋,江南(3),2026-06-14 10:30:00,2026-06-14 12:16:00
特写,Close-Up,1990,阿巴斯·基亚罗斯塔米,小西天,2026-06-14 11:00:00,2026-06-14 12:38:00
史崔特先生的故事,The Straight Story,1999,大卫·林奇,江南(1),2026-06-14 13:00:00,2026-06-14 14:52:00
樱桃的滋味,Taste of Cherry,1997,阿巴斯·基亚罗斯塔米,小西天,2026-06-14 13:30:00,2026-06-14 15:09:00
好东西,Herstory,2024,邵艺辉,百子湾,2026-06-14 13:30:00,2026-06-14 15:33:00
灿烂人生,The Best of Youth,2003,马可·图利奥·吉奥达纳,江南(4),2026-06-14 13:30:00,2026-06-14 19:36:00
弗兰肯斯坦,National Theatre Live: Frankenstein,2011,丹尼·博伊尔,江南(2),2026-06-14 14:00:00,2026-06-14 16:10:00
方珍珠,Fang Zhenzhu,1952,徐昌霖,江南(3),2026-06-14 14:30:00,2026-06-14 16:07:00
穆赫兰道,Mulholland Drive,2001,大卫·林奇,江南(1),2026-06-14 15:20:00,2026-06-14 17:47:00
随风而逝,The Wind Will Carry Us,1999,阿巴斯·基亚罗斯塔米,小西天,2026-06-14 16:00:00,2026-06-14 17:58:00
大玩家,The Player,1992,罗伯特·奥特曼,百子湾,2026-06-14 16:00:00,2026-06-14 18:00:00
梁山伯与祝英台,Liang Shanbo and Zhu Yingtai,1954,桑弧,江南(3),2026-06-14 16:40:00,2026-06-14 18:31:00
中国的木偶艺术,Chinese Puppet Arts,1956,靳夕,小西天(2),2026-06-14 18:00:00,2026-06-14 19:07:00
初恋这首情歌,Sing Street,2016,约翰·卡尼,百子湾,2026-06-14 18:30:00,2026-06-14 20:16:00
内陆帝国,Inland Empire,2006,大卫·林奇,江南(1),2026-06-14 18:30:00,2026-06-14 21:30:00
醉乡民谣,Inside Llewyn Davis,2013,伊桑·科恩,小西天,2026-06-14 19:00:00,2026-06-14 20:45:00
三滴血,Three Drops of Blood,1960,孙敬,小西天(2),2026-06-16 18:30:00,2026-06-16 20:24:00
天空的另一面,The Blue Trail,2025,加布里埃尔·马斯卡罗,小西天,2026-06-16 19:00:00,2026-06-16 20:26:00
八月,The Summer is Gone,2016,张大磊,小西天(2),2026-06-17 18:30:00,2026-06-17 20:17:00
方珍珠,Fang Zhenzhu,1952,徐昌霖,小西天,2026-06-17 19:00:00,2026-06-17 20:37:00
日出,Sunrise,1938,岳枫,江南(3),2026-06-17 19:00:00,2026-06-17 20:45:00
刘三姐,Third Sister Liu,1960,苏里,百子湾,2026-06-17 19:00:00,2026-06-17 20:52:00
她,Elle,2016,保罗·范霍文,江南(4),2026-06-17 19:30:00,2026-06-17 21:40:00
四个春天,Four Springs,2017,陆庆屹,小西天(2),2026-06-18 18:30:00,2026-06-18 20:15:00
人海同游,Borrowed Time,2023,蔡杰,江南(3),2026-06-18 19:00:00,2026-06-18 20:35:00
透过欧内斯托的眼睛,Through Ernesto′s Eyes,2019,安娜·路易莎·阿兹维多,小西天,2026-06-18 19:00:00,2026-06-18 21:03:00
之后,The Day After,2017,洪常秀,江南(4),2026-06-18 19:30:00,2026-06-18 21:01:00
少奶奶的扇子,Young Mistress Fan,1939,李萍倩,江南(3),2026-06-19 10:30:00,2026-06-19 12:11:00
橡皮头,Eraserhead,1977,大卫·林奇,江南(1),2026-06-19 12:30:00,2026-06-19 13:59:00
坐稳车，泰欣娜,"Take Care of Your Scarf, Tatiana",1994,阿基·考里斯马基,江南(4),2026-06-19 13:00:00,2026-06-19 14:02:00
象人,The Elephant Man,1980,大卫·林奇,江南(1),2026-06-19 14:30:00,2026-06-19 16:33:00
浮云世事,Drifting Clouds,1996,阿基·考里斯马基,江南(4),2026-06-19 15:00:00,2026-06-19 16:34:00
醉乡民谣,Inside Llewyn Davis,2013,伊桑·科恩,江南(1),2026-06-19 17:00:00,2026-06-19 18:45:00
尤哈,Juha,1999,阿基·考里斯马基,江南(4),2026-06-19 17:30:00,2026-06-19 18:48:00
初恋这首情歌,Sing Street,2016,约翰·卡尼,江南(1),2026-06-19 19:30:00,2026-06-19 21:16:00
小玩意,The Little Toys,1933,孙瑜,江南(3),2026-06-20 10:30:00,2026-06-20 12:18:00
隐藏摄像机,Hidden,2005,迈克尔·哈内克,小西天,2026-06-20 11:00:00,2026-06-20 12:58:00
双峰：与火同行,Twin Peaks: Fire Walk with Me,1992,大卫·林奇,江南(1),2026-06-20 13:00:00,2026-06-20 15:15:00
醉乡民谣,Inside Llewyn Davis,2013,伊桑·科恩,百子湾,2026-06-20 13:30:00,2026-06-20 15:15:00
告诉他们，我乘白鹤去了,Fly with the Crane,2012,李睿珺,江南(4),2026-06-20 13:30:00,2026-06-20 15:23:00
十段生命的律动,Ten,2002,阿巴斯·基亚罗斯塔米,小西天,2026-06-20 13:40:00,2026-06-20 15:13:00
弗兰肯斯坦,National Theatre Live: Frankenstein,2011,丹尼·博伊尔,江南(2),2026-06-20 14:00:00,2026-06-20 16:10:00
十五贯,Fifteen Strings of Cash,1956,陶金,江南(3),2026-06-20 14:30:00,2026-06-20 16:30:00
班尼的录像带,Benny's Video,1992,迈克尔·哈内克,百子湾,2026-06-20 15:45:00,2026-06-20 17:35:00
妖夜慌踪,Lost Highway,1997,大卫·林奇,江南(1),2026-06-20 15:45:00,2026-06-20 17:59:00
神女,The Goddess,1934,吴永刚,江南(4),2026-06-20 16:00:00,2026-06-20 17:23:00
合法副本,Certified Copy,2010,阿巴斯·基亚罗斯塔米,小西天,2026-06-20 16:00:00,2026-06-20 17:46:00
白丝带,The White Ribbon,2009,迈克尔·哈内克,百子湾,2026-06-20 18:00:00,2026-06-20 20:23:00
阮玲玉,Center Stage,1991,关锦鹏,江南(4),2026-06-20 18:30:00,2026-06-20 21:05:00
现代启示录 最终剪辑版,Apocalypse Now: Final Cut,1979,弗朗西斯·福特·科波拉,小西天,2026-06-20 18:30:00,2026-06-20 21:32:00
史崔特先生的故事,The Straight Story,1999,大卫·林奇,江南(1),2026-06-20 19:00:00,2026-06-20 20:52:00
洗澡,Shower,1999,张杨,小西天,2026-06-21 10:30:00,2026-06-21 12:04:00
十字街头,Crossroads,1937,沈西苓,江南(3),2026-06-21 10:30:00,2026-06-21 12:18:00
穆赫兰道,Mulholland Drive,2001,大卫·林奇,江南(1),2026-06-21 13:00:00,2026-06-21 15:27:00
《宇宙探索编辑部》特别放映,Journey to the West,2025,孔大山,小西天,2026-06-21 13:00:00,2026-06-21 18:25:00
小蝌蚪找妈妈,Baby Tadpoles Look for Their Mother,1960,特伟,江南(4),2026-06-21 13:30:00,2026-06-21 13:46:00
浮云世事,Drifting Clouds,1996,阿基·考里斯马基,百子湾,2026-06-21 13:30:00,2026-06-21 15:04:00
戒酒五步曲,National Theatre Live: The Fifth Step,2025,芬恩·登·赫托格,江南(2),2026-06-21 14:00:00,2026-06-21 15:24:00
八月,The Summer is Gone,2016,张大磊,江南(4),2026-06-21 15:30:00,2026-06-21 17:17:00
没有过去的男人,The Man Without a Past,2002,阿基·考里斯马基,百子湾,2026-06-21 15:40:00,2026-06-21 17:17:00
内陆帝国,Inland Empire,2006,大卫·林奇,江南(1),2026-06-21 16:00:00,2026-06-21 19:00:00
薄暮之光,Lights in the Dusk,2006,阿基·考里斯马基,百子湾,2026-06-21 17:45:00,2026-06-21 19:03:00
继承厄运,The Successor,2023,泽维尔·勒格朗,江南(4),2026-06-21 18:15:00,2026-06-21 20:07:00
恐怖分子,The Terrorist,1986,杨德昌,小西天,2026-06-21 19:10:00,2026-06-21 20:59:00
冰风暴,The Ice Storm,1997,李安,江南(1),2026-06-21 19:40:00,2026-06-21 21:33:00
锁麟囊（秦腔）,Suo Lin Nang,2011,黎涛,小西天(2),2026-06-23 18:30:00,2026-06-23 20:00:00
诡才之道,Dead Talents Society,2024,徐汉强,小西天,2026-06-23 19:00:00,2026-06-23 20:52:00
爱是一把枪,Love Is A Gun,2023,李鸿其,小西天(2),2026-06-24 18:30:00,2026-06-24 19:51:00
我在苏州学非遗,China's Secret Garden-SuZhou,2026,萧寒,小西天,2026-06-24 19:00:00,2026-06-24 20:20:00
满意不满意,Give Satisfaction to Them,1963,严恭,百子湾,2026-06-24 19:00:00,2026-06-24 20:29:00
几番风雨,The Hard Life,1949,何兆璋,江南(3),2026-06-24 19:00:00,2026-06-24 20:46:00
坐稳车，泰欣娜,"Take Care of Your Scarf, Tatiana",1994,阿基·考里斯马基,江南(4),2026-06-24 19:30:00,2026-06-24 20:32:00
中间时代,The Middle Ages,2022,卢西亚娜·阿库纳,小西天(2),2026-06-25 18:30:00,2026-06-25 19:59:00
她,Elle,2016,保罗·范霍文,江南(3),2026-06-25 19:00:00,2026-06-25 21:10:00
诗,Poetry,2010,李沧东,小西天,2026-06-25 19:00:00,2026-06-25 21:19:00
浮云世事,Drifting Clouds,1996,阿基·考里斯马基,江南(4),2026-06-25 19:30:00,2026-06-25 21:04:00
罪犯们,The Delinquents,2023,罗德里戈·莫雷诺,小西天(2),2026-06-26 18:30:00,2026-06-26 21:39:00
真假老板,The Boss of It All,2006,拉斯·冯·提尔,百子湾,2026-06-26 19:00:00,2026-06-26 20:36:00
当我们仰望天空时看见什么？,What Do We See When We Look at the Sky?,2021,亚历山大·科贝里泽,江南(3),2026-06-26 19:00:00,2026-06-26 21:30:00
尤哈,Juha,1999,阿基·考里斯马基,江南(4),2026-06-26 19:30:00,2026-06-26 20:48:00
墙头马上,Pei Shaojun And Li Qianjun,1963,蔡振亚,江南(3),2026-06-27 10:30:00,2026-06-27 12:23:00
假面,Persona,1966,英格玛·伯格曼,江南(1),2026-06-27 13:00:00,2026-06-27 14:24:00
犯罪元素,The Element of Crime,1984,拉斯·冯·提尔,百子湾,2026-06-27 13:30:00,2026-06-27 15:09:00
灿烂人生,The Best of Youth,2003,马可·图利奥·吉奥达纳,江南(4),2026-06-27 13:30:00,2026-06-27 19:36:00
弗兰肯斯坦,National Theatre Live: Frankenstein,2011,丹尼·博伊尔,江南(2),2026-06-27 14:00:00,2026-06-27 16:10:00
花样年华,In the Mood for Love,2000,王家卫,江南(1),2026-06-27 15:00:00,2026-06-27 16:44:00
瘟疫,Epidemic,1987,拉斯·冯·提尔,百子湾,2026-06-27 15:40:00,2026-06-27 17:22:00
欧洲特快车,Europa,1991,拉斯·冯·提尔,百子湾,2026-06-27 18:00:00,2026-06-27 19:48:00
长相思,An All-consuming love,1947,何兆璋,江南(3),2026-06-27 18:30:00,2026-06-27 19:55:00
邓南遮占领阜姆自由邦,Fiume o morte!,2025,伊戈尔·贝齐诺维奇,江南(1),2026-06-27 18:40:00,2026-06-27 20:33:00
坠入,The Fall,2006,塔西姆·辛,小西天,2026-06-27 19:00:00,2026-06-27 20:59:00
满意不满意,Give Satisfaction to Them,1963,严恭,江南(3),2026-06-28 10:30:00,2026-06-28 11:59:00
初恋这首情歌,Sing Street,2016,约翰·卡尼,小西天,2026-06-28 10:30:00,2026-06-28 12:16:00
窃听大阴谋,The Conversation,1974,弗朗西斯·福特·科波拉,小西天,2026-06-28 13:00:00,2026-06-28 14:54:00
《宇宙探索编辑部》特别放映,Journey to the West,2025,孔大山,江南(1),2026-06-28 13:00:00,2026-06-28 18:25:00
每个人都有他自己的电影,To Each His Own Cinema,2007,西奥·安哲罗普洛斯,江南(4),2026-06-28 13:30:00,2026-06-28 15:25:00
破浪,Breaking the Waves,1996,拉斯·冯·提尔,百子湾,2026-06-28 13:30:00,2026-06-28 16:09:00
戒酒五步曲,National Theatre Live: The Fifth Step,2025,芬恩·登·赫托格,江南(2),2026-06-28 14:00:00,2026-06-28 15:24:00
美食家,The Food Taster,1985,徐昌霖,江南(3),2026-06-28 14:30:00,2026-06-28 16:12:00
现代启示录 最终剪辑版,Apocalypse Now: Final Cut,1979,弗朗西斯·福特·科波拉,小西天,2026-06-28 15:40:00,2026-06-28 18:42:00
冰风暴,The Ice Storm,1997,李安,江南(4),2026-06-28 16:15:00,2026-06-28 18:08:00
天工苏作,The Magicial Craftmanship of SuZhou,2021,孙曾田,江南(3),2026-06-28 16:40:00,2026-06-28 18:10:00
狗镇,Dogville,2003,拉斯·冯·提尔,百子湾,2026-06-28 16:40:00,2026-06-28 19:38:00
胡丽叶塔,Julieta,2016,佩德罗·阿莫多瓦,江南(4),2026-06-28 19:00:00,2026-06-28 20:39:00
醉乡民谣,Inside Llewyn Davis,2013,伊桑·科恩,江南(1),2026-06-28 19:10:00,2026-06-28 20:55:00
去死吧，我的爱,"Die, My Love",2025,琳恩·拉姆塞,小西天,2026-06-28 19:30:00,2026-06-28 21:28:00
忧郁症,Melancholia,2011,拉斯·冯·提尔,百子湾,2026-06-28 20:00:00,2026-06-28 22:10:00
周仁回府,Zhou Ren A Friend In Need,2013,黎涛,小西天(2),2026-06-30 18:30:00,2026-06-30 20:18:00
还有明天,There's Still Tomorrow,2023,宝拉·柯特莱西,小西天,2026-06-30 19:00:00,2026-06-30 20:58:00
