name,englishName,year,director,cinema,playTime,endTime
情探,Love Detective,1958,黄祖模,小西天(2),2026-06-02 18:30:00,2026-06-02 19:54:00
隐藏摄像机,Hidden,2005,迈克尔·哈内克,小西天,2026-06-02 19:00:00,2026-06-02 20:58:00
四次,The Four Times,2010,米开朗基罗·弗兰马汀诺,小西天(2),2026-06-03 18:30:00,2026-06-03 19:58:00
小蝌蚪找妈妈,Baby Tadpoles Look for Their Mother,1960,特伟,小西天,2026-06-03 19:00:00,2026-06-03 19:16:00
风筝,The Magic of the Kite,1958,王家乙,百子湾,2026-06-03 19:00:00,2026-06-03 20:26:00
十字街头,Crossroads,1937,沈西苓,江南(3),2026-06-03 19:00:00,2026-06-03 20:48:00
玩乐时间,Play Time,1967,雅克·塔蒂,江南(4),2026-06-03 19:30:00,2026-06-03 21:34:00
云霄之上,Beyond the Skies,2021,刘智海,小西天(2),2026-06-04 18:30:00,2026-06-04 20:00:00
班尼的录像带,Benny's Video,1992,迈克尔·哈内克,小西天,2026-06-04 19:00:00,2026-06-04 20:50:00
离恨天,Melancholy hatred,1938,吴永刚,江南(3),2026-06-04 19:00:00,2026-06-04 20:50:00
胡丽叶塔,Julieta,2016,佩德罗·阿莫多瓦,江南(4),2026-06-04 19:30:00,2026-06-04 21:09:00
白丝带,The White Ribbon,2009,迈克尔·哈内克,小西天(2),2026-06-05 18:30:00,2026-06-05 20:53:00
之后,The Day After,2017,洪常秀,江南(3),2026-06-05 19:00:00,2026-06-05 20:31:00
醉乡民谣,Inside Llewyn Davis,2013,伊桑·科恩,小西天,2026-06-05 19:00:00,2026-06-05 20:45:00
大玩家,The Player,1992,罗伯特·奥特曼,百子湾,2026-06-05 19:00:00,2026-06-05 21:00:00
初恋这首情歌,Sing Street,2016,约翰·卡尼,江南(4),2026-06-05 19:30:00,2026-06-05 21:16:00
花为媒,Rose as a Go-between,1963,方荧,江南(3),2026-06-06 10:30:00,2026-06-06 12:22:00
犯罪元素,The Element of Crime,1984,拉斯·冯·提尔,小西天,2026-06-06 11:00:00,2026-06-06 12:39:00
每个人都有他自己的电影,To Each His Own Cinema,2007,西奥·安哲罗普洛斯,江南(1),2026-06-06 13:00:00,2026-06-06 14:55:00
茜茜公主,Sissi,1955,恩斯特·马里施卡,江南(4),2026-06-06 13:30:00,2026-06-06 15:11:00
