name,englishName,year,cinima,playTime,endTime
百元之恋,100 Yen Love,2014,百子湾,2024-03-01 19:00:00,2024-03-01 20:53:00
诗,Poetry,2010,小西天,2024-03-01 19:00:00,2024-03-01 21:19:00
海街日记,Our Little Sister,2015,小西天,2024-03-02 11:00:00,2024-03-02 13:07:00
家在水草丰茂的地方,River Road,2014,百子湾,2024-03-02 13:30:00,2024-03-02 15:13:00
无人知晓,Nobody Knows,2004,小西天,2024-03-02 13:50:00,2024-03-02 16:11:00
特写,Close-Up,1990,百子湾,2024-03-02 15:45:00,2024-03-02 17:23:00
图腾,Totem,2023,小西天,2024-03-02 17:00:00,2024-03-02 18:35:00
摩托日记,The Motorcycle Diaries,2004,百子湾,2024-03-02 18:00:00,2024-03-02 20:06:00
这里是亚美子,Amiko,2022,小西天,2024-03-02 19:15:00,2024-03-02 20:59:00
被嫌弃的松子的一生,Memories of Matsuko,2006,小西天,2024-03-03 11:00:00,2024-03-03 13:10:00
钢的琴,The Piano in a Factory,2010,百子湾,2024-03-03 13:30:00,2024-03-03 15:16:00
宣言,Manifesto,2015,小西天,2024-03-03 14:00:00,2024-03-03 15:35:00
九三之夏,Summer 1993,2017,百子湾,2024-03-03 15:45:00,2024-03-03 17:19:00
夏日细语,The Quiet Girl,2022,小西天,2024-03-03 16:30:00,2024-03-03 18:04:00
三只猴子,Three Monkeys,2008,百子湾,2024-03-03 18:00:00,2024-03-03 19:46:00
独自在夜晚的海边,On the Beach at Night Alone,2017,小西天,2024-03-03 18:45:00,2024-03-03 20:25:00
在公交车站直到黎明,No Place to Go,2022,小西天,2024-03-05 19:00:00,2024-03-05 20:31:00
水火之间,Between Fire and Water,1955,百子湾,2024-03-06 19:00:00,2024-03-06 20:31:00
小城之春,Xiaocheng zhi chun / Spring Time in a Small Town / 小城之春（2K）,1948,小西天,2024-03-06 19:00:00,2024-03-06 20:38:00
横道世之介,A Story of Yonosuke,2013,小西天,2024-03-07 19:00:00,2024-03-07 21:40:00
神女,The Goddess,1934,小西天,2024-03-08 19:00:00,2024-03-08 20:22:00
晒后假日,Aftersun,2022,百子湾,2024-03-08 19:00:00,2024-03-08 20:41:00
山河故人,Mountains May Depart,2015,小西天,2024-03-09 11:00:00,2024-03-09 13:06:00
飞行员的妻子,The Aviator's Wife,1981,百子湾,2024-03-09 13:30:00,2024-03-09 15:16:00
下一个素熙,Next Sohee,2022,小西天,2024-03-09 13:50:00,2024-03-09 16:04:00
好姻缘,A Good Marriage,1982,百子湾,2024-03-09 15:45:00,2024-03-09 17:22:00
