name,englishName,year,director,cinima,playTime,endTime
人人都说我爱你,Everyone Says I Love You,1996,,小西天,2025-12-01 19:00:00,2025-12-01 20:36:00
穆桂英挂帅,Mu Guiying Takes Command,1958,,小西天(2),2025-12-02 18:30:00,2025-12-02 19:50:00
名人百态,Celebrity,1998,,小西天,2025-12-02 19:00:00,2025-12-02 20:49:00
地雷区,Under sandet,2015,,小西天(2),2025-12-03 18:30:00,2025-12-03 20:10:00
春蚕,The Spring Silkworms,1933,,百子湾,2025-12-03 19:00:00,2025-12-03 20:41:00
长夜将尽,"Wild Nights, Tamed Beasts",2025,,小西天,2025-12-03 19:00:00,2025-12-03 21:00:00
我最特别的朋友,Mr. Zheng,2025,,小西天,2025-12-04 14:30:00,2025-12-04 16:00:00
影子部队,The Army of Shadows,1969,,小西天(2),2025-12-04 18:30:00,2025-12-04 20:54:00
好莱坞式结局,Hollywood Ending,2002,,小西天,2025-12-04 19:00:00,2025-12-04 20:48:00
帝国的毁灭,Downfall,2004,,小西天(2),2025-12-05 18:30:00,2025-12-05 21:05:00
奇招尽出,Anything Else,2003,,小西天,2025-12-05 19:00:00,2025-12-05 20:48:00
梦,Dreams (Sex Love),2024,,百子湾,2025-12-05 19:00:00,2025-12-05 20:51:00
酒精计划,Another Round,2020,,小西天,2025-12-06 10:30:00,2025-12-06 12:21:00
嘉年华,Angels Wear White,2017,,百子湾,2025-12-06 13:30:00,2025-12-06 15:17:00
赛末点,Match Point,2005,,小西天,2025-12-06 13:30:00,2025-12-06 15:34:00
中央车站,Central Station,1998,,百子湾,2025-12-06 15:45:00,2025-12-06 17:35:00
独家新闻,Scoop,2006,,小西天,2025-12-06 16:15:00,2025-12-06 17:50:00
摩托日记,The Motorcycle Diaries,2004,,百子湾,2025-12-06 18:00:00,2025-12-06 20:06:00
着魔,Possession,1981,,小西天,2025-12-06 18:30:00,2025-12-06 20:34:00
机器人之梦,Robot Dreams,2023,,小西天,2025-12-07 11:00:00,2025-12-07 12:42:00
蓝色茉莉,Blue Jasmine,2013,,小西天,2025-12-07 13:30:00,2025-12-07 15:04:00
中产阶级的审慎魅力,The Discreet Charm of the Bourgeoisie,1972,,百子湾,2025-12-07 13:30:00,2025-12-07 15:12:00
甜蜜的生活,The Sweet Life,1960,,百子湾,2025-12-07 15:40:00,2025-12-07 18:35:00
咖啡公社,Cafe Society,2016,,小西天,2025-12-07 15:45:00,2025-12-07 17:17:00
大都会 2010修复版,Metropolis,1927,,小西天,2025-12-07 18:00:00,2025-12-07 20:25:00
