name,englishName,year,director,cinima,playTime,endTime
暴雨将至,Before the Rain,1994,,小西天,2026-01-03 11:00:00,2026-01-03 12:53:00
地下,Underground,1995,,百子湾,2026-01-03 13:30:00,2026-01-03 16:20:00
子弹横飞百老汇,Bullets Over Broadway,1994,,小西天,2026-01-03 13:40:00,2026-01-03 15:19:00
解构爱情狂,Deconstructing Harry,1997,,小西天,2026-01-03 16:00:00,2026-01-03 17:31:00
尘土,Dust,2001,,百子湾,2026-01-03 16:50:00,2026-01-03 18:54:00
接近终点,Sirat,2025,,小西天,2026-01-03 18:30:00,2026-01-03 20:25:00
柳树,Willow,2019,,百子湾,2026-01-03 19:30:00,2026-01-03 21:31:00
赛德克·巴莱（上）（下）,Seediq Bale,2011,,小西天,2026-01-04 13:00:00,2026-01-04 17:36:00
高楼边,By The High Building,1993,,小西天(2),2026-01-04 18:30:00,2026-01-04 20:08:00
将来的事,Things to Come,2016,,百子湾,2026-01-04 19:00:00,2026-01-04 20:42:00
赛末点,Match Point,2005,,小西天,2026-01-04 19:00:00,2026-01-04 21:04:00
96分钟：列车爆炸案,96 Minutes,2025,,小西天,2026-01-05 15:15:00,2026-01-05 17:13:00
野猪林,Wild Boar Forest,1962,,小西天(2),2026-01-06 18:30:00,2026-01-06 20:45:00
德州巴黎,"Paris, Texas",1984,,小西天,2026-01-06 19:00:00,2026-01-06 21:25:00
这不是葬礼，这是复活,"This is Not a Burial, It's a Resurrection",2019,,小西天(2),2026-01-07 18:30:00,2026-01-07 20:26:00
渔光曲,Song of The Fishermen,1934,,小西天,2026-01-07 19:00:00,2026-01-07 19:58:00
新女性,New Women,1935,,百子湾,2026-01-07 19:00:00,2026-01-07 20:49:00
出租车,Taxi Tehran,2015,,小西天(2),2026-01-08 18:30:00,2026-01-08 19:52:00
世界,The World,2004,,小西天,2026-01-08 19:00:00,2026-01-08 20:48:00
时间去哪儿了,Where Has the Time Gone,2017,,小西天(2),2026-01-09 18:30:00,2026-01-09 20:21:00
超脱,Detachment,2011,,百子湾,2026-01-09 19:00:00,2026-01-09 20:34:00
非穷尽列举,National Theatre Live: Inter Alia,2025,,小西天,2026-01-09 19:00:00,2026-01-09 20:51:00
安妮·霍尔,Annie Hall,1977,,小西天,2026-01-10 11:00:00,2026-01-10 12:34:00
蓝色茉莉,Blue Jasmine,2013,,百子湾,2026-01-10 13:30:00,2026-01-10 15:04:00
曼哈顿,Manhattan,1979,,小西天,2026-01-10 13:30:00,2026-01-10 15:07:00
咖啡公社,Cafe Society,2016,,百子湾,2026-01-10 15:40:00,2026-01-10 17:12:00
悲情城市,A City of Sadness,1989,,小西天,2026-01-10 16:00:00,2026-01-10 18:38:00
晒后假日,Aftersun,2022,,百子湾,2026-01-10 17:40:00,2026-01-10 19:21:00
海上花,Flowers of Shanghai,1998,,小西天,2026-01-10 19:30:00,2026-01-10 21:24:00
恐怖分子,The Terrorist,1986,,小西天,2026-01-11 11:00:00,2026-01-11 12:49:00
风柜来的人,The Boys From Fengkuei,1983,,小西天,2026-01-11 13:30:00,2026-01-11 15:10:00
名人百态,Celebrity,1998,,百子湾,2026-01-11 13:30:00,2026-01-11 15:19:00
好莱坞式结局,Hollywood Ending,2002,,百子湾,2026-01-11 15:50:00,2026-01-11 17:38:00
少年吔，安啦！,Dust of Angels,1992,,小西天,2026-01-11 16:00:00,2026-01-11 17:50:00
奇招尽出,Anything Else,2003,,百子湾,2026-01-11 18:10:00,2026-01-11 19:58:00
天国王朝 导演剪辑版,Kingdom of Heaven Director's Cut,2005,,小西天,2026-01-11 18:30:00,2026-01-11 21:39:00
秦香莲,The Case of Killing Chen Shimei,1964,,小西天(2),2026-01-13 18:30:00,2026-01-13 20:40:00
双峰：与火同行,Twin Peaks: Fire Walk with Me,1992,,小西天,2026-01-13 19:00:00,2026-01-13 21:15:00
方形,The Square,2017,,小西天(2),2026-01-14 18:30:00,2026-01-14 21:01:00
艺海风光,Vistas of Art,1938,,百子湾,2026-01-14 19:00:00,2026-01-14 20:45:00
新女性,New Women,1935,,小西天,2026-01-14 19:00:00,2026-01-14 20:49:00
相爱相亲,Love Education,2017,,小西天(2),2026-01-15 18:30:00,2026-01-15 20:31:00
妖夜慌踪,Lost Highway,1997,,小西天,2026-01-15 19:00:00,2026-01-15 21:14:00
大卫·林奇：艺术人生,David Lynch - The Art Life,2016,,小西天(2),2026-01-16 18:30:00,2026-01-16 19:58:00
橡皮头,Eraserhead,1977,,小西天,2026-01-16 19:00:00,2026-01-16 20:29:00
这时对，那时错,"Right Now, Wrong Then",2015,,百子湾,2026-01-16 19:00:00,2026-01-16 21:00:00
唐人街繁华梦,Piccadilly,1929,,小西天,2026-01-17 11:00:00,2026-01-17 12:49:00
人人都说我爱你,Everyone Says I Love You,1996,,百子湾,2026-01-17 13:30:00,2026-01-17 15:06:00
女王凯莱+日落大道,Queen Kelly + Sunset Blvd.,1929,,小西天,2026-01-17 13:30:00,2026-01-17 17:05:00
银汉双星,Two Stars Of The Milky Way,1931,,小西天(2),2026-01-17 14:00:00,2026-01-17 15:30:00
蓝色茉莉,Blue Jasmine,2013,,百子湾,2026-01-17 15:40:00,2026-01-17 17:14:00
南国之春,Story of the South,1932,,小西天(2),2026-01-17 16:00:00,2026-01-17 17:21:00
穆赫兰道,Mulholland Drive,2001,,百子湾,2026-01-17 17:45:00,2026-01-17 20:12:00
粉红色的梦,Pink Dream,1932,,小西天(2),2026-01-17 18:00:00,2026-01-17 19:17:00
无耻混蛋,Inglourious Basterds,2009,,小西天,2026-01-17 18:30:00,2026-01-17 21:03:00
大都会 2010修复版,Metropolis,1927,,小西天,2026-01-18 11:00:00,2026-01-18 13:25:00
甜蜜与卑微,Sweet and Lowdown,1999,,百子湾,2026-01-18 13:30:00,2026-01-18 15:01:00
都会的早晨,Tales of the City,1933,,小西天(2),2026-01-18 14:00:00,2026-01-18 14:57:00
天国王朝 导演剪辑版,Kingdom of Heaven Director's Cut,2005,,小西天,2026-01-18 14:30:00,2026-01-18 17:39:00
迷途的羔羊,A Lamb Astray,1936,,小西天(2),2026-01-18 15:30:00,2026-01-18 16:35:00
业余小偷,Small Time Crooks,2000,,百子湾,2026-01-18 15:30:00,2026-01-18 17:04:00
玉蝎子的魔咒,The Curse of the Jade Scorpion,2001,,百子湾,2026-01-18 17:40:00,2026-01-18 19:22:00
现代启示录 最终剪辑版,Apocalypse Now: Final Cut,1979,,小西天,2026-01-18 18:30:00,2026-01-18 21:32:00
我的朋友安德烈,My Friend An Delie,2026,,小西天,2026-01-19 19:00:00,2026-01-19 20:53:00
群英会,Battle of Wits,1957,,小西天(2),2026-01-20 18:30:00,2026-01-20 20:15:00
穆赫兰道,Mulholland Drive,2001,,小西天,2026-01-20 19:00:00,2026-01-20 21:27:00
我们假期做了什么,What We Did On Our Holiday,2014,,小西天(2),2026-01-21 18:30:00,2026-01-21 20:05:00
艺海风光,Vistas of Art,1938,,小西天,2026-01-21 19:00:00,2026-01-21 20:45:00
孤岛天堂,Orphan Island Paradise,1939,,百子湾,2026-01-21 19:00:00,2026-01-21 20:45:00
飞行家,Take Off,2026,,小西天,2026-01-22 14:00:00,2026-01-22 16:02:00
这不是葬礼，这是复活,"This is Not a Burial, It's a Resurrection",2019,,小西天(2),2026-01-22 18:30:00,2026-01-22 20:26:00
