name,englishName,year,director,cinima,playTime,endTime
新桥恋人,The Lovers on the Bridge,1991,,小西天,2026-02-01 11:00:00,2026-02-01 13:05:00
出租车,Taxi Tehran,2015,,百子湾,2026-02-01 13:30:00,2026-02-01 14:52:00
花样年华,In the Mood for Love,2000,,小西天,2026-02-01 13:45:00,2026-02-01 15:29:00
苔丝,Tess,1979,,百子湾,2026-02-01 15:20:00,2026-02-01 18:11:00
接近终点,Sirat,2025,,小西天,2026-02-01 16:10:00,2026-02-01 18:05:00
我们假期做了什么,What We Did On Our Holiday,2014,,百子湾,2026-02-01 18:40:00,2026-02-01 20:15:00
秋日奏鸣曲,Autumn Sonata,1978,,小西天,2026-02-01 19:00:00,2026-02-01 20:33:00
春节大联欢,The Spring Festival Gala,1956,,小西天(2),2026-02-03 18:30:00,2026-02-03 19:54:00
哀乐中年,Sorrows and Joys of a Middle-Aged Man,1949,,小西天,2026-02-03 19:00:00,2026-02-03 20:50:00
影子,Shadows,2007,,小西天(2),2026-02-04 18:30:00,2026-02-04 20:40:00
渔光曲,Song of The Fishermen,1934,,百子湾,2026-02-04 19:00:00,2026-02-04 19:58:00
南海潮（上集）,Waves on the South-China Sea,1958,,小西天,2026-02-04 19:00:00,2026-02-04 20:49:00
母亲们,Mothers,2010,,小西天(2),2026-02-05 18:30:00,2026-02-05 20:39:00
将来的事,Things to Come,2016,,小西天,2026-02-05 19:00:00,2026-02-05 20:42:00
比基尼·穆恩,Bikini Moon,2017,,小西天(2),2026-02-06 18:30:00,2026-02-06 20:12:00
三只猴子,Three Monkeys,2008,,百子湾,2026-02-06 19:00:00,2026-02-06 20:46:00
地下,Underground,1995,,小西天,2026-02-06 19:00:00,2026-02-06 21:50:00
尘土,Dust,2001,,小西天,2026-02-07 10:30:00,2026-02-07 12:34:00
柳树,Willow,2019,,小西天,2026-02-07 13:15:00,2026-02-07 15:16:00
乘船而去,Gone with the Boat,2023,,百子湾,2026-02-07 13:30:00,2026-02-07 15:09:00
玩乐时间,Play Time,1967,,百子湾,2026-02-07 15:40:00,2026-02-07 17:44:00
暴雨将至,Before the Rain,1994,,小西天,2026-02-07 16:00:00,2026-02-07 17:53:00
新桥恋人,The Lovers on the Bridge,1991,,百子湾,2026-02-07 18:15:00,2026-02-07 20:20:00
凯马克,Kaymak,2022,,小西天(2),2026-02-07 18:20:00,2026-02-07 20:06:00
一江春水向东流,A Spring River Flows East,1947,,小西天,2026-02-07 18:30:00,2026-02-07 21:35:00
橡皮头,Eraserhead,1977,,小西天,2026-02-08 11:00:00,2026-02-08 12:29:00
双峰：与火同行,Twin Peaks: Fire Walk with Me,1992,,小西天,2026-02-08 13:10:00,2026-02-08 15:25:00
超脱,Detachment,2011,,百子湾,2026-02-08 13:30:00,2026-02-08 15:04:00
这时对，那时错,"Right Now, Wrong Then",2015,,百子湾,2026-02-08 15:40:00,2026-02-08 17:40:00
妖夜慌踪,Lost Highway,1997,,小西天,2026-02-08 16:00:00,2026-02-08 18:14:00
黄金时代,The Golden Era,2014,,百子湾,2026-02-08 18:10:00,2026-02-08 21:09:00
穆赫兰道,Mulholland Drive,2001,,小西天,2026-02-08 19:00:00,2026-02-08 21:27:00
