name,englishName,year,director,cinima,playTime,endTime
夏日细语,The Quiet Girl,2022,科尔姆·拜瑞德,小西天,2024-06-01 11:00:00,2024-06-01 12:35:00
大卫·林奇：艺术人生,David Lynch - The Art Life,2016,乔恩·阮 Jon Nguyen/瑞克·巴恩斯 Rick Barnes/奥利维亚·内尔加德-霍尔姆 Olivia Neergaard-Holm,百子湾,2024-06-01 13:30:00,2024-06-01 14:58:00
坂本龙一：终曲,Ryuichi Sakamoto: CODA,2017,史蒂芬·野村·斯奇博 Stephen Nomura Schible,小西天,2024-06-01 13:30:00,2024-06-01 15:10:00
不要再见啊，鱼花塘,Virgin Blue,2021,牛小雨,百子湾,2024-06-01 15:30:00,2024-06-01 17:11:00
坂本龙一：异步,Ryuichi Sakamoto: Async at The Park Avenue Armory,2018,史蒂芬·野村·斯奇博 Stephen Nomura Schible,小西天,2024-06-01 16:00:00,2024-06-01 17:05:00
滑板少年,Minding the Gap,2018,刘冰,百子湾,2024-06-01 17:40:00,2024-06-01 19:13:00
穆赫兰道,Mulholland Drive,2001,大卫·林奇 David Lynch,小西天,2024-06-01 18:00:00,2024-06-01 20:27:00
随心所欲,My Life to Live,1962,让-吕克·戈达尔,小西天,2024-06-02 11:00:00,2024-06-02 12:24:00
蔑视,Contempt,1963,让-吕克·戈达尔,小西天,2024-06-02 13:10:00,2024-06-02 14:53:00
必是天堂,It Must Be Heaven,2019,伊利亚·苏雷曼 Elia Suleiman,百子湾,2024-06-02 13:30:00,2024-06-02 15:11:00
有熊谷守一在的地方,"Mori, The Artist's Habitat",2018,冲田修一 Shûichi Okita,小西天,2024-06-02 15:40:00,2024-06-02 17:19:00
柏林苍穹下,Wings of Desire,1987,维姆·文德斯,百子湾,2024-06-02 15:40:00,2024-06-02 17:49:00
绿洲,Oasis,2002,李沧东,小西天,2024-06-02 18:00:00,2024-06-02 20:13:00
乐满哈瓦那,Buena Vista Social Club,1999,维姆·文德斯,百子湾,2024-06-02 18:20:00,2024-06-02 20:01:00
尚小云舞台艺术,The Stage Art of Shang Xiaoyun,1962,桑夫,小西天(2),2024-06-04 18:30:00,2024-06-04 20:03:00
南极料理人,The Chef of South Polar,2009,冲田修一  Shûichi Okita,小西天,2024-06-04 19:00:00,2024-06-04 21:05:00
双雄对谈：希区柯克与特吕弗,Hitchcock/Truffaut,2015,肯特·琼斯 Kent Jones,小西天(2),2024-06-05 18:30:00,2024-06-05 19:47:00
东亚之光,The Glory of East Asia,1941,何非光,百子湾,2024-06-05 19:00:00,2024-06-05 20:34:00
归来,Coming Home,1934,朱石麟,小西天,2024-06-05 19:00:00,2024-06-05 20:34:00
金门银光梦,Golden Gate Girls,2013,魏时煜,小西天(2),2024-06-06 18:30:00,2024-06-06 20:00:00
劳工之爱情+小城之春,Love's Labours+ Spring in a Small Town,1922,张石川,小西天,2024-06-06 19:00:00,2024-06-06 21:02:00
阿涅斯论瓦尔达,Varda by Agnès,2019,阿涅斯·瓦尔达 Agnès Varda,小西天(2),2024-06-07 18:30:00,2024-06-07 20:31:00
之后,The Day After,2017,洪常秀 Sang-soo Hong,小西天,2024-06-07 19:00:00,2024-06-07 20:31:00
心迷宫,Deep in the Heart,2014,忻钰坤,百子湾,2024-06-07 19:00:00,2024-06-07 20:50:00
蔑视,Contempt,1963,让-吕克·戈达尔,小西天,2024-06-08 11:00:00,2024-06-08 12:43:00
路边野餐,Kaili Blues,2015,毕赣,百子湾,2024-06-08 13:30:00,2024-06-08 15:20:00
音魂掠影,Ennio,2021,朱塞佩·托纳多雷,小西天,2024-06-08 13:30:00,2024-06-08 16:06:00
情书,Love Letter,1995,岩井俊二,百子湾,2024-06-08 15:50:00,2024-06-08 17:47:00
美国往事,Once Upon a Time in America,1984,赛尔乔·莱昂内 Sergio Leone,小西天,2024-06-08 17:00:00,2024-06-08 21:10:00
弗兰西丝·哈,Frances Ha,2012,诺亚·鲍姆巴赫 Noah Baumbach,百子湾,2024-06-08 18:20:00,2024-06-08 19:46:00
雄吕血,Orochi,1925,二川文太郎,小西天,2024-06-09 10:30:00,2024-06-09 12:11:00
默片解说员,Talking the Pictures,2019,周防正行,小西天,2024-06-09 13:00:00,2024-06-09 15:06:00
神女,The Goddess,1934,吴永刚,百子湾,2024-06-09 13:30:00,2024-06-09 14:52:00
永不消逝的电波,The Eternal Wave,1958,王苹,小西天(2),2024-06-09 13:30:00,2024-06-09 15:24:00
甜蜜的生活,The Sweet Life,1960,费德里科·费里尼 Federico Fellini,百子湾,2024-06-09 15:20:00,2024-06-09 18:15:00
阮玲玉,Center Stage,1991,关锦鹏,小西天,2024-06-09 15:45:00,2024-06-09 18:20:00
解放了的中国,Liberated China,1950,谢尔盖·格拉西莫夫 Sergei Gerasimov,小西天(2),2024-06-09 16:00:00,2024-06-09 17:28:00
八部半,8½,1963,费德里科·费里尼,百子湾,2024-06-09 18:45:00,2024-06-09 21:04:00
错位,Cuo wei / Dislocation / 错位 / 錯位（2K）,1986,黄建新,小西天,2024-06-09 19:00:00,2024-06-09 20:29:00
周信芳的舞台艺术,Zhou Xinfang de wutai yishu / The Stage Art of Zhou Xinfang / 周信芳的舞台艺术 / 周信芳的舞臺藝術（2K）,1961,应云卫/杨小仲,小西天(2),2024-06-11 18:30:00,2024-06-11 20:05:00
宇宙探索编辑部,Journey to the West,2023,孔大山,小西天,2024-06-11 19:00:00,2024-06-11 20:58:00
洛可兄弟,Rocco and His Brothers,1960,卢基诺·维斯康蒂,小西天(2),2024-06-12 18:30:00,2024-06-12 21:29:00
