name,englishName,year,director,cinema,playTime,endTime
惊蛰无声,Scare Out,2026,张艺谋,小西天,2026-05-01 10:00:00,2026-05-01 11:48:00
镖人：风起大漠,Blades Of The Guardians：Wind Rises in the Desert,2026,袁和平,小西天,2026-05-01 12:30:00,2026-05-01 14:41:00
男孩遇见女孩,Boy Meets Girl,1984,莱奥·卡拉克斯,江南(1),2026-05-01 13:00:00,2026-05-01 14:45:00
风雨之夜,The Stormy Night,1925,朱瘦菊,江南(4),2026-05-01 13:30:00,2026-05-01 14:53:00
志愿军：浴血和平,The Volunteers: Peace at Last,2025,陈凯歌,小西天,2026-05-01 15:00:00,2026-05-01 17:28:00
坏血,Bad Blood,1986,莱奥·卡拉克斯,江南(1),2026-05-01 15:10:00,2026-05-01 17:10:00
罗马，不设防的城市,"Rome, Open City",1945,罗伯托·罗西里尼,江南(4),2026-05-01 15:20:00,2026-05-01 17:03:00
德意志零年,Germany Year Zero,1948,罗伯托·罗西里尼,江南(4),2026-05-01 18:00:00,2026-05-01 19:14:00
百川东到海,Summer Diary,2025,吴双,小西天,2026-05-01 18:00:00,2026-05-01 19:29:00
新桥恋人,The Lovers on the Bridge,1991,莱奥·卡拉克斯,江南(1),2026-05-01 18:10:00,2026-05-01 20:15:00
靠近我 看见你,We Are Together,2025,江平,小西天,2026-05-02 10:00:00,2026-05-02 11:48:00
震耳欲聋,Sound Of Silence,2025,万力,小西天,2026-05-02 12:30:00,2026-05-02 14:37:00
天空的另一面,The Blue Trail,2025,加布里埃尔·马斯卡罗,江南(1),2026-05-02 13:00:00,2026-05-02 14:26:00
西厢记,West Chamber,1927,侯曜,江南(4),2026-05-02 13:30:00,2026-05-02 14:37:00
游园·惊梦（舞台纪录电影·昆曲）,Kunqu Opera: Peony Pavilion,2025,张鹏,江南(2),2026-05-02 14:00:00,2026-05-02 16:05:00
坠落的审判,Anatomy of a Fall,2023,茹斯汀·特里耶,江南(1),2026-05-02 15:00:00,2026-05-02 17:31:00
火山边缘之恋,Stromboli,1950,罗伯托·罗西里尼,江南(4),2026-05-02 15:10:00,2026-05-02 16:50:00
用武之地,Escape From The Outland,2025,申奥,小西天,2026-05-02 15:10:00,2026-05-02 17:24:00
游览意大利,Voyage in Italy,1954,罗伯托·罗西里尼,江南(4),2026-05-02 18:00:00,2026-05-02 19:23:00
我的朋友安德烈,My Friend An Delie,2026,董子健,小西天,2026-05-02 18:00:00,2026-05-02 19:55:00
大玩家,The Player,1992,罗伯特·奥特曼,江南(1),2026-05-02 18:30:00,2026-05-02 20:30:00
翠湖,As The Water Flows,2026,卞灼 ,小西天,2026-05-03 10:00:00,2026-05-03 12:00:00
毕正明的证明,The Return of the Lame Hero,2025,佟志坚,小西天,2026-05-03 12:30:00,2026-05-03 14:34:00
升空号,Ariel,1988,阿基·考里斯马基,江南(1),2026-05-03 13:00:00,2026-05-03 14:13:00
舞台姐妹,Two Stage Sisters,1965,谢晋,江南(4),2026-05-03 13:30:00,2026-05-03 15:22:00
华伦夫人的职业,National Theatre Live: Mrs. Warren's Profession,2025,多米尼克·库克,江南(2),2026-05-03 14:00:00,2026-05-03 15:54:00
我聘请了职业杀手,I Hired a Contract Killer,1990,阿基·考里斯马基,江南(1),2026-05-03 14:45:00,2026-05-03 16:04:00
浪浪人生,Row To Win,2025,马林,小西天,2026-05-03 15:10:00,2026-05-03 17:13:00
小城之春,Spring in a Small Town,1948,费穆,江南(4),2026-05-03 15:50:00,2026-05-03 17:28:00
波希米亚生活,The Bohemian Life,1992,阿基·考里斯马基,江南(1),2026-05-03 16:40:00,2026-05-03 18:22:00
水饺皇后,The Dumpling Queen,2025,刘伟强,小西天,2026-05-03 18:00:00,2026-05-03 20:00:00
红楼梦,The Dream of Red Mansions,1962,岑范,江南(4),2026-05-03 18:30:00,2026-05-03 21:17:00
奥兰多,Orlando,1992,莎莉·波特,江南(1),2026-05-03 19:20:00,2026-05-03 20:53:00
再团圆,To Love Again,2025,高临阳,小西天,2026-05-04 10:00:00,2026-05-04 11:28:00
东极岛,Dongji Island,2025,管虎,小西天,2026-05-04 12:00:00,2026-05-04 14:14:00
春江水暖,Dwelling in the Fuchun Mountains,2019,顾晓刚,江南(4),2026-05-04 13:00:00,2026-05-04 15:30:00
锡尔斯玛利亚,Clouds of Sils Maria,2014,奥利维耶·阿萨亚斯,江南(1),2026-05-04 13:30:00,2026-05-04 15:31:00
我，许可,It's OK,2026,杨荔钠,小西天,2026-05-04 15:00:00,2026-05-04 16:58:00
我们假期做了什么,What We Did On Our Holiday,2014,安迪·汉密尔顿,江南(4),2026-05-04 16:00:00,2026-05-04 17:35:00
领养,Adoption,1975,玛塔·梅萨罗什,江南(1),2026-05-04 16:10:00,2026-05-04 17:38:00
得闲谨制,Gezhi Town,2025,孔笙,小西天,2026-05-04 18:00:00,2026-05-04 20:05:00
绿洲,Oasis,2002,李沧东,江南(1),2026-05-04 18:20:00,2026-05-04 20:33:00
追鱼,The Scholar and the Fairy Carp,1959,应云卫,江南(4),2026-05-04 18:30:00,2026-05-04 20:03:00
维莉蒂安娜,Viridiana,1961,路易斯·布努埃尔,江南(1),2026-05-05 13:00:00,2026-05-05 14:31:00
过春天,The Crossing,2018,白雪,江南(4),2026-05-05 13:30:00,2026-05-05 15:09:00
恐怖分子,The Terrorist,1986,杨德昌,江南(1),2026-05-05 15:10:00,2026-05-05 16:59:00
罗马，不设防的城市,"Rome, Open City",1945,罗伯托·罗西里尼,江南(4),2026-05-05 15:40:00,2026-05-05 17:23:00
接近终点,Sirat,2025,奥利维尔·拉克谢,江南(1),2026-05-05 18:00:00,2026-05-05 19:55:00
高楼边,By The High Building,1993,戚健,江南(4),2026-05-05 18:30:00,2026-05-05 20:08:00
云霄之上,Beyond the Skies,2021,刘智海,江南(3),2026-05-06 19:00:00,2026-05-06 20:30:00
德意志零年,Germany Year Zero,1948,罗伯托·罗西里尼,江南(4),2026-05-06 19:30:00,2026-05-06 20:44:00
火山边缘之恋,Stromboli,1950,罗伯托·罗西里尼,江南(3),2026-05-07 19:00:00,2026-05-07 20:40:00
大玩家,The Player,1992,罗伯特·奥特曼,江南(4),2026-05-07 19:30:00,2026-05-07 21:30:00
气球,Balloon,2019,万玛才旦,小西天(2),2026-05-08 18:30:00,2026-05-08 20:12:00
游览意大利,Voyage in Italy,1954,罗伯托·罗西里尼,江南(3),2026-05-08 19:00:00,2026-05-08 20:23:00
罗马，不设防的城市,"Rome, Open City",1945,罗伯托·罗西里尼,小西天,2026-05-08 19:00:00,2026-05-08 20:43:00
帝国的毁灭,Downfall,2004,奥利弗·希施比格尔,百子湾,2026-05-08 19:00:00,2026-05-08 21:35:00
奥兰多,Orlando,1992,莎莉·波特,江南(4),2026-05-08 19:30:00,2026-05-08 21:03:00
德意志零年,Germany Year Zero,1948,罗伯托·罗西里尼,小西天,2026-05-09 10:30:00,2026-05-09 11:44:00
孙悟空三打白骨精,Monkey Subdus the White-Bone Demon,1960,杨小仲,江南(3),2026-05-09 10:30:00,2026-05-09 12:08:00
影迷,Camera Buff,1979,克日什托夫·基耶斯洛夫斯基,小西天,2026-05-09 12:30:00,2026-05-09 14:23:00
机器人之梦,Robot Dreams,2023,巴勃罗·贝格尔,江南(1),2026-05-09 13:00:00,2026-05-09 14:42:00
草原,The Grassland,2004,万玛才旦,百子湾,2026-05-09 13:30:00,2026-05-09 13:52:00
风雨之夜,The Stormy Night,1925,朱瘦菊,江南(4),2026-05-09 13:30:00,2026-05-09 14:53:00
游园·惊梦（舞台纪录电影·昆曲）,Kunqu Opera: Peony Pavilion,2025,张鹏,江南(2),2026-05-09 14:00:00,2026-05-09 16:05:00
杀人短片,A Short Film About Killing,1988,克日什托夫·基耶斯洛夫斯基,小西天,2026-05-09 15:00:00,2026-05-09 16:26:00
莉莉·玛莲,Lili Marleen,1981,赖纳·维尔纳·法斯宾德,江南(1),2026-05-09 15:10:00,2026-05-09 17:07:00
升空号,Ariel,1988,阿基·考里斯马基,江南(4),2026-05-09 15:20:00,2026-05-09 16:33:00
寻找智美更登,The Search,2009,万玛才旦,百子湾,2026-05-09 16:00:00,2026-05-09 17:52:00
