name,englishName,year,director,cinema,playTime,endTime
我聘请了职业杀手,I Hired a Contract Killer,1990,阿基·考里斯马基,江南(4),2026-05-09 17:10:00,2026-05-09 18:29:00
爱情短片,A Short Film About Love,1988,克日什托夫·基耶斯洛夫斯基,小西天,2026-05-09 17:10:00,2026-05-09 18:38:00
帝国的毁灭,Downfall,2004,奥利弗·希施比格尔,江南(1),2026-05-09 18:10:00,2026-05-09 20:45:00
雪豹,Snow Leopard,2024,万玛才旦,百子湾,2026-05-09 18:30:00,2026-05-09 20:19:00
波希米亚生活,The Bohemian Life,1992,阿基·考里斯马基,江南(4),2026-05-09 19:10:00,2026-05-09 20:52:00
两生花,The Double Life of Veronique,1991,克日什托夫·基耶斯洛夫斯基,小西天,2026-05-09 19:30:00,2026-05-09 21:07:00
船家女,The Boatman’s Daughter,1935,沈西苓,江南(3),2026-05-10 10:30:00,2026-05-10 12:10:00
火山边缘之恋,Stromboli,1950,罗伯托·罗西里尼,小西天,2026-05-10 10:30:00,2026-05-10 12:10:00
游览意大利,Voyage in Italy,1954,罗伯托·罗西里尼,小西天,2026-05-10 13:00:00,2026-05-10 14:23:00
男孩遇见女孩,Boy Meets Girl,1984,莱奥·卡拉克斯,江南(1),2026-05-10 13:00:00,2026-05-10 14:45:00
男孩遇见女孩,Boy Meets Girl,1984,莱奥·卡拉克斯,百子湾,2026-05-10 13:30:00,2026-05-10 15:15:00
柳如是,Liu Rushi,2012,吴琦,江南(4),2026-05-10 13:30:00,2026-05-10 15:18:00
华伦夫人的职业,National Theatre Live: Mrs. Warren's Profession,2025,多米尼克·库克,江南(2),2026-05-10 14:00:00,2026-05-10 15:54:00
蓝白红三部曲之蓝,Three Colors: Blue,1993,克日什托夫·基耶斯洛夫斯基,小西天,2026-05-10 15:00:00,2026-05-10 16:38:00
坏血,Bad Blood,1986,莱奥·卡拉克斯,江南(1),2026-05-10 15:20:00,2026-05-10 17:20:00
坏血,Bad Blood,1986,莱奥·卡拉克斯,百子湾,2026-05-10 15:40:00,2026-05-10 17:40:00
锡尔斯玛利亚,Clouds of Sils Maria,2014,奥利维耶·阿萨亚斯,江南(4),2026-05-10 15:50:00,2026-05-10 17:51:00
蓝白红三部曲之白,Three Colors: White,1994,克日什托夫·基耶斯洛夫斯基,小西天,2026-05-10 17:20:00,2026-05-10 18:51:00
旺角卡门,As Tears Go By,1988,王家卫,江南(1),2026-05-10 18:10:00,2026-05-10 19:49:00
新桥恋人,The Lovers on the Bridge,1991,莱奥·卡拉克斯,百子湾,2026-05-10 18:10:00,2026-05-10 20:15:00
新桥恋人,The Lovers on the Bridge,1991,莱奥·卡拉克斯,江南(4),2026-05-10 18:45:00,2026-05-10 20:50:00
蓝白红三部曲之红,Three Colors: Red,1994,克日什托夫·基耶斯洛夫斯基,小西天,2026-05-10 19:30:00,2026-05-10 21:09:00
花为媒,Rose as a Go-between,1963,方荧,小西天(2),2026-05-12 18:30:00,2026-05-12 20:22:00
坠落的审判,Anatomy of a Fall,2023,茹斯汀·特里耶,小西天,2026-05-12 19:00:00,2026-05-12 21:31:00
子弹横飞百老汇,Bullets Over Broadway,1994,伍迪·艾伦 ,小西天(2),2026-05-13 18:30:00,2026-05-13 20:09:00
柳堡的故事,The Story of Liubao Village,1957,王苹,小西天,2026-05-13 19:00:00,2026-05-13 20:22:00
舞台姐妹,Two Stage Sisters,1965,谢晋,江南(3),2026-05-13 19:00:00,2026-05-13 20:52:00
东方红,The East Is Red,1965,王苹,百子湾,2026-05-13 19:00:00,2026-05-13 21:00:00
罗马，不设防的城市,"Rome, Open City",1945,罗伯托·罗西里尼,江南(4),2026-05-13 19:30:00,2026-05-13 21:13:00
名人百态,Celebrity,1998,伍迪·艾伦,小西天(2),2026-05-14 18:30:00,2026-05-14 20:19:00
邓南遮占领阜姆自由邦,Fiume o morte!,2025,伊戈尔·贝齐诺维奇,小西天,2026-05-14 19:00:00,2026-05-14 20:53:00
绿洲,Oasis,2002,李沧东,江南(4),2026-05-14 19:00:00,2026-05-14 21:13:00
我们假期做了什么,What We Did On Our Holiday,2014,安迪·汉密尔顿,江南(3),2026-05-14 19:30:00,2026-05-14 21:05:00
解构爱情狂,Deconstructing Harry,1997,伍迪·艾伦 ,小西天(2),2026-05-15 18:30:00,2026-05-15 20:01:00
寂静人生,Still Life,2013,乌贝托·帕索里尼,百子湾,2026-05-15 19:00:00,2026-05-15 20:28:00
甜蜜蜜,Comrades: Almost a Love Story,1996,陈可辛,小西天,2026-05-15 19:00:00,2026-05-15 20:56:00
帝国的毁灭,Downfall,2004,奥利弗·希施比格尔,江南(4),2026-05-15 19:00:00,2026-05-15 21:35:00
高楼边,By The High Building,1993,戚健,江南(3),2026-05-15 19:30:00,2026-05-15 21:08:00
女驸马,Female Consort Prince,1959,刘琼,江南(3),2026-05-16 10:30:00,2026-05-16 12:13:00
最后决战,The Last Battle,1983,吕克·贝松,小西天,2026-05-16 11:00:00,2026-05-16 12:33:00
最后决战,The Last Battle,1983,吕克·贝松,江南(1),2026-05-16 13:00:00,2026-05-16 14:33:00
地下铁,Subway,1985,吕克·贝松,小西天,2026-05-16 13:10:00,2026-05-16 14:52:00
罗马，不设防的城市,"Rome, Open City",1945,罗伯托·罗西里尼,百子湾,2026-05-16 13:30:00,2026-05-16 15:13:00
男孩遇见女孩,Boy Meets Girl,1984,莱奥·卡拉克斯,江南(4),2026-05-16 13:30:00,2026-05-16 15:15:00
华伦夫人的职业,National Theatre Live: Mrs. Warren's Profession,2025,多米尼克·库克,江南(2),2026-05-16 14:00:00,2026-05-16 15:54:00
碧海蓝天,The Big Blue,1988,吕克·贝松,江南(1),2026-05-16 15:15:00,2026-05-16 18:03:00
碧海蓝天,The Big Blue,1988,吕克·贝松,小西天,2026-05-16 15:30:00,2026-05-16 18:18:00
坏血,Bad Blood,1986,莱奥·卡拉克斯,江南(4),2026-05-16 15:40:00,2026-05-16 17:40:00
德意志零年,Germany Year Zero,1948,罗伯托·罗西里尼,百子湾,2026-05-16 15:45:00,2026-05-16 16:59:00
帝国的毁灭,Downfall,2004,奥利弗·希施比格尔,百子湾,2026-05-16 17:30:00,2026-05-16 20:05:00
新桥恋人,The Lovers on the Bridge,1991,莱奥·卡拉克斯,江南(4),2026-05-16 18:30:00,2026-05-16 20:35:00
亚特兰蒂斯,Atlantis,1991,吕克·贝松,江南(1),2026-05-16 19:00:00,2026-05-16 20:19:00
亚特兰蒂斯,Atlantis,1991,吕克·贝松,小西天,2026-05-16 19:00:00,2026-05-16 20:19:00
祝福,New Year Sacrifice,1956,桑弧,江南(3),2026-05-17 10:30:00,2026-05-17 12:07:00
女囚尼基塔,Nikita,1990,吕克·贝松,小西天,2026-05-17 10:30:00,2026-05-17 12:27:00
地下铁,Subway,1985,吕克·贝松,江南(1),2026-05-17 13:00:00,2026-05-17 14:42:00
这个杀手不太冷,Leon: The Professional,1994,吕克·贝松,小西天,2026-05-17 13:10:00,2026-05-17 15:23:00
西厢记,West Chamber,1927,侯曜,江南(4),2026-05-17 13:30:00,2026-05-17 14:37:00
游览意大利,Voyage in Italy,1954,罗伯托·罗西里尼,百子湾,2026-05-17 13:30:00,2026-05-17 14:53:00
游园·惊梦（舞台纪录电影·昆曲）,Kunqu Opera: Peony Pavilion,2025,张鹏,江南(2),2026-05-17 14:00:00,2026-05-17 16:05:00
小城之春,Spring in a Small Town,1948,费穆,江南(4),2026-05-17 15:10:00,2026-05-17 16:48:00
女囚尼基塔,Nikita,1990,吕克·贝松,江南(1),2026-05-17 15:15:00,2026-05-17 17:12:00
火山边缘之恋,Stromboli,1950,罗伯托·罗西里尼,百子湾,2026-05-17 15:30:00,2026-05-17 17:10:00
第五元素,The Fifth Element,1997,吕克·贝松,小西天,2026-05-17 16:10:00,2026-05-17 18:16:00
奥兰多,Orlando,1992,莎莉·波特,江南(4),2026-05-17 17:30:00,2026-05-17 19:03:00
这个男人来自地球,The Man from Earth,2007,理查德·沙因克曼,百子湾,2026-05-17 17:40:00,2026-05-17 19:07:00
这个杀手不太冷,Leon: The Professional,1994,吕克·贝松,江南(1),2026-05-17 18:00:00,2026-05-17 20:13:00
圣女贞德,The Messenger: The Story of Joan of Arc,1999,吕克·贝松,小西天,2026-05-17 19:00:00,2026-05-17 21:40:00
梁山伯与祝英台,Liang Shanbo and Zhu Yingtai,1954,桑弧,小西天(2),2026-05-19 18:30:00,2026-05-19 20:21:00
男孩遇见女孩,Boy Meets Girl,1984,莱奥·卡拉克斯,小西天,2026-05-19 19:00:00,2026-05-19 20:45:00
幸福,Happiness,1965,阿涅斯·瓦尔达,小西天(2),2026-05-20 18:30:00,2026-05-20 19:51:00
永不消逝的电波,The Eternal Wave,1958,王苹,小西天,2026-05-20 19:00:00,2026-05-20 20:54:00
桃花扇,The Peach-Blossom Fan,1963,孙敬,江南(3),2026-05-20 19:00:00,2026-05-20 20:59:00
霓虹灯下的哨兵,Sentinels under Neon Lights,1964,王苹,百子湾,2026-05-20 19:00:00,2026-05-20 20:59:00
莉莉·玛莲,Lili Marleen,1981,赖纳·维尔纳·法斯宾德,江南(4),2026-05-20 19:30:00,2026-05-20 21:27:00
墙的呢喃,Mural Murals,1981,阿涅斯·瓦尔达,小西天(2),2026-05-21 18:30:00,2026-05-21 19:52:00
坏血,Bad Blood,1986,莱奥·卡拉克斯,小西天,2026-05-21 19:00:00,2026-05-21 21:00:00
锡尔斯玛利亚,Clouds of Sils Maria,2014,奥利维耶·阿萨亚斯,江南(3),2026-05-21 19:00:00,2026-05-21 21:01:00
接近终点,Sirat,2025,奥利维尔·拉克谢,江南(4),2026-05-21 19:30:00,2026-05-21 21:25:00
尽情游戏,Micmacs,2009,让-皮埃尔·热内,小西天(2),2026-05-22 18:30:00,2026-05-22 20:10:00
最后决战,The Last Battle,1983,吕克·贝松,小西天,2026-05-22 19:00:00,2026-05-22 20:33:00
高楼边,By The High Building,1993,戚健,江南(3),2026-05-22 19:00:00,2026-05-22 20:38:00
新桥恋人,The Lovers on the Bridge,1991,莱奥·卡拉克斯,百子湾,2026-05-22 19:00:00,2026-05-22 21:05:00
永恒的记忆,The Eternal Memory,2023,梅特·阿尔贝蒂,江南(4),2026-05-22 19:30:00,2026-05-22 20:55:00
追鱼,The Scholar and the Fairy Carp,1959,应云卫,江南(3),2026-05-23 10:30:00,2026-05-23 12:03:00
这个杀手不太冷,Leon: The Professional,1994,吕克·贝松,小西天,2026-05-23 10:30:00,2026-05-23 12:43:00
第五元素,The Fifth Element,1997,吕克·贝松,江南(1),2026-05-23 13:00:00,2026-05-23 15:06:00
子弹横飞百老汇,Bullets Over Broadway,1994,伍迪·艾伦 ,百子湾,2026-05-23 13:30:00,2026-05-23 15:09:00
野蛮人入侵,Barbarian Invasion,2021,陈翠梅,江南(4),2026-05-23 13:30:00,2026-05-23 15:16:00
女囚尼基塔,Nikita,1990,吕克·贝松,小西天,2026-05-23 13:30:00,2026-05-23 15:27:00
华伦夫人的职业,National Theatre Live: Mrs. Warren's Profession,2025,多米尼克·库克,江南(2),2026-05-23 14:00:00,2026-05-23 15:54:00
解构爱情狂,Deconstructing Harry,1997,伍迪·艾伦 ,百子湾,2026-05-23 15:40:00,2026-05-23 17:11:00
圣女贞德,The Messenger: The Story of Joan of Arc,1999,吕克·贝松,江南(1),2026-05-23 15:40:00,2026-05-23 18:20:00
姥姥的外孙,How to Make Millions Before Grandma Dies,2024,帕特·波尼蒂帕特,江南(4),2026-05-23 15:45:00,2026-05-23 17:51:00
圣女贞德,The Messenger: The Story of Joan of Arc,1999,吕克·贝松,小西天,2026-05-23 16:10:00,2026-05-23 18:50:00
名人百态,Celebrity,1998,伍迪·艾伦,百子湾,2026-05-23 17:40:00,2026-05-23 19:29:00
金色茧房,Inside the Yellow Cocoon Shell,2023,范天安,江南(4),2026-05-23 18:30:00,2026-05-23 21:29:00
82年生的金智英,"Kim Ji-young, Born 1982",2019,金度英,江南(1),2026-05-23 19:10:00,2026-05-23 21:08:00
第五元素,The Fifth Element,1997,吕克·贝松,小西天,2026-05-23 19:30:00,2026-05-23 21:36:00
祝福,New Year Sacrifice,1956,桑弧,江南(3),2026-05-24 10:30:00,2026-05-24 12:07:00
亚特兰蒂斯,Atlantis,1991,吕克·贝松,小西天,2026-05-24 11:00:00,2026-05-24 12:19:00
无爱可诉,Loveless,2017,安德烈·兹维亚金采夫,江南(4),2026-05-24 13:00:00,2026-05-24 15:07:00
碧海蓝天,The Big Blue,1988,吕克·贝松,小西天,2026-05-24 13:00:00,2026-05-24 15:48:00
滑板少年,Minding the Gap,2018,刘冰,江南(1),2026-05-24 13:30:00,2026-05-24 15:03:00
胡丽叶塔,Julieta,2016,佩德罗·阿莫多瓦,百子湾,2026-05-24 13:30:00,2026-05-24 15:08:00
游园·惊梦（舞台纪录电影·昆曲）,Kunqu Opera: Peony Pavilion,2025,张鹏,江南(2),2026-05-24 14:00:00,2026-05-24 16:05:00
甜蜜蜜,Comrades: Almost a Love Story,1996,陈可辛,江南(1),2026-05-24 15:30:00,2026-05-24 17:26:00
亲密,Close,2022,卢卡斯·德霍特,百子湾,2026-05-24 15:40:00,2026-05-24 17:25:00
山河故人,Mountains May Depart,2015,贾樟柯,江南(4),2026-05-24 15:40:00,2026-05-24 17:46:00
地下铁,Subway,1985,吕克·贝松,小西天,2026-05-24 16:30:00,2026-05-24 18:12:00
利维坦,Leviafan,2014,安德烈·兹维亚金采夫,百子湾,2026-05-24 18:00:00,2026-05-24 20:21:00
维莉蒂安娜,Viridiana,1961,路易斯·布努埃尔,江南(1),2026-05-24 18:30:00,2026-05-24 20:01:00
共同的语言,Universal Language,2024,马修·兰金,江南(4),2026-05-24 18:40:00,2026-05-24 20:09:00
甜蜜蜜,Comrades: Almost a Love Story,1996,陈可辛,小西天,2026-05-24 19:00:00,2026-05-24 20:56:00
红楼梦,The Dream of Red Mansions,1962,岑范,小西天(2),2026-05-26 18:30:00,2026-05-26 21:17:00
惩罚,The Punishment,2022,马蒂亚斯·比塞,小西天,2026-05-26 19:00:00,2026-05-26 20:26:00
索尔之子,Son of Saul,2015,拉斯洛·奈迈施,小西天(2),2026-05-27 18:30:00,2026-05-27 20:17:00
船家女,The Boatman’s Daughter,1935,沈西苓,江南(3),2026-05-27 19:00:00,2026-05-27 20:40:00
永不消逝的电波,The Eternal Wave,1958,王苹,百子湾,2026-05-27 19:00:00,2026-05-27 20:54:00
东方红,The East Is Red,1965,王苹,小西天,2026-05-27 19:00:00,2026-05-27 21:00:00
大玩家,The Player,1992,罗伯特·奥特曼,江南(4),2026-05-27 19:30:00,2026-05-27 21:30:00
亲密,Close,2022,卢卡斯·德霍特,小西天(2),2026-05-28 18:30:00,2026-05-28 20:15:00
寂静人生,Still Life,2013,乌贝托·帕索里尼,小西天,2026-05-28 19:00:00,2026-05-28 20:28:00
帝国的毁灭,Downfall,2004,奥利弗·希施比格尔,江南(4),2026-05-28 19:00:00,2026-05-28 21:35:00
我们假期做了什么,What We Did On Our Holiday,2014,安迪·汉密尔顿,江南(3),2026-05-28 19:30:00,2026-05-28 21:05:00
胡丽叶塔,Julieta,2016,佩德罗·阿莫多瓦,小西天(2),2026-05-29 18:30:00,2026-05-29 20:08:00
尽情游戏,Micmacs,2009,让-皮埃尔·热内,百子湾,2026-05-29 19:00:00,2026-05-29 20:40:00
无爱可诉,Loveless,2017,安德烈·兹维亚金采夫,江南(3),2026-05-29 19:00:00,2026-05-29 21:07:00
野兽,The Beast,2023,贝特朗·波尼洛,小西天,2026-05-29 19:00:00,2026-05-29 21:26:00
滑板少年,Minding the Gap,2018,刘冰,江南(4),2026-05-29 19:30:00,2026-05-29 21:03:00
红楼梦,The Dream of Red Mansions,1962,岑范,江南(3),2026-05-30 10:30:00,2026-05-30 13:17:00
花样年华,In the Mood for Love,2000,王家卫,小西天,2026-05-30 11:00:00,2026-05-30 12:44:00
领养,Adoption,1975,玛塔·梅萨罗什,江南(1),2026-05-30 13:00:00,2026-05-30 14:28:00
五至七时的克莱奥,Cleo from 5 to 7,1962,阿涅斯·瓦尔达,百子湾,2026-05-30 13:30:00,2026-05-30 15:00:00
旺角卡门,As Tears Go By,1988,王家卫,小西天,2026-05-30 13:30:00,2026-05-30 15:09:00
过春天,The Crossing,2018,白雪,江南(4),2026-05-30 13:30:00,2026-05-30 15:09:00
游园·惊梦（舞台纪录电影·昆曲）,Kunqu Opera: Peony Pavilion,2025,张鹏,江南(2),2026-05-30 14:00:00,2026-05-30 16:05:00
花样年华,In the Mood for Love,2000,王家卫,江南(1),2026-05-30 15:10:00,2026-05-30 16:54:00
幸福,Happiness,1965,阿涅斯·瓦尔达,百子湾,2026-05-30 15:30:00,2026-05-30 16:51:00
翠湖,As The Water Flows,2026,卞灼 ,江南(4),2026-05-30 15:40:00,2026-05-30 17:40:00
阿飞正传,Days of Being Wild,1990,王家卫,小西天,2026-05-30 16:00:00,2026-05-30 17:34:00
墙的呢喃,Mural Murals,1981,阿涅斯·瓦尔达,百子湾,2026-05-30 17:30:00,2026-05-30 18:52:00
接近终点,Sirat,2025,奥利维尔·拉克谢,江南(1),2026-05-30 18:00:00,2026-05-30 19:55:00
共同的语言,Universal Language,2024,马修·兰金,江南(4),2026-05-30 18:30:00,2026-05-30 19:59:00
悲情城市,A City of Sadness,1989,侯孝贤,小西天,2026-05-30 18:30:00,2026-05-30 21:08:00
云霄之上,Beyond the Skies,2021,刘智海,江南(3),2026-05-31 10:30:00,2026-05-31 12:00:00
巴黎夏日,That Summer in Paris,2025,瓦伦丁·卡迪奇,小西天,2026-05-31 11:00:00,2026-05-31 12:18:00
这个男人来自地球,The Man from Earth,2007,理查德·沙因克曼,小西天,2026-05-31 13:00:00,2026-05-31 14:27:00
莉莉·玛莲,Lili Marleen,1981,赖纳·维尔纳·法斯宾德,江南(1),2026-05-31 13:00:00,2026-05-31 14:57:00
达盖尔街风情,Daguerreotypes,1975,阿涅斯·瓦尔达,百子湾,2026-05-31 13:30:00,2026-05-31 14:49:00
爸妈不在家,Ilo Ilo,2013,陈哲艺,江南(4),2026-05-31 13:30:00,2026-05-31 15:09:00
华伦夫人的职业,National Theatre Live: Mrs. Warren's Profession,2025,多米尼克·库克,江南(2),2026-05-31 14:00:00,2026-05-31 15:54:00
邓南遮占领阜姆自由邦,Fiume o morte!,2025,伊戈尔·贝齐诺维奇,小西天,2026-05-31 15:00:00,2026-05-31 16:53:00
天涯沦落女,Vagabond,1985,阿涅斯·瓦尔达,百子湾,2026-05-31 15:20:00,2026-05-31 17:06:00
天空的另一面,The Blue Trail,2025,加布里埃尔·马斯卡罗,江南(1),2026-05-31 15:30:00,2026-05-31 16:56:00
永恒的记忆,The Eternal Memory,2023,梅特·阿尔贝蒂,江南(4),2026-05-31 15:40:00,2026-05-31 17:05:00
戒酒五步曲,National Theatre Live: The Fifth Step,2025,芬恩·登·赫托格,小西天,2026-05-31 17:30:00,2026-05-31 18:54:00
拾穗者,The Gleaners and I,2000,阿涅斯·瓦尔达,百子湾,2026-05-31 17:40:00,2026-05-31 19:02:00
绿洲,Oasis,2002,李沧东,江南(1),2026-05-31 18:00:00,2026-05-31 20:13:00
金色茧房,Inside the Yellow Cocoon Shell,2023,范天安,江南(4),2026-05-31 18:10:00,2026-05-31 21:09:00
山河故人,Mountains May Depart,2015,贾樟柯,小西天,2026-05-31 19:30:00,2026-05-31 21:36:00
