name,englishName,year,director,cinima,playTime,endTime
童一个世界,Playground,2021,,小西天(2),2023-06-01 18:30:00,2023-06-01 19:42:00
拨浪鼓咚咚响,Like Father and Son,2023,,小西天,2023-06-01 19:00:00,2023-06-01 20:37:00
小小港湾,Little Harbour,2017,,小西天(2),2023-06-02 18:30:00,2023-06-02 19:55:00
荣耀时刻,Slava/Glory,2016,,百子湾,2023-06-02 19:00:00,2023-06-02 20:41:00
金的音像店,Kim's Video,2023,,小西天,2023-06-02 19:00:00,2023-06-02 20:28:00
爱丽丝,Alice,1988,,小西天,2023-06-03 11:00:00,2023-06-03 12:26:00
佛罗里达乐园,The Florida Project,2017,,小西天,2023-06-03 13:10:00,2023-06-03 15:01:00
白蛇传·情,White Snake,2019,,百子湾,2023-06-03 13:30:00,2023-06-03 15:11:00
家在水草丰茂的地方,River Road,2014,,小西天,2023-06-03 16:00:00,2023-06-03 17:43:00
昆西四季,The Seasons in Quincy: Four Portraits of John Berger,2016,,百子湾,2023-06-03 16:00:00,2023-06-03 17:28:00
野梨树,The Wild Pear Tree,2018,,百子湾,2023-06-03 18:00:00,2023-06-03 21:08:00
亲密,Close,2022,,小西天,2023-06-03 18:30:00,2023-06-03 20:15:00
幻之光,Maborosi,1995,,小西天,2023-06-04 10:30:00,2023-06-04 12:19:00
下一站，天国,After Life,1998,,小西天,2023-06-04 13:00:00,2023-06-04 14:59:00
巴贝特之宴,Babette's Feast,1987,,百子湾,2023-06-04 13:30:00,2023-06-04 15:09:00
小森林 夏秋篇,Little Forest: Summer & Autumn,2014,,百子湾,2023-06-04 15:40:00,2023-06-04 17:33:00
德州巴黎,"Paris, Texas",1984,,小西天,2023-06-04 15:45:00,2023-06-04 18:10:00
小森林 冬春篇,Little Forest: Winter & Spring,2015,,百子湾,2023-06-04 18:10:00,2023-06-04 20:10:00
绿洲,Oasis,2002,,小西天,2023-06-04 19:00:00,2023-06-04 21:13:00
刘三姐,Third Sister Liu,1960,,小西天(2),2023-06-06 18:30:00,2023-06-06 20:22:00
十二怒汉：大审判,12,2007,,小西天,2023-06-06 19:00:00,2023-06-06 21:33:00
西葫芦的生活,My Life as a Zucchini,2016,,小西天(2),2023-06-07 18:30:00,2023-06-07 19:33:00
小侠女,The Young Heroine,1939,,小西天,2023-06-07 19:00:00,2023-06-07 20:14:00
压岁钱,New Year's Coin,1937,,百子湾,2023-06-07 19:00:00,2023-06-07 20:35:00
