name,englishName,year,director,cinima,playTime,endTime
天空之城,Laputa: Castle in the Sky,1986,,小西天,2025-06-01 11:00:00,2025-06-01 13:05:00
搬家,Moving,1993,,百子湾,2025-06-01 13:30:00,2025-06-01 15:34:00
哈尔的移动城堡,Howls Moving Castle,2004,,小西天,2025-06-01 13:45:00,2025-06-01 15:45:00
佛罗里达乐园,The Florida Project,2017,,百子湾,2025-06-01 16:10:00,2025-06-01 18:01:00
旺角卡门,As Tears Go By,1988,,小西天,2025-06-01 16:30:00,2025-06-01 18:09:00
两小无猜,Love Me If You Dare,2003,,百子湾,2025-06-01 18:30:00,2025-06-01 20:04:00
堕落天使,Fallen Angels,1995,,小西天,2025-06-01 19:00:00,2025-06-01 20:39:00
宋士杰,Song Shijie,1956,,小西天(2),2025-06-03 18:30:00,2025-06-03 20:11:00
夏日细语,The Quiet Girl,2022,,小西天,2025-06-03 19:00:00,2025-06-03 20:35:00
九三之夏,Summer 1993,2017,,小西天(2),2025-06-04 18:30:00,2025-06-04 20:04:00
母亲,Mother,1949,,百子湾,2025-06-04 19:00:00,2025-06-04 20:41:00
我这一辈子,This Life of Mine,1950,,小西天,2025-06-04 19:00:00,2025-06-04 20:48:00
岁月自珍,Plan 75,2022,,小西天(2),2025-06-05 18:30:00,2025-06-05 20:22:00
法外之徒,Band of Outsiders,1964,,小西天,2025-06-05 19:00:00,2025-06-05 20:35:00
琴键人生：肖赛幕后全纪实,Pianoforte: Mastering the Moment – Inside the Chopin Piano Competition,2023,,小西天(2),2025-06-06 18:30:00,2025-06-06 19:59:00
春光乍泄,Happy Together,1997,,小西天,2025-06-06 19:00:00,2025-06-06 20:36:00
海街日记,Our Little Sister,2015,,百子湾,2025-06-06 19:00:00,2025-06-06 21:07:00
红辣椒,Paprika,2006,,小西天,2025-06-07 11:00:00,2025-06-07 12:30:00
阿飞正传,Days of Being Wild,1990,,小西天,2025-06-07 13:30:00,2025-06-07 15:04:00
奇美拉,La Chimera,2023,,百子湾,2025-06-07 13:30:00,2025-06-07 15:36:00
爱神-手,The Hand,2004,,小西天,2025-06-07 16:00:00,2025-06-07 16:56:00
