name,englishName,year,director,cinima,playTime,endTime
审判,The Trial,1962,,小西天,2025-11-01 11:00:00,2025-11-01 12:59:00
甜蜜的生活,The Sweet Life,1960,,百子湾,2025-11-01 13:30:00,2025-11-01 16:25:00
大河之歌,Aparajito,1956,,小西天,2025-11-01 13:40:00,2025-11-01 15:29:00
青春残酷物语,A Story of the Cruelties of Youth,1960,,小西天,2025-11-01 16:10:00,2025-11-01 17:46:00
八部半,8½,1963,,百子湾,2025-11-01 17:00:00,2025-11-01 19:18:00
弗兰肯斯坦,National Theatre Live: Frankenstein,2011,,小西天,2025-11-01 18:30:00,2025-11-01 20:40:00
黑道与家族,The Family,2020,,百子湾,2025-11-01 20:00:00,2025-11-01 22:16:00
罗马，不设防的城市,"Rome, Open City",1945,,小西天,2025-11-02 10:30:00,2025-11-02 12:13:00
德意志零年,Germany Year Zero,1948,,小西天,2025-11-02 13:00:00,2025-11-02 14:14:00
洛可兄弟,Rocco and His Brothers,1960,,百子湾,2025-11-02 13:30:00,2025-11-02 16:29:00
火山边缘之恋,Stromboli,1950,,小西天,2025-11-02 15:00:00,2025-11-02 16:40:00
奇遇,The Adventure,1960,,百子湾,2025-11-02 17:00:00,2025-11-02 19:18:00
游览意大利,Voyage in Italy,1954,,小西天,2025-11-02 17:30:00,2025-11-02 18:53:00
还有明天,There's Still Tomorrow,2023,,小西天,2025-11-02 19:30:00,2025-11-02 21:28:00
红色沙漠,Red Desert,1964,,百子湾,2025-11-02 19:45:00,2025-11-02 21:42:00
红楼梦,The Dream of Red Mansions,1962,,小西天(2),2025-11-04 18:30:00,2025-11-04 21:17:00
河边的错误,Only the River Flows,2023,,小西天,2025-11-04 19:00:00,2025-11-04 20:42:00
永安镇故事集,Ripples of Life,2023,,小西天(2),2025-11-05 18:30:00,2025-11-05 20:33:00
三毛流浪记（1949+1958）,The Winter of Three Hairs,1949,,小西天,2025-11-05 19:00:00,2025-11-05 20:45:00
街头巷尾,Good Neighbors,1948,,百子湾,2025-11-05 19:00:00,2025-11-05 20:48:00
妈妈和七天的时间,Mama,2024,,小西天(2),2025-11-06 18:30:00,2025-11-06 20:43:00
角色,Character,1997,,小西天,2025-11-06 19:00:00,2025-11-06 21:02:00
神女,The Goddess,1934,,小西天(2),2025-11-07 18:30:00,2025-11-07 19:53:00
随心所欲,My Life to Live,1962,,百子湾,2025-11-07 19:00:00,2025-11-07 20:24:00
英雄,Hero,2002,,小西天,2025-11-08 10:30:00,2025-11-08 12:09:00
花样年华,In the Mood for Love,2000,,小西天,2025-11-08 13:00:00,2025-11-08 14:44:00
法外之徒,Band of Outsiders,1964,,百子湾,2025-11-08 13:30:00,2025-11-08 15:05:00
安东尼娅家族,Antonia's Line,1995,,小西天(2),2025-11-08 13:30:00,2025-11-08 15:12:00
巴里·林登,Barry Lyndon,1975,,小西天,2025-11-08 15:30:00,2025-11-08 18:35:00
春天的故事,A Tale of Springtime,1990,,百子湾,2025-11-08 15:40:00,2025-11-08 17:27:00
洛克和朱尔,Rocco & Jules,2023,,小西天(2),2025-11-08 16:00:00,2025-11-08 17:32:00
冬天的故事,A Tale of Winter,1992,,百子湾,2025-11-08 18:00:00,2025-11-08 19:54:00
2001太空漫游,2001: A Space Odyssey,1968,,小西天,2025-11-08 19:30:00,2025-11-08 21:59:00
新龙门客栈,New Dragon Gate Inn,1992,,小西天,2025-11-09 10:30:00,2025-11-09 12:13:00
非穷尽列举,National Theatre Live: Inter Alia,2025,,小西天,2025-11-09 13:00:00,2025-11-09 14:52:00
四次,The Four Times,2010,,百子湾,2025-11-09 13:30:00,2025-11-09 14:58:00
双生姐妹,Sisterhood,2024,,小西天(2),2025-11-09 13:30:00,2025-11-09 15:30:00
夏天的故事,A Summers Tale,1996,,百子湾,2025-11-09 15:30:00,2025-11-09 17:24:00
我的生活,My Life,2019,,小西天(2),2025-11-09 16:00:00,2025-11-09 17:28:00
爱在黎明破晓前,Before Sunrise,1995,,小西天,2025-11-09 16:30:00,2025-11-09 18:11:00
秋天的故事,Autumn Tale,1998,,百子湾,2025-11-09 18:00:00,2025-11-09 19:51:00
爱在日落黄昏时,Before Sunset,2004,,小西天,2025-11-09 19:00:00,2025-11-09 20:20:00
红色康拜因,The Red Awn,2007,,小西天,2025-11-11 15:30:00,2025-11-11 17:14:00
日掛中天,The Sun Rises on Us All,2025,,小西天,2025-11-11 18:00:00,2025-11-11 20:11:00
追鱼,The Scholar and the Fairy Carp,1959,,小西天(2),2025-11-11 18:30:00,2025-11-11 20:03:00
真正的家人,The Family,2021,,小西天(2),2025-11-12 18:30:00,2025-11-12 20:11:00
丽人行,Three Women,1949,,百子湾,2025-11-12 19:00:00,2025-11-12 20:48:00
家,The Family,1956,,小西天,2025-11-12 19:00:00,2025-11-12 21:06:00
音魂掠影,Ennio,2021,,小西天(2),2025-11-13 18:30:00,2025-11-13 21:06:00
邮差,The Postman,1994,,小西天,2025-11-13 19:00:00,2025-11-13 20:49:00
好老板,The Good Boss,2021,,小西天(2),2025-11-14 18:30:00,2025-11-14 20:30:00
坂本龙一：终曲,Ryuichi Sakamoto: CODA,2017,,百子湾,2025-11-14 19:00:00,2025-11-14 20:40:00
《天堂电影院》特别放映,Cinema Paradiso,1988,,小西天,2025-11-14 19:00:00,2025-11-14 21:05:00
爸妈不在家,Ilo Ilo,2013,,小西天,2025-11-15 11:00:00,2025-11-15 12:39:00
热带雨,Wet Season,2019,,小西天,2025-11-15 13:30:00,2025-11-15 15:13:00
爱情神话,B for Busy,2021,,百子湾,2025-11-15 13:30:00,2025-11-15 15:22:00
随心所欲,My Life to Live,1962,,百子湾,2025-11-15 16:00:00,2025-11-15 17:24:00
飞越疯人院,One Flew Over the Cuckoo's Nest,1975,,小西天,2025-11-15 16:00:00,2025-11-15 18:14:00
法外之徒,Band of Outsiders,1964,,百子湾,2025-11-15 18:00:00,2025-11-15 19:35:00
脸庞，村庄,Faces Places,2017,,小西天,2025-11-15 19:00:00,2025-11-15 20:29:00
原始星球,Fantastic Planet,1973,,小西天,2025-11-16 11:00:00,2025-11-16 12:12:00
秋日奏鸣曲,Autumn Sonata,1978,,小西天,2025-11-16 13:00:00,2025-11-16 14:33:00
我的生活,My Life,2019,,百子湾,2025-11-16 13:30:00,2025-11-16 14:58:00
盗火线,Heat,1995,,小西天,2025-11-16 15:20:00,2025-11-16 18:10:00
洛克和朱尔,Rocco & Jules,2023,,百子湾,2025-11-16 15:30:00,2025-11-16 17:02:00
安东尼娅家族,Antonia's Line,1995,,百子湾,2025-11-16 17:30:00,2025-11-16 19:12:00
黑道与家族,The Family,2020,,小西天,2025-11-16 19:00:00,2025-11-16 21:16:00
白蛇传,White Snakes Legend,2007,,小西天(2),2025-11-18 18:30:00,2025-11-18 20:30:00
万里千寻,Of Color and Ink,2023,,小西天,2025-11-18 19:00:00,2025-11-18 20:42:00
洛可兄弟,Rocco and His Brothers,1960,,小西天(2),2025-11-19 18:30:00,2025-11-19 21:29:00
为孩子们祝福,Bless the Children,1953,,百子湾,2025-11-19 19:00:00,2025-11-19 20:26:00
海魂,Soul of the Sea,1957,,小西天,2025-11-19 19:00:00,2025-11-19 20:32:00
希什马雷夫的最后岁月,Last Days of Shishmaref,2008,,小西天(2),2025-11-20 18:30:00,2025-11-20 20:03:00
小世界,Here,2023,,小西天,2025-11-20 19:00:00,2025-11-20 20:22:00
高楼边,By The High Building,1993,,小西天(2),2025-11-21 18:30:00,2025-11-21 20:04:00
当天使坠落,When Angels Fall,1959,,小西天,2025-11-21 19:00:00,2025-11-21 19:21:00
音魂掠影,Ennio,2021,,百子湾,2025-11-21 19:00:00,2025-11-21 21:36:00
路边野餐,Kaili Blues,2015,,小西天,2025-11-22 10:30:00,2025-11-22 12:20:00
地球最后的夜晚,Long Days Journey  Night,2018,,小西天,2025-11-22 13:00:00,2025-11-22 15:18:00
坂本龙一：终曲,Ryuichi Sakamoto: CODA,2017,,百子湾,2025-11-22 13:30:00,2025-11-22 15:10:00
春天的故事,A Tale of Springtime,1990,,百子湾,2025-11-22 15:40:00,2025-11-22 17:27:00
2001太空漫游,2001: A Space Odyssey,1968,,小西天,2025-11-22 16:00:00,2025-11-22 18:29:00
冬天的故事,A Tale of Winter,1992,,百子湾,2025-11-22 18:00:00,2025-11-22 19:54:00
巴里·林登,Barry Lyndon,1975,,小西天,2025-11-22 19:10:00,2025-11-22 22:15:00
八部半,8½,1963,,小西天,2025-11-23 10:10:00,2025-11-23 12:28:00
甜蜜的生活,The Sweet Life,1960,,小西天,2025-11-23 13:00:00,2025-11-23 15:55:00
相爱相亲,Love Education,2017,,百子湾,2025-11-23 13:30:00,2025-11-23 15:31:00
夏天的故事,A Summers Tale,1996,,百子湾,2025-11-23 16:00:00,2025-11-23 17:54:00
琳达！琳达！琳达！,Linda Linda Linda,2005,,小西天,2025-11-23 16:30:00,2025-11-23 18:25:00
秋天的故事,Autumn Tale,1998,,百子湾,2025-11-23 18:30:00,2025-11-23 20:21:00
萨拉戈萨手稿 导演剪辑版,The Saragossa Manuscript Director's Cut,1965,,小西天,2025-11-23 19:00:00,2025-11-23 22:03:00
锁麟囊,The Unicorn Purse,2008,,小西天(2),2025-11-25 18:30:00,2025-11-25 20:35:00
那山那人那狗,Postmen in the Mountains,1999,,小西天,2025-11-25 19:00:00,2025-11-25 20:33:00
水与糖：摄影家卡洛·迪·帕尔马的生活与色彩,"Water and Sugar: Carlo Di Palma, the Colours of Life",2016,,小西天(2),2025-11-26 18:30:00,2025-11-26 20:00:00
六十年代第一春,The First Spring in 1960s,1960,,百子湾,2025-11-26 19:00:00,2025-11-26 20:46:00
烈火中永生,Eternity in Flames,1965,,小西天,2025-11-26 19:00:00,2025-11-26 21:24:00
奇遇,The Adventure,1960,,小西天(2),2025-11-27 18:30:00,2025-11-27 20:48:00
正面还是反面？,Heads or Tails?,2025,,小西天,2025-11-27 19:00:00,2025-11-27 20:56:00
红色沙漠,Red Desert,1964,,小西天(2),2025-11-28 18:30:00,2025-11-28 20:27:00
原始星球,Fantastic Planet,1973,,百子湾,2025-11-28 19:00:00,2025-11-28 20:12:00
子弹横飞百老汇,Bullets Over Broadway,1994,,小西天,2025-11-28 19:00:00,2025-11-28 20:39:00
试吃者,At the Wolf's  Table,2025,,小西天,2025-11-29 11:00:00,2025-11-29 13:03:00
神女,The Goddess,1934,,百子湾,2025-11-29 13:30:00,2025-11-29 14:53:00
我的喜悦夏天,Sweetheart,2025,,小西天(2),2025-11-29 13:30:00,2025-11-29 15:00:00
安妮·霍尔,Annie Hall,1977,,小西天,2025-11-29 13:45:00,2025-11-29 15:19:00
气球,Balloon,2019,,百子湾,2025-11-29 15:30:00,2025-11-29 17:12:00
曼哈顿,Manhattan,1979,,小西天,2025-11-29 16:00:00,2025-11-29 17:37:00
四次,The Four Times,2010,,百子湾,2025-11-29 18:00:00,2025-11-29 19:28:00
解构爱情狂,Deconstructing Harry,1997,,小西天,2025-11-29 18:30:00,2025-11-29 20:01:00
家族情仇,Familia,2024,,小西天,2025-11-30 11:00:00,2025-11-30 13:00:00
灿烂人生,The Best of Youth,2003,,百子湾,2025-11-30 13:30:00,2025-11-30 19:36:00
