name,englishName,year,director,cinima,playTime,endTime
长江图,Crosscurrent,2016,,小西天,2024-04-02 19:00:00,2024-04-02 20:55:00
小城之春,Xiaocheng zhi chun / Spring Time in a Small Town / 小城之春（2K）,1948,,百子湾,2024-04-03 19:00:00,2024-04-03 20:38:00
一年之计,"Year In, Year Out",1955,,小西天,2024-04-03 19:00:00,2024-04-03 20:43:00
酒会,The Party,2017,,小西天,2024-04-05 11:00:00,2024-04-05 12:10:00
乡愁,Nostalghia,1983,,小西天,2024-04-05 13:00:00,2024-04-05 15:06:00
路边野餐,Kaili Blues,2015,,百子湾,2024-04-05 13:30:00,2024-04-05 15:20:00
亚历山大·麦昆：浮生如秀,McQueen,2018,,百子湾,2024-04-05 15:50:00,2024-04-05 17:40:00
万尼亚,National Theatre Live: Vanya,2023,,小西天,2024-04-05 15:50:00,2024-04-05 17:47:00
横道世之介,A Story of Yonosuke,2013,,百子湾,2024-04-05 18:10:00,2024-04-05 20:50:00
驾驶我的车,Drive My Car,2021,,小西天,2024-04-05 18:30:00,2024-04-05 21:29:00
嘉年华,Angels Wear White,2017,,小西天,2024-04-06 11:00:00,2024-04-06 12:47:00
晒后假日,Aftersun,2022,,小西天,2024-04-06 13:30:00,2024-04-06 15:11:00
柔情史,Girls Always Happy,2018,,百子湾,2024-04-06 13:30:00,2024-04-06 15:26:00
西比勒,Sibyl,2019,,百子湾,2024-04-06 16:00:00,2024-04-06 17:40:00
诗,Poetry,2010,,小西天,2024-04-06 16:00:00,2024-04-06 18:19:00
青木瓜之味,The Scent of Green Papaya,1993,,百子湾,2024-04-06 18:10:00,2024-04-06 19:49:00
萨勒姆的女巫,National Theatre Live: The Crucible,2022,,小西天,2024-04-06 19:00:00,2024-04-06 22:09:00
转转,Adrift in Tokyo,2007,,小西天,2024-04-07 19:00:00,2024-04-07 20:41:00
摩托日记,The Motorcycle Diaries,2004,,百子湾,2024-04-07 19:00:00,2024-04-07 21:06:00
她,Elle,2016,,小西天,2024-04-09 19:00:00,2024-04-09 21:10:00
水火之间,Between Fire and Water,1955,,小西天,2024-04-10 19:00:00,2024-04-10 20:31:00
夜店,Ye dian / Night Inn / 夜店（2K）,1947,,百子湾,2024-04-10 19:00:00,2024-04-10 20:52:00
稍微想起一些,Just Remembering,2023,,小西天,2024-04-11 19:00:00,2024-04-11 20:55:00
真正的家人,The Family,2021,,小西天,2024-04-12 19:00:00,2024-04-12 20:41:00
法式火锅,The Taste of Things,2023,,百子湾,2024-04-12 19:00:00,2024-04-12 21:14:00
德州巴黎,"Paris, Texas",1984,,百子湾,2024-04-13 13:30:00,2024-04-13 15:55:00
柏林苍穹下,Wings of Desire,1987,,百子湾,2024-04-13 16:30:00,2024-04-13 18:39:00
咫尺天涯,"Faraway, So Close!",1993,,百子湾,2024-04-13 19:10:00,2024-04-13 21:36:00
家族之苦,What a Wonderful Family!,2016,,百子湾,2024-04-14 13:30:00,2024-04-14 15:18:00
家族之苦2,What a Wonderful Family! II,2017,,百子湾,2024-04-14 15:50:00,2024-04-14 17:43:00
家族之苦3,"Wife, Be Like a Rose: What a Wonderful Family! III",2018,,百子湾,2024-04-14 18:15:00,2024-04-14 20:18:00
消失的她,Lost in the Stars,2023,,小西天,2024-04-29 09:00:00,2024-04-29 10:40:00
封神第一部：朝歌风云,Creation of the Gods Ⅰ: Kingdom of Storms,2023,,小西天,2024-04-29 11:20:00,2024-04-29 13:20:00
志愿军：雄兵出击,The Volunteers: To the War,2023,,小西天,2024-04-29 14:10:00,2024-04-29 16:10:00
长安三万里,Chang An,2023,,小西天,2024-04-29 16:50:00,2024-04-29 19:10:00
逍遥·游,Carefree Days,2024,,小西天,2024-04-29 20:00:00,2024-04-29 22:02:00
忠犬八公,Hachiko,2023,,小西天,2024-04-30 09:00:00,2024-04-30 10:40:00
刀尖,Seven Killings,2023,,小西天,2024-04-30 11:25:00,2024-04-30 13:05:00
一个和四个,One and Four,2023,,小西天,2024-04-30 13:50:00,2024-04-30 14:50:00
雪豹和她的朋友们,Snow Leopards and Friends,2023,,小西天,2024-04-30 15:40:00,2024-04-30 16:40:00
照明商店,The Shop of the Lamp,2023,,小西天,2024-04-30 17:25:00,2024-04-30 18:45:00
孤注一掷,No More Bets,2023,,小西天,2024-04-30 19:25:00,2024-04-30 21:35:00
