name,englishName,year,director,cinima,playTime,endTime
穷街陋巷,Mean Streets,1973,,小西天,2024-10-20 18:40:00,2024-10-20 20:32:00
寻找小糖人,Searching for Sugar Man,2012,,百子湾,2024-10-20 19:30:00,2024-10-20 20:56:00
群英会,Battle of Wits,1957,,小西天(2),2024-10-22 18:30:00,2024-10-22 20:15:00
时间去哪儿了, Has the Time Gone,2017,,小西天,2024-10-22 19:00:00,2024-10-22 20:51:00
青木瓜之味,The Scent of Green Papaya,1993,,小西天(2),2024-10-23 18:30:00,2024-10-23 20:09:00
不了情,Unending Love,1947,,百子湾,2024-10-23 19:00:00,2024-10-23 20:37:00
祝福,New Year Sacrifice,1956,,小西天,2024-10-23 19:00:00,2024-10-23 20:38:00
法式火锅,The Taste of Things,2023,,小西天(2),2024-10-24 18:30:00,2024-10-24 20:44:00
超脱,Detachment,2011,,小西天,2024-10-24 19:00:00,2024-10-24 20:34:00
勒古庄园,Légua,2023,,小西天(2),2024-10-25 18:30:00,2024-10-25 20:29:00
狗心,Heart of a Dog,2015,,百子湾,2024-10-25 19:00:00,2024-10-25 20:15:00
横空出世,Roaring Across the Horizon,1999,,小西天,2024-10-25 19:00:00,2024-10-25 20:56:00
邪恶不存在,Evil Does Not Exist,2023,,小西天,2024-10-26 11:00:00,2024-10-26 12:46:00
哀乐中年,Sorrows and Joys of a Middle-Aged Man,1949,,百子湾,2024-10-26 13:30:00,2024-10-26 15:19:00
激情,Passion,2008,,小西天,2024-10-26 13:30:00,2024-10-26 15:25:00
快乐的人们,Happy People: A Year in the Taiga,2012,,百子湾,2024-10-26 16:00:00,2024-10-26 17:34:00
搜索者,The Searchers,1956,,小西天,2024-10-26 16:10:00,2024-10-26 18:09:00
蓝色茉莉,Blue Jasmine,2013,,百子湾,2024-10-26 18:00:00,2024-10-26 19:34:00
楚门的世界,The Truman Show,1998,,小西天,2024-10-26 19:00:00,2024-10-26 20:43:00
达荷美,Dahomey,2024,,小西天,2024-10-27 10:30:00,2024-10-27 11:38:00
欢乐时光,Happy Hour,2015,,小西天,2024-10-27 12:30:00,2024-10-27 17:48:00
灿烂人生,The Best of Youth,2003,,百子湾,2024-10-27 13:30:00,2024-10-27 19:36:00
万里长城,The Great Wall,1957,,小西天,2024-10-27 18:30:00,2024-10-27 19:57:00
借东风,Borrowing East Wind,1957,,小西天(2),2024-10-29 18:30:00,2024-10-29 20:05:00
河畔须臾,Riverside Mukolitta,2021,,小西天,2024-10-29 19:00:00,2024-10-29 21:00:00
持摄像机的人,Cameraperson,2016,,小西天(2),2024-10-30 18:30:00,2024-10-30 20:12:00
祝福,New Year Sacrifice,1956,,百子湾,2024-10-30 19:00:00,2024-10-30 20:38:00
梁山伯与祝英台,Liang Shanbo and Zhu Yingtai,1954,,小西天,2024-10-30 19:00:00,2024-10-30 20:51:00
英雄赶派克,"""Hero"" Catch up with ""Parker""",1958,,小西天(2),2024-10-31 18:30:00,2024-10-31 19:04:00
魔女嘉莉,Carrie,1976,,小西天,2024-10-31 19:00:00,2024-10-31 20:38:00
