name,englishName,year,director,cinima,playTime,endTime
姥姥的外孙,The Chinese Family,2024,,小西天,2025-10-07 11:00:00,2025-10-07 13:06:00
天下无贼,A World without Thieves,2004,,百子湾,2025-10-07 13:30:00,2025-10-07 15:31:00
长江图,Crosscurrent,2016,,小西天,2025-10-07 14:00:00,2025-10-07 15:55:00
橡皮头,Eraserhead,1977,,百子湾,2025-10-07 16:00:00,2025-10-07 17:29:00
坠入,The Fall,2006,,小西天,2025-10-07 16:40:00,2025-10-07 18:39:00
双峰：与火同行,Twin Peaks: Fire Walk with Me,1992,,百子湾,2025-10-07 18:00:00,2025-10-07 20:15:00
横道世之介,A Story of Yonosuke,2013,,小西天,2025-10-07 19:30:00,2025-10-07 22:10:00
情书,Love Letter,1995,,小西天,2025-10-08 11:00:00,2025-10-08 12:57:00
爱情神话,B for Busy,2021,,百子湾,2025-10-08 13:30:00,2025-10-08 15:22:00
机器人之梦,Robot Dreams,2023,,小西天,2025-10-08 13:40:00,2025-10-08 15:22:00
妖夜慌踪,Lost Highway,1997,,百子湾,2025-10-08 16:00:00,2025-10-08 18:14:00
苔丝,Tess,1979,,小西天,2025-10-08 16:00:00,2025-10-08 18:51:00
穆赫兰道,Mulholland Drive,2001,,百子湾,2025-10-08 18:45:00,2025-10-08 21:12:00
花束般的恋爱,Hanataba mitaina koi o shita,2021,,小西天,2025-10-08 19:30:00,2025-10-08 21:33:00
西比勒,Sibyl,2019,,小西天(2),2025-10-09 18:30:00,2025-10-09 20:11:00
大自然对你说了什么,What Does that Nature Say to You,2025,,小西天,2025-10-09 19:00:00,2025-10-09 20:49:00
四个春天,Four Springs,2017,,小西天(2),2025-10-10 18:30:00,2025-10-10 20:15:00
完美陌生人,Perfect Strangers,2016,,百子湾,2025-10-10 19:00:00,2025-10-10 20:36:00
坠落的审判,Anatomy of a Fall,2023,,小西天,2025-10-10 19:00:00,2025-10-10 21:31:00
乘船而去,Gone with the Boat,2023,,小西天(2),2025-10-11 18:30:00,2025-10-11 20:09:00
罗马，不设防的城市,"Rome, Open City",1945,,小西天,2025-10-11 19:00:00,2025-10-11 20:43:00
继承厄运,The Successor,2023,,百子湾,2025-10-11 19:00:00,2025-10-11 20:52:00
罗西里尼,The Rossellinis,2020,,小西天,2025-10-12 10:30:00,2025-10-12 12:00:00
德意志零年,Germany Year Zero,1948,,小西天,2025-10-12 12:40:00,2025-10-12 13:54:00
审判,The Trial,1962,,百子湾,2025-10-12 13:30:00,2025-10-12 15:29:00
