name,englishName,year,cinima,playTime,endTime
夜深血红,Deep Red,1975,小西天,2024-01-20 18:20:00,2024-01-20 20:27:00
词语,The Word,1955,小西天,2024-01-21 11:00:00,2024-01-21 13:06:00
永安镇故事集,Ripples of Life,2023,百子湾,2024-01-21 13:30:00,2024-01-21 15:33:00
葛楚,Gertrud,1964,小西天,2024-01-21 14:00:00,2024-01-21 15:59:00
阿德尔曼夫妇,Mr. & Mrs. Adelman,2017,百子湾,2024-01-21 16:00:00,2024-01-21 18:00:00
邮差,The Postman,1994,小西天,2024-01-21 16:40:00,2024-01-21 18:29:00
情书,Love Letter,1995,百子湾,2024-01-21 18:30:00,2024-01-21 20:27:00
八部半,8½,1963,小西天,2024-01-21 19:10:00,2024-01-21 21:29:00
刘巧儿,Liu Qiaoer,1956,小西天(2),2024-01-23 18:30:00,2024-01-23 20:18:00
主竞赛,Competencia oficial,2021,小西天,2024-01-23 19:00:00,2024-01-23 20:54:00
你的鸟儿会唱歌,And Your Bird Can Sing,2018,小西天(2),2024-01-24 18:30:00,2024-01-24 20:16:00
五朵金花,Five Golden Flowers,1959,小西天,2024-01-24 19:00:00,2024-01-24 20:40:00
刘三姐,Liu sanjie / Third Sister Liu / 刘三姐 / 劉三姐（2K）,1960,百子湾,2024-01-24 19:00:00,2024-01-24 20:52:00
钟无艳,Wu Yen,2001,小西天(2),2024-01-25 18:30:00,2024-01-25 20:33:00
钢的琴,The Piano in a Factory,2010,小西天,2024-01-25 19:00:00,2024-01-25 20:46:00
不要再见啊，鱼花塘,Virgin Blue,2021,小西天(2),2024-01-26 18:30:00,2024-01-26 20:11:00
地下,Underground,1995,百子湾,2024-01-26 19:00:00,2024-01-26 21:50:00
驾驶我的车,Drive My Car,2021,小西天,2024-01-26 19:00:00,2024-01-26 21:59:00
短角情事,La Pointe Courte,1955,小西天,2024-01-27 11:00:00,2024-01-27 12:20:00
脸庞，村庄,Faces Places,2017,小西天,2024-01-27 13:00:00,2024-01-27 14:29:00
父亲的荣耀,My Father's Glory,1990,百子湾,2024-01-27 13:30:00,2024-01-27 15:15:00
阿涅斯论瓦尔达,Varda by Agnès,2019,小西天,2024-01-27 15:10:00,2024-01-27 17:11:00
法兰西,France,2021,百子湾,2024-01-27 15:45:00,2024-01-27 17:58:00
