name,englishName,year,director,cinima,playTime,endTime
天堂的孩子,Children of Paradise,1945,,小西天,2024-12-01 10:00:00,2024-12-01 13:10:00
情书,Love Letter,1995,,百子湾,2024-12-01 13:30:00,2024-12-01 15:27:00
越战毛发,Hair,1979,,小西天,2024-12-01 14:00:00,2024-12-01 16:01:00
夏天的故事,A Summers Tale,1996,,百子湾,2024-12-01 16:00:00,2024-12-01 17:54:00
蓝丝绒,Blue Velvet,1986,,小西天,2024-12-01 16:45:00,2024-12-01 18:46:00
秋天的故事,Autumn Tale,1998,,百子湾,2024-12-01 18:30:00,2024-12-01 20:21:00
沉默的羔羊,The Silence of the Lambs,1991,,小西天,2024-12-01 19:30:00,2024-12-01 21:29:00
洛神,Goddess Luo River,1955,,小西天(2),2024-12-03 18:30:00,2024-12-03 19:35:00
搬家,Moving,1993,,小西天,2024-12-03 19:00:00,2024-12-03 21:04:00
驴子巴特萨,Au hasard Balthazar,1966,,小西天(2),2024-12-04 18:30:00,2024-12-04 20:05:00
假凤虚凰,Phony Phoenixes,1947,,百子湾,2024-12-04 19:00:00,2024-12-04 20:31:00
一代妖姬,A Strange Woman,1950,,小西天,2024-12-04 19:00:00,2024-12-04 20:34:00
穆谢特,Mouchette,1967,,小西天(2),2024-12-05 18:30:00,2024-12-05 19:51:00
被遗忘的祖先的阴影,Shadows of Forgotten Ancestors,1965,,小西天,2024-12-05 19:00:00,2024-12-05 20:36:00
金门银光梦,Golden Gate Girls,2013,,小西天(2),2024-12-06 18:30:00,2024-12-06 19:59:00
下一站，天国,After Life,1998,,百子湾,2024-12-06 19:00:00,2024-12-06 20:58:00
黄金三镖客,"The Good, the Bad and the Ugly",1966,,小西天,2024-12-06 19:00:00,2024-12-06 21:59:00
安妮·霍尔,Annie Hall,1977,,小西天,2024-12-07 11:00:00,2024-12-07 12:34:00
相爱相亲,Love Education,2017,,百子湾,2024-12-07 13:30:00,2024-12-07 15:31:00
雨人,Rain Man,1988,,小西天,2024-12-07 13:30:00,2024-12-07 15:44:00
她,Elle,2016,,百子湾,2024-12-07 16:00:00,2024-12-07 18:10:00
越战毛发,Hair,1979,,小西天,2024-12-07 16:30:00,2024-12-07 18:31:00
将来的事,Things to Come,2016,,百子湾,2024-12-07 18:40:00,2024-12-07 20:22:00
愤怒的公牛,Raging Bull,1980,,小西天,2024-12-07 19:15:00,2024-12-07 21:24:00
末路狂花,Thelma & Louise,1991,,小西天,2024-12-08 11:00:00,2024-12-08 13:09:00
小妈妈,Little Mom,2021,,百子湾,2024-12-08 13:30:00,2024-12-08 14:42:00
冰血暴,Fargo,1996,,小西天,2024-12-08 14:00:00,2024-12-08 15:38:00
鲸鱼马戏团,Werckmeister Harmonies,2000,,百子湾,2024-12-08 15:15:00,2024-12-08 17:41:00
蓝丝绒,Blue Velvet,1986,,小西天,2024-12-08 16:30:00,2024-12-08 18:31:00
都灵之马,The Turin Horse,2011,,百子湾,2024-12-08 18:10:00,2024-12-08 20:44:00
沉默的羔羊,The Silence of the Lambs,1991,,小西天,2024-12-08 19:15:00,2024-12-08 21:14:00
游园惊梦,Sweet Dream in the Garden,1960,,小西天(2),2024-12-10 18:30:00,2024-12-10 19:37:00
四个春天,Four Springs,2017,,小西天,2024-12-10 19:00:00,2024-12-10 20:45:00
扒手,Pickpocket,1959,,小西天(2),2024-12-11 18:30:00,2024-12-11 19:46:00
花街,The Flower Street,1949,,小西天,2024-12-11 19:00:00,2024-12-11 20:10:00
花姑娘,The Flower Girl,1951,,百子湾,2024-12-11 19:00:00,2024-12-11 20:32:00
钱,Money,1983,,小西天(2),2024-12-12 18:30:00,2024-12-12 19:54:00
杀死紫罗兰,Killing the Violet,2023,,小西天,2024-12-12 19:00:00,2024-12-12 20:23:00
白丝带,The White Ribbon,2009,,小西天(2),2024-12-13 18:30:00,2024-12-13 20:54:00
蓝色茉莉,Blue Jasmine,2013,,百子湾,2024-12-13 19:00:00,2024-12-13 20:34:00
铁皮鼓,The Tin Drum,1979,,小西天,2024-12-13 19:00:00,2024-12-13 21:23:00
十二怒汉,12 Angry Men,1957,,小西天,2024-12-14 11:00:00,2024-12-14 12:36:00
黄金三镖客,"The Good, the Bad and the Ugly",1966,,小西天,2024-12-14 13:20:00,2024-12-14 16:19:00
十八洞村,Hold Your Hands,2017,,百子湾,2024-12-14 13:30:00,2024-12-14 15:34:00
奇遇,The Adventure,1960,,百子湾,2024-12-14 16:10:00,2024-12-14 18:28:00
新世纪福音战士新剧场版：序,EVANGELION:1.0 YOU ARE (NOT) ALONE.,2007,,小西天,2024-12-14 17:00:00,2024-12-14 18:41:00
红色沙漠,Red Desert,1964,,百子湾,2024-12-14 19:00:00,2024-12-14 20:57:00
新世纪福音战士新剧场版：破,EVANGELION:2.0 YOU CAN (NOT) ADVANCE.,2009,,小西天,2024-12-14 19:30:00,2024-12-14 21:22:00
四百击,The 400 Blows,1959,,小西天,2024-12-15 10:30:00,2024-12-15 12:09:00
新世纪福音战士新剧场版：Q,EVANGELION:3.0 YOU CAN (NOT) REDO.,2012,,小西天,2024-12-15 13:00:00,2024-12-15 14:36:00
回西藏,Kong and Jigme,2024,,百子湾,2024-12-15 13:30:00,2024-12-15 15:19:00
新世纪福音战士新剧场版：终,EVANGELION:3.0+1.0 THRICE UPON A TIME,2021,,小西天,2024-12-15 15:15:00,2024-12-15 17:49:00
下一站，天国,After Life,1998,,百子湾,2024-12-15 16:00:00,2024-12-15 17:58:00
寻找小糖人,Searching for Sugar Man,2012,,百子湾,2024-12-15 18:30:00,2024-12-15 19:56:00
七武士,Seven Samurai,1954,,小西天,2024-12-15 18:30:00,2024-12-15 21:57:00
梅兰芳的舞台艺术（上）,Stage Art of Mei Lanfang Part 1,1955,,小西天(2),2024-12-17 18:30:00,2024-12-17 20:24:00
佩佩,Pepe,2024,,小西天,2024-12-17 19:00:00,2024-12-17 21:03:00
她,Elle,2016,,小西天(2),2024-12-18 18:30:00,2024-12-18 20:40:00
血染海棠红,Blood will tell,1949,,小西天,2024-12-18 19:00:00,2024-12-18 20:34:00
一代妖姬,A Strange Woman,1950,,百子湾,2024-12-18 19:00:00,2024-12-18 20:34:00
将来的事,Things to Come,2016,,小西天(2),2024-12-19 18:30:00,2024-12-19 20:12:00
溺水小刀,Drowning Love,2016,,小西天,2024-12-19 19:00:00,2024-12-19 20:51:00
云霄之上,Beyond the Skies,2021,,小西天(2),2024-12-20 18:30:00,2024-12-20 20:00:00
火星特快,Mars Express,2023,,小西天,2024-12-20 19:00:00,2024-12-20 20:25:00
蓝色茉莉,Blue Jasmine,2013,,百子湾,2024-12-20 19:00:00,2024-12-20 20:34:00
青蛇,Green Snake,1993,,小西天,2024-12-21 10:30:00,2024-12-21 12:08:00
鹳鸟踟蹰,The Suspended Step of the Stork,1991,,小西天,2024-12-21 13:00:00,2024-12-21 15:22:00
过春天,The Crossing,2018,,百子湾,2024-12-21 13:30:00,2024-12-21 15:09:00
鲸鱼马戏团,Werckmeister Harmonies,2000,,百子湾,2024-12-21 15:40:00,2024-12-21 18:06:00
复活,Renaissance,2006,,小西天,2024-12-21 16:00:00,2024-12-21 17:45:00
都灵之马,The Turin Horse,2011,,百子湾,2024-12-21 18:40:00,2024-12-21 21:14:00
原始星球,Fantastic Planet,1973,,小西天,2024-12-21 19:10:00,2024-12-21 20:22:00
黄土地,Yellow Earth,1984,,小西天,2024-12-22 11:00:00,2024-12-22 12:31:00
土味人间,Down to Earth,2023,,小西天(2),2024-12-22 13:00:00,2024-12-22 14:32:00
被遗忘的祖先的阴影,Shadows of Forgotten Ancestors,1965,,小西天,2024-12-22 13:10:00,2024-12-22 14:46:00
气球,Balloon,2019,,百子湾,2024-12-22 13:30:00,2024-12-22 15:12:00
楚门的世界,The Truman Show,1998,,小西天,2024-12-22 15:30:00,2024-12-22 17:13:00
翼装飞行,Wings of Worth,2023,,小西天(2),2024-12-22 15:40:00,2024-12-22 17:17:00
小森林 夏秋篇,Little Forest: Summer & Autumn,2014,,百子湾,2024-12-22 15:40:00,2024-12-22 17:33:00
小森林 冬春篇,Little Forest: Winter & Spring,2015,,百子湾,2024-12-22 18:00:00,2024-12-22 20:00:00
大都会,Metropolis,1927,,小西天,2024-12-22 18:00:00,2024-12-22 20:25:00
梅兰芳的舞台艺术（下）,Stage Art of Mei Lanfang Part 2,1956,,小西天(2),2024-12-24 18:30:00,2024-12-24 20:07:00
土拨鼠之日,Groundhog Day,1993,,小西天,2024-12-24 19:00:00,2024-12-24 20:41:00
寻找小糖人,Searching for Sugar Man,2012,,小西天(2),2024-12-25 18:30:00,2024-12-25 19:56:00
血染海棠红,Blood will tell,1949,,百子湾,2024-12-25 19:00:00,2024-12-25 20:34:00
误佳期,Spoiling the Wedding Day,1951,,小西天,2024-12-25 19:00:00,2024-12-25 20:50:00
塔洛,Tharlo,2015,,小西天(2),2024-12-26 18:30:00,2024-12-26 20:33:00
笑傲江湖,Swordsman,1990,,小西天,2024-12-26 19:00:00,2024-12-26 21:04:00
平原上的夏洛克,Summer Detective,2019,,小西天(2),2024-12-27 18:30:00,2024-12-27 20:08:00
蜀山：新蜀山剑侠,Zu: The Warriors from the Magic Mountain,1983,,小西天,2024-12-27 19:00:00,2024-12-27 20:37:00
白丝带,The White Ribbon,2009,,百子湾,2024-12-27 19:00:00,2024-12-27 21:24:00
富贵逼人,Its a Mad Mad Mad World,1987,,小西天,2024-12-28 11:00:00,2024-12-28 12:35:00
地下情,Love Unto Waste,1986,,小西天,2024-12-28 13:15:00,2024-12-28 14:53:00
春江水暖,Dwelling in the Fuchun Mountains,2019,,百子湾,2024-12-28 13:30:00,2024-12-28 16:00:00
奇爱博士,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,,小西天,2024-12-28 15:40:00,2024-12-28 17:15:00
驴子巴特萨,Au hasard Balthazar,1966,,百子湾,2024-12-28 16:30:00,2024-12-28 18:05:00
七武士,Seven Samurai,1954,,小西天,2024-12-28 18:00:00,2024-12-28 21:27:00
穆谢特,Mouchette,1967,,百子湾,2024-12-28 18:40:00,2024-12-28 20:01:00
喋血双雄,The Killer,1989,,小西天,2024-12-29 11:00:00,2024-12-29 12:53:00
乘船而去,Gone with the Boat,2023,,百子湾,2024-12-29 13:30:00,2024-12-29 15:09:00
龙虎风云,City on Fire,1987,,小西天,2024-12-29 13:40:00,2024-12-29 15:25:00
扒手,Pickpocket,1959,,百子湾,2024-12-29 15:40:00,2024-12-29 16:56:00
上海小姐,The Lady from Shanghai,1947,,小西天,2024-12-29 16:10:00,2024-12-29 17:37:00
钱,Money,1983,,百子湾,2024-12-29 17:30:00,2024-12-29 18:54:00
码头风云,On the Waterfront,1954,,小西天,2024-12-29 18:30:00,2024-12-29 20:18:00
