name,englishName,year,director,cinima,playTime,endTime
海上花,Flowers of Shanghai,1998,,小西天,2026-03-01 11:00:00,2026-03-01 12:54:00
江边旅馆,Hotel by the River,2018,,百子湾,2026-03-01 13:30:00,2026-03-01 15:06:00
灿烂人生,The Best of Youth,2003,,小西天(2),2026-03-01 13:30:00,2026-03-01 19:36:00
悲情城市,A City of Sadness,1989,,小西天,2026-03-01 13:40:00,2026-03-01 16:18:00
薄荷糖,Peppermint Candy,1999,,百子湾,2026-03-01 15:40:00,2026-03-01 17:50:00
千禧曼波,Millennium Mambo,2001,,小西天,2026-03-01 17:00:00,2026-03-01 18:46:00
奥兰多,Orlando,1992,,百子湾,2026-03-01 18:20:00,2026-03-01 19:53:00
女孩,Girl,2025,,小西天,2026-03-01 19:30:00,2026-03-01 21:34:00
想象之光,All We Imagine as Light,2024,,小西天(2),2026-03-02 18:30:00,2026-03-02 20:28:00
暴雨将至,Before the Rain,1994,,小西天,2026-03-02 19:00:00,2026-03-02 20:53:00
昨日欢愉,Old Joy,2006,,小西天(2),2026-03-03 18:30:00,2026-03-03 19:43:00
还有明天,There's Still Tomorrow,2023,,小西天,2026-03-03 19:00:00,2026-03-03 20:58:00
米克的近路,Meek's Cutoff,2010,,小西天(2),2026-03-04 18:30:00,2026-03-04 20:14:00
奋斗,The Striving,1932,,百子湾,2026-03-04 19:00:00,2026-03-04 20:24:00
野蛮人入侵,Barbarian Invasion,2021,,小西天,2026-03-04 19:00:00,2026-03-04 20:46:00
人海同游,Borrowed Time,2024,,小西天(2),2026-03-05 18:30:00,2026-03-05 20:05:00
绿洲,Oasis,2002,,小西天,2026-03-05 19:00:00,2026-03-05 21:13:00
乘船而去,Gone with the Boat,2023,,小西天(2),2026-03-06 18:30:00,2026-03-06 20:09:00
新凯旋门,The Great Arch,2025,,小西天,2026-03-06 19:00:00,2026-03-06 20:47:00
她,Elle,2016,,百子湾,2026-03-06 19:00:00,2026-03-06 21:10:00
狂人皮埃罗,Crazy Pete,1965,,小西天,2026-03-07 11:00:00,2026-03-07 12:50:00
随心所欲,My Life to Live,1962,,小西天(2),2026-03-07 13:15:00,2026-03-07 14:39:00
达盖尔街风情,Daguerreotypes,1975,,小西天,2026-03-07 13:30:00,2026-03-07 14:49:00
亚利桑那之梦,Arizona Dream,1993,,百子湾,2026-03-07 13:30:00,2026-03-07 15:51:00
法外之徒,Band of Outsiders,1964,,小西天(2),2026-03-07 15:00:00,2026-03-07 16:35:00
玛雅，给我一个标题,"Maya, Give Me a Title",2024,,小西天,2026-03-07 15:30:00,2026-03-07 16:31:00
地下,Underground,1995,,百子湾,2026-03-07 16:20:00,2026-03-07 19:10:00
影像之书,The Image Book,2018,,小西天(2),2026-03-07 17:00:00,2026-03-07 18:29:00
毕业生,The Graduate,1967,,小西天,2026-03-07 17:10:00,2026-03-07 18:56:00
血迷宫 导演剪辑版,Blood Simple Director's Cut,1984,,小西天,2026-03-07 19:30:00,2026-03-07 21:06:00
黑猫白猫,"Black Cat, White Cat",1998,,百子湾,2026-03-07 19:40:00,2026-03-07 21:49:00
二楼传来的歌声,Songs from the Second Floor,2000,,小西天,2026-03-08 11:00:00,2026-03-08 12:38:00
神女,The Goddess,1934,,小西天(2),2026-03-08 13:00:00,2026-03-08 14:23:00
小妈妈,Little Mom,2021,,百子湾,2026-03-08 13:30:00,2026-03-08 14:42:00
寒枝雀静,A Pigeon Sat on a Branch Reflecting on Existence,2014,,小西天,2026-03-08 13:30:00,2026-03-08 15:11:00
米歇尔·勒格朗往事,Once upon a Time Michel Legrand,2024,,小西天(2),2026-03-08 15:00:00,2026-03-08 17:00:00
罗拉快跑,Lola Runs,1998,,百子湾,2026-03-08 15:10:00,2026-03-08 16:26:00
关于无尽,About Endlessness,2019,,小西天,2026-03-08 16:00:00,2026-03-08 17:16:00
让娜·迪尔曼,"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",1975,,百子湾,2026-03-08 17:00:00,2026-03-08 20:21:00
弗兰西丝·哈,Frances Ha,2012,,小西天(2),2026-03-08 17:30:00,2026-03-08 18:56:00
现代启示录 最终剪辑版,Apocalypse Now: Final Cut,1979,,小西天,2026-03-08 18:00:00,2026-03-08 21:02:00
大路,The Big Road,1935,,百子湾,2026-03-11 19:00:00,2026-03-11 20:48:00
影迷,Camera Buff,1979,,百子湾,2026-03-13 19:00:00,2026-03-13 20:53:00
告诉他们，我乘白鹤去了,Fly with the Crane,2012,,百子湾,2026-03-14 11:00:00,2026-03-14 12:53:00
亚利桑那之梦,Arizona Dream,1993,,百子湾,2026-03-14 13:30:00,2026-03-14 15:51:00
地下,Underground,1995,,百子湾,2026-03-14 16:20:00,2026-03-14 19:10:00
黑猫白猫,"Black Cat, White Cat",1998,,百子湾,2026-03-14 19:40:00,2026-03-14 21:49:00
小妈妈,Little Mom,2021,,百子湾,2026-03-15 11:30:00,2026-03-15 12:42:00
二十世纪女人,20th Century Women,2016,,百子湾,2026-03-15 13:30:00,2026-03-15 15:28:00
弗兰西丝·哈,Frances Ha,2012,,百子湾,2026-03-15 16:00:00,2026-03-15 17:26:00
着魔,Possession,1981,,百子湾,2026-03-15 18:00:00,2026-03-15 20:04:00
白蛇传,The White Snake,1939,,百子湾,2026-03-18 19:00:00,2026-03-18 20:35:00
想象之光,All We Imagine as Light,2024,,百子湾,2026-03-20 19:00:00,2026-03-20 20:58:00
随心所欲,My Life to Live,1962,,百子湾,2026-03-21 11:30:00,2026-03-21 12:54:00
法外之徒,Band of Outsiders,1964,,百子湾,2026-03-21 13:30:00,2026-03-21 15:05:00
影像之书,The Image Book,2018,,百子湾,2026-03-21 15:40:00,2026-03-21 17:09:00
绿光,The Green Ray,1986,,百子湾,2026-03-21 17:40:00,2026-03-21 19:18:00
昨日欢愉,Old Joy,2006,,百子湾,2026-03-22 11:30:00,2026-03-22 12:43:00
米克的近路,Meek's Cutoff,2010,,百子湾,2026-03-22 13:30:00,2026-03-22 15:14:00
薄荷糖,Peppermint Candy,1999,,百子湾,2026-03-22 15:45:00,2026-03-22 17:55:00
绿洲,Oasis,2002,,百子湾,2026-03-22 18:30:00,2026-03-22 20:43:00
不了情,Unending Love,1947,,百子湾,2026-03-25 19:00:00,2026-03-25 20:37:00
二十世纪女人,20th Century Women,2016,,百子湾,2026-03-27 19:00:00,2026-03-27 20:58:00
寻找小糖人,Searching for Sugar Man,2012,,百子湾,2026-03-28 11:30:00,2026-03-28 12:56:00
蜂巢幽灵,The Spirit of the Beehive,1973,,百子湾,2026-03-28 13:30:00,2026-03-28 15:09:00
闭上眼睛,Close Your Eyes,2023,,百子湾,2026-03-28 15:40:00,2026-03-28 18:29:00
南方,The South,1983,,百子湾,2026-03-28 19:00:00,2026-03-28 20:35:00
罗拉快跑,Lola Runs,1998,,百子湾,2026-03-29 11:30:00,2026-03-29 12:46:00
暴雨将至,Before the Rain,1994,,百子湾,2026-03-29 13:30:00,2026-03-29 15:23:00
影迷,Camera Buff,1979,,百子湾,2026-03-29 16:00:00,2026-03-29 17:53:00
她,Elle,2016,,百子湾,2026-03-29 18:30:00,2026-03-29 20:40:00
