name,englishName,year,director,cinema,playTime,endTime
深闺疑云,Suspect from Husband,1948,,百子湾,2026-04-01 19:00:00,2026-04-01 20:50:00
寻找小糖人,Searching for Sugar Man,2012,,百子湾,2026-04-03 19:00:00,2026-04-03 20:26:00
鸟类变形记,The Metamorphosis of Birds,2020,,百子湾,2026-04-04 11:00:00,2026-04-04 12:41:00
乡愁,Nostalghia,1983,,百子湾,2026-04-04 13:30:00,2026-04-04 15:36:00
牺牲,The Sacrifice,1986,,百子湾,2026-04-04 16:10:00,2026-04-04 18:39:00
着魔,Possession,1981,,百子湾,2026-04-04 19:10:00,2026-04-04 21:14:00
寂静人生,Still Life,2013,乌贝托·帕索里尼,江南,2026-04-05 17:00:00,2026-04-05 18:28:00
王子复仇新记,Hamlet Goes Business,1987,阿基·考里斯马基,江南,2026-04-05 17:30:00,2026-04-05 18:59:00
破·地狱,The Last Dance,2024,陈茂贤,江南,2026-04-05 19:30:00,2026-04-05 21:36:00
奥兰多,Orlando,1992,莎莉·波特,百子湾,2026-04-06 11:00:00,2026-04-06 12:33:00
这个男人来自地球,The Man from Earth,2007,理查德·沙因克曼,江南,2026-04-06 13:00:00,2026-04-06 14:27:00
穆谢特,Mouchette,1967,罗伯特·布列松,江南,2026-04-06 13:30:00,2026-04-06 14:51:00
蜂巢幽灵,The Spirit of the Beehive,1973,维克多·艾里斯,百子湾,2026-04-06 13:30:00,2026-04-06 15:09:00
穆赫兰道,Mulholland Drive,2001,大卫·林奇,江南,2026-04-06 15:00:00,2026-04-06 17:27:00
钱,Money,1983,罗伯特·布列松,江南,2026-04-06 15:20:00,2026-04-06 16:44:00
闭上眼睛,Close Your Eyes,2023,维克多·艾里斯,百子湾,2026-04-06 15:40:00,2026-04-06 18:29:00
奇美拉,La Chimera,2023,阿莉切·罗尔瓦赫尔,江南,2026-04-06 17:45:00,2026-04-06 19:51:00
柏林苍穹下,Wings of Desire,1987,维姆·文德斯,江南,2026-04-06 18:30:00,2026-04-06 20:39:00
南方,The South,1983,维克多·艾里斯,百子湾,2026-04-06 19:00:00,2026-04-06 20:35:00
新旧时代,New And Old Times,1937,朱石麟,百子湾,2026-04-08 19:00:00,2026-04-08 20:32:00
霓虹灯下的哨兵,Sentinels under Neon Lights,1964,王苹,江南,2026-04-08 19:00:00,2026-04-08 20:59:00
暴雨将至,Before the Rain,1994,米尔科·曼彻夫斯基,江南,2026-04-08 19:30:00,2026-04-08 21:23:00
动物王国,The Animal Kingdom,2023,托马斯·卡耶,江南,2026-04-09 19:00:00,2026-04-09 21:07:00
