name,englishName,year,director,cinema,playTime,endTime
裁女佳人,The Dressmaker,2015,乔瑟琳·穆尔豪斯,江南,2026-04-09 19:30:00,2026-04-09 21:28:00
四次,The Four Times,2010,米开朗基罗·弗兰马汀诺,江南,2026-04-10 19:00:00,2026-04-10 20:28:00
鸟类变形记,The Metamorphosis of Birds,2020,卡塔里娜·瓦斯康塞洛斯,百子湾,2026-04-10 19:00:00,2026-04-10 20:41:00
天堂电影院,Cinema Paradiso,1988,朱塞佩·托纳多雷,小西天,2026-04-10 19:00:00,2026-04-10 21:05:00
寂静人生,Still Life,2013,乌贝托·帕索里尼,江南,2026-04-10 19:30:00,2026-04-10 20:58:00
洛神,Goddess Luo River,1955,吴祖光,江南,2026-04-11 10:30:00,2026-04-11 11:35:00
天涯沦落女,Vagabond,1985,阿涅斯·瓦尔达,小西天,2026-04-11 11:00:00,2026-04-11 12:46:00
列宁格勒牛仔征美记,Leningrad Cowboys Go America,1989,阿基·考里斯马基,江南,2026-04-11 13:00:00,2026-04-11 14:19:00
奋斗,The Striving,1932,史东山,江南,2026-04-11 13:30:00,2026-04-11 14:54:00
南特的雅克·德米,Jacquot,1991,阿涅斯·瓦尔达,小西天,2026-04-11 13:30:00,2026-04-11 15:30:00
灿烂人生,The Best of Youth,2003,马可·图利奥·吉奥达纳,百子湾,2026-04-11 13:30:00,2026-04-11 19:36:00
伦敦生活,National Theatre Live: Fleabag,2019,维姬·琼斯,江南,2026-04-11 14:00:00,2026-04-11 15:45:00
列宁格勒牛仔搭摩西,Leningrad Cowboys Meet Moses,1994,阿基·考里斯马基,江南,2026-04-11 14:50:00,2026-04-11 16:24:00
新旧时代,New And Old Times,1937,朱石麟,江南,2026-04-11 15:30:00,2026-04-11 17:02:00
101夜,One Hundred and One Nights,1995,阿涅斯·瓦尔达,小西天,2026-04-11 16:30:00,2026-04-11 18:15:00
女王,The Queen,2006,斯蒂芬·弗雷斯,江南,2026-04-11 17:00:00,2026-04-11 18:43:00
卡拉马利联盟,Calamari Union,1985,阿基·考里斯马基,江南,2026-04-11 18:00:00,2026-04-11 19:21:00
探戈课,The Tango Lesson,1997,莎莉·波特,江南,2026-04-11 19:30:00,2026-04-11 21:11:00
母性之光,The Light of Motheral Instinct,1933,卜万苍,江南,2026-04-12 10:30:00,2026-04-12 12:09:00
拾穗者,The Gleaners and I,2000,阿涅斯·瓦尔达,小西天,2026-04-12 11:00:00,2026-04-12 12:22:00
迎春阁之风波,The Fate of Lee Khan,1973,胡金铨,江南,2026-04-12 13:00:00,2026-04-12 14:45:00
窃听大阴谋,The Conversation,1974,弗朗西斯·福特·科波拉,小西天,2026-04-12 13:10:00,2026-04-12 15:04:00
罪与罚,Crime and Punishment,1983,阿基·考里斯马基,江南,2026-04-12 13:30:00,2026-04-12 15:03:00
江边旅馆,Hotel by the River,2018,洪常秀,百子湾,2026-04-12 13:30:00,2026-04-12 15:06:00
欢乐岁月,Merrily We Roll Along,2025,玛丽亚·弗里德曼,江南,2026-04-12 14:00:00,2026-04-12 16:25:00
笑傲江湖,Swordsman,1990,胡金铨,江南,2026-04-12 15:15:00,2026-04-12 17:13:00
王子复仇新记,Hamlet Goes Business,1987,阿基·考里斯马基,江南,2026-04-12 15:40:00,2026-04-12 17:09:00
乡愁,Nostalghia,1983,安德烈·塔可夫斯基,百子湾,2026-04-12 15:40:00,2026-04-12 17:46:00
内陆帝国,Inland Empire,2006,大卫·林奇,小西天,2026-04-12 16:00:00,2026-04-12 19:00:00
天堂孤影,Shadows in Paradise,1986,阿基·考里斯马基,江南,2026-04-12 18:00:00,2026-04-12 19:14:00
薄荷糖,Peppermint Candy,1999,李沧东,江南,2026-04-12 18:15:00,2026-04-12 20:25:00
牺牲,The Sacrifice,1986,安德烈·塔可夫斯基,百子湾,2026-04-12 18:20:00,2026-04-12 20:49:00
春到人间,Spring Comes to Everywhere,1937,孙瑜,江南,2026-04-15 19:00:00,2026-04-15 20:34:00
扒手,Pickpocket,1959,罗伯特·布列松,江南,2026-04-15 19:30:00,2026-04-15 20:46:00
真相,The Truth,2019,是枝裕和,江南,2026-04-16 19:00:00,2026-04-16 20:46:00
驴子巴特萨,Au hasard Balthazar,1966,罗伯特·布列松,江南,2026-04-16 19:30:00,2026-04-16 21:05:00
这个男人来自地球,The Man from Earth,2007,理查德·沙因克曼,江南,2026-04-17 19:00:00,2026-04-17 20:27:00
柏林苍穹下,Wings of Desire,1987,维姆·文德斯,江南,2026-04-17 19:30:00,2026-04-17 21:39:00
天仙配,Marriage of the Fairy Princess,1955,石挥,江南,2026-04-18 10:30:00,2026-04-18 12:10:00
犯罪元素,The Element of Crime,1984,拉斯·冯·提尔,江南,2026-04-18 12:30:00,2026-04-18 14:09:00
深闺疑云,Suspect from Husband,1948,徐昌霖,江南,2026-04-18 13:30:00,2026-04-18 15:20:00
欢乐岁月,Merrily We Roll Along,2025,玛丽亚·弗里德曼,江南,2026-04-18 14:00:00,2026-04-18 16:25:00
瘟疫,Epidemic,1987,拉斯·冯·提尔,江南,2026-04-18 14:40:00,2026-04-18 16:22:00
不了情,Unending Love,1947,桑弧,江南,2026-04-18 15:50:00,2026-04-18 17:27:00
欧洲特快车,Europa,1991,拉斯·冯·提尔,江南,2026-04-18 17:00:00,2026-04-18 18:48:00
乡愁,Nostalghia,1983,安德烈·塔可夫斯基,江南,2026-04-18 18:30:00,2026-04-18 20:36:00
真假老板,The Boss of It All,2006,拉斯·冯·提尔,江南,2026-04-18 19:30:00,2026-04-18 21:06:00
柳堡的故事,The Story of Liubao Village,1957,王苹,江南,2026-04-19 10:30:00,2026-04-19 11:52:00
破浪,Breaking the Waves,1996,拉斯·冯·提尔,江南,2026-04-19 12:30:00,2026-04-19 15:09:00
暴雨将至,Before the Rain,1994,米尔科·曼彻夫斯基,江南,2026-04-19 13:30:00,2026-04-19 15:23:00
伦敦生活,National Theatre Live: Fleabag,2019,维姬·琼斯,江南,2026-04-19 14:00:00,2026-04-19 15:45:00
穆赫兰道,Mulholland Drive,2001,大卫·林奇,江南,2026-04-19 15:50:00,2026-04-19 18:17:00
狗镇,Dogville,2003,拉斯·冯·提尔,江南,2026-04-19 15:50:00,2026-04-19 18:48:00
牺牲,The Sacrifice,1986,安德烈·塔可夫斯基,江南,2026-04-19 19:15:00,2026-04-19 21:44:00
忧郁症,Melancholia,2011,拉斯·冯·提尔,江南,2026-04-19 19:30:00,2026-04-19 21:40:00
大路,The Big Road,1935,孙瑜,江南,2026-04-22 19:00:00,2026-04-22 20:48:00
奇美拉,La Chimera,2023,阿莉切·罗尔瓦赫尔,江南,2026-04-22 19:30:00,2026-04-22 21:36:00
四次,The Four Times,2010,米开朗基罗·弗兰马汀诺,江南,2026-04-23 19:00:00,2026-04-23 20:28:00
穆谢特,Mouchette,1967,罗伯特·布列松,江南,2026-04-23 19:30:00,2026-04-23 20:51:00
钱,Money,1983,罗伯特·布列松,江南,2026-04-24 19:00:00,2026-04-24 20:24:00
薄荷糖,Peppermint Candy,1999,李沧东,江南,2026-04-24 19:30:00,2026-04-24 21:40:00
牛郎织女,Milky Way Lovers,1963,岑范,江南,2026-04-25 10:30:00,2026-04-25 12:08:00
破浪,Breaking the Waves,1996,拉斯·冯·提尔,江南,2026-04-25 12:30:00,2026-04-25 15:09:00
名人百态,Celebrity,1998,伍迪·艾伦,江南,2026-04-25 13:30:00,2026-04-25 15:19:00
欢乐岁月,Merrily We Roll Along,2025,玛丽亚·弗里德曼,江南,2026-04-25 14:00:00,2026-04-25 16:25:00
狗镇,Dogville,2003,拉斯·冯·提尔,江南,2026-04-25 15:50:00,2026-04-25 18:48:00
裁女佳人,The Dressmaker,2015,乔瑟琳·穆尔豪斯,江南,2026-04-25 16:00:00,2026-04-25 17:58:00
寂静人生,Still Life,2013,乌贝托·帕索里尼,江南,2026-04-25 19:00:00,2026-04-25 20:28:00
忧郁症,Melancholia,2011,拉斯·冯·提尔,江南,2026-04-25 19:30:00,2026-04-25 21:40:00
霓虹灯下的哨兵,Sentinels under Neon Lights,1964,王苹,江南,2026-04-26 10:30:00,2026-04-26 12:29:00
真假老板,The Boss of It All,2006,拉斯·冯·提尔,江南,2026-04-26 12:30:00,2026-04-26 14:06:00
真相,The Truth,2019,是枝裕和,江南,2026-04-26 13:30:00,2026-04-26 15:16:00
伦敦生活,National Theatre Live: Fleabag,2019,维姬·琼斯,江南,2026-04-26 14:00:00,2026-04-26 15:45:00
犯罪元素,The Element of Crime,1984,拉斯·冯·提尔,江南,2026-04-26 14:40:00,2026-04-26 16:19:00
盗马贼,The Horse Thief,1986,田壮壮,江南,2026-04-26 15:50:00,2026-04-26 17:18:00
瘟疫,Epidemic,1987,拉斯·冯·提尔,江南,2026-04-26 16:50:00,2026-04-26 18:32:00
女王,The Queen,2006,斯蒂芬·弗雷斯,江南,2026-04-26 18:10:00,2026-04-26 19:53:00
欧洲特快车,Europa,1991,拉斯·冯·提尔,江南,2026-04-26 19:30:00,2026-04-26 21:18:00
白蛇传,The White Snake,1939,杨小仲,江南,2026-04-29 19:00:00,2026-04-29 20:35:00
忧郁症,Melancholia,2011,拉斯·冯·提尔,江南,2026-04-29 19:30:00,2026-04-29 21:40:00
狗镇,Dogville,2003,拉斯·冯·提尔,江南,2026-04-30 19:00:00,2026-04-30 21:58:00
真相,The Truth,2019,是枝裕和,江南,2026-04-30 19:30:00,2026-04-30 21:16:00
