name,englishName,year,director,cinima,playTime,endTime
大卫·林奇：艺术人生,David Lynch - The Art Life,2016,,小西天,2025-03-01 11:00:00,2025-03-01 12:28:00
天使爱美丽,Amelie,2001,,小西天,2025-03-01 13:10:00,2025-03-01 15:11:00
独自在夜晚的海边,On the Beach at Night Alone,2017,,百子湾,2025-03-01 13:30:00,2025-03-01 15:10:00
亚利桑那之梦,Arizona Dream,1993,,百子湾,2025-03-01 15:40:00,2025-03-01 18:01:00
罗拉快跑,Lola Runs,1998,,小西天,2025-03-01 16:00:00,2025-03-01 17:16:00
想象之光,All We Imagine as Light,2024,,小西天,2025-03-01 18:00:00,2025-03-01 19:58:00
地下,Underground,1995,,百子湾,2025-03-01 18:30:00,2025-03-01 21:20:00
绿洲,Oasis,2002,,小西天,2025-03-02 10:30:00,2025-03-02 12:43:00
蜂巢幽灵,The Spirit of the Beehive,1973,,小西天,2025-03-02 13:30:00,2025-03-02 15:09:00
永恒之门,At Eternitys Gate,2018,,百子湾,2025-03-02 13:30:00,2025-03-02 15:21:00
转转,Adrift in Tokyo,2007,,百子湾,2025-03-02 15:50:00,2025-03-02 17:31:00
南方,The South,1983,,小西天,2025-03-02 16:00:00,2025-03-02 17:35:00
河畔须臾,Riverside Mukolitta,2021,,百子湾,2025-03-02 18:00:00,2025-03-02 20:00:00
闭上眼睛,Close Your Eyes,2023,,小西天,2025-03-02 18:30:00,2025-03-02 21:19:00
猫猫的奇幻漂流,Flow,2024,,小西天,2025-03-03 19:00:00,2025-03-03 20:25:00
女驸马,Female Consort Prince,1959,,小西天(2),2025-03-04 18:30:00,2025-03-04 20:13:00
忍者宝宝,Ninjababy,2021,,小西天,2025-03-04 19:00:00,2025-03-04 20:39:00
勒古庄园,Légua,2023,,小西天(2),2025-03-05 18:30:00,2025-03-05 20:29:00
神女,The Goddess,1934,,小西天,2025-03-05 19:00:00,2025-03-05 20:23:00
桃花泣血记,The Peach Girl,1931,,百子湾,2025-03-05 19:00:00,2025-03-05 20:32:00
相爱相亲,Love Education,2017,,小西天(2),2025-03-06 18:30:00,2025-03-06 20:31:00
白蛇传·情,White Snake,2019,,小西天,2025-03-06 19:00:00,2025-03-06 20:41:00
胭脂泪,Rouge Tears,1938,,小西天(2),2025-03-07 18:30:00,2025-03-07 20:23:00
五至七时的克莱奥,Cleo from 5 to 7,1962,,小西天,2025-03-07 19:00:00,2025-03-07 20:30:00
晒后假日,Aftersun,2022,,百子湾,2025-03-07 19:00:00,2025-03-07 20:41:00
法外之徒,Band of Outsiders,1964,,小西天,2025-03-08 10:30:00,2025-03-08 12:05:00
忧郁小女孩,Little Girl Blue,2023,,小西天,2025-03-08 13:00:00,2025-03-08 14:39:00
气球,Balloon,2019,,百子湾,2025-03-08 13:30:00,2025-03-08 15:12:00
猛于炮火,Louder Than Bombs,2015,,小西天(2),2025-03-08 13:30:00,2025-03-08 15:19:00
阮玲玉,Center Stage,1991,,小西天,2025-03-08 15:15:00,2025-03-08 17:50:00
三只猴子,Three Monkeys,2008,,百子湾,2025-03-08 15:45:00,2025-03-08 17:31:00
狂喜,The Rapture,2023,,小西天(2),2025-03-08 16:00:00,2025-03-08 17:38:00
野梨树,The Wild Pear Tree,2018,,百子湾,2025-03-08 18:00:00,2025-03-08 21:08:00
恋爱与义务,Love and Duty,1931,,小西天,2025-03-08 18:30:00,2025-03-08 21:02:00
我的马塞洛,Marcello Mio,2024,,小西天,2025-03-09 10:15:00,2025-03-09 12:15:00
甜蜜的生活,The Sweet Life,1960,,小西天,2025-03-09 13:00:00,2025-03-09 15:55:00
我心中的苔原,The Tundra Within Me,2023,,小西天(2),2025-03-09 13:30:00,2025-03-09 15:05:00
脐带,The Cord of Life,2023,,百子湾,2025-03-09 13:30:00,2025-03-09 15:06:00
乌斯特雷姆,Between Two Worlds,2021,,百子湾,2025-03-09 15:45:00,2025-03-09 17:32:00
妮娜与小刺猬的秘密,Nina and the Hedgehogs Secret,2023,,小西天(2),2025-03-09 16:00:00,2025-03-09 17:19:00
八部半,8½,1963,,小西天,2025-03-09 16:40:00,2025-03-09 18:58:00
被嫌弃的松子的一生,Memories of Matsuko,2006,,百子湾,2025-03-09 18:00:00,2025-03-09 20:10:00
红辣椒,Paprika,2006,,小西天,2025-03-09 20:00:00,2025-03-09 21:30:00
白蛇传,White Snakes Legend,2007,,小西天(2),2025-03-11 18:30:00,2025-03-11 20:30:00
武松与潘金莲,Wu Song and Pan Jinlian,1938,,小西天,2025-03-11 19:00:00,2025-03-11 20:31:00
永恒之门,At Eternitys Gate,2018,,小西天(2),2025-03-12 18:30:00,2025-03-12 20:21:00
桃花泣血记,The Peach Girl,1931,,小西天,2025-03-12 19:00:00,2025-03-12 20:32:00
国风,National Customs,1935,,百子湾,2025-03-12 19:00:00,2025-03-12 20:44:00
情天血泪,Diaochan,1938,,小西天(2),2025-03-13 18:30:00,2025-03-13 20:54:00
人·鬼·情,"Woman, Demon, Human",1987,,小西天,2025-03-13 19:00:00,2025-03-13 20:45:00
再会吧，上海,"Goodbye, Shanghai",1934,,小西天(2),2025-03-14 18:30:00,2025-03-14 19:51:00
诗人的未婚妻,La fiancée du poète,2023,,小西天,2025-03-14 19:00:00,2025-03-14 20:43:00
猛于炮火,Louder Than Bombs,2015,,百子湾,2025-03-14 19:00:00,2025-03-14 20:49:00
罗拉快跑,Lola Runs,1998,,小西天,2025-03-15 11:00:00,2025-03-15 12:16:00
于洛先生的假期,Mr. Hulots Holiday,1953,,小西天,2025-03-15 13:00:00,2025-03-15 14:28:00
我心中的苔原,The Tundra Within Me,2023,,百子湾,2025-03-15 13:30:00,2025-03-15 15:05:00
我的舅舅,My Uncle,1958,,小西天,2025-03-15 15:10:00,2025-03-15 17:05:00
步履不停,Still Walking,2008,,百子湾,2025-03-15 15:40:00,2025-03-15 17:35:00
比海更深,After the Storm,2016,,百子湾,2025-03-15 18:00:00,2025-03-15 19:57:00
让娜·迪尔曼,"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",1975,,小西天,2025-03-15 18:00:00,2025-03-15 21:21:00
亲密,Close,2022,,小西天,2025-03-16 11:00:00,2025-03-16 12:45:00
眼泪之盐,The Salt of Tears,2020,,百子湾,2025-03-16 13:30:00,2025-03-16 15:10:00
玩乐时间,Play Time,1967,,小西天,2025-03-16 13:30:00,2025-03-16 15:34:00
北斗七星,The Plough,2023,,百子湾,2025-03-16 15:40:00,2025-03-16 17:16:00
交通意外,Traffic,1971,,小西天,2025-03-16 16:30:00,2025-03-16 18:07:00
爱你活该我倒霉,The Innocent,2022,,百子湾,2025-03-16 17:45:00,2025-03-16 19:24:00
麦克白,Macbeth,2025,,小西天,2025-03-16 19:00:00,2025-03-16 20:55:00
想飞的女孩,Girls on Wire,2025,,小西天,2025-03-17 19:00:00,2025-03-17 20:54:00
秦香莲,The Case of Killing Chen Shimei,1964,,小西天(2),2025-03-18 18:30:00,2025-03-18 20:40:00
