name,englishName,year,director,cinema,playTime,endTime
四渡赤水,Crossing the Chishui River Four Times,1983,谷德显,江南(3),2026-11-01 10:30:00,2026-11-01 13:06:00
五至七时的克莱奥,Cleo from 5 to 7,1962,阿涅斯·瓦尔达,江南(3),2026-11-01 13:30:00,2026-11-01 15:00:00
叶甫盖尼·奥涅金,Eugene Onegin,2013,里玛斯·图米纳斯,江南(2),2026-11-01 14:00:00,2026-11-01 17:26:00
尼诺,Nino,2025,波利娜·洛克,江南(3),2026-11-01 15:30:00,2026-11-01 17:07:00
疯狂的账单,"Mad Bills to Pay (or Destiny, dile que no soy malo)",2025,乔尔·阿方索·巴尔加斯,江南(3),2026-11-01 18:10:00,2026-11-01 19:51:00
