name,englishName,year,director,cinima,playTime,endTime
爱情魔术师,A Love Bewitched,1986,,小西天,2023-11-05 18:00:00,2023-11-05 19:43:00
夜空总有最大密度的蓝色,Tokyo Night Sky Is Always the Densest Shade of Blue,2017,,百子湾,2023-11-05 18:00:00,2023-11-05 19:47:00
碧玉簪,The Jade Hairpin,1962,,小西天(2),2023-11-07 18:30:00,2023-11-07 20:39:00
薄荷糖,Peppermint Candy,1999,,小西天,2023-11-07 19:00:00,2023-11-07 21:10:00
脸庞，村庄,Faces Places,2017,,小西天(2),2023-11-08 18:30:00,2023-11-08 19:59:00
林家铺子,Linjia puzi / The Lin Family′s Shop / 林家铺子 / 林家鋪子（2K）,1959,,小西天,2023-11-08 19:00:00,2023-11-08 20:25:00
满意不满意,Give Satisfaction to Them,1963,,百子湾,2023-11-08 19:00:00,2023-11-08 20:26:00
又见奈良,Tracing Her Shadow,2020,,小西天(2),2023-11-09 18:30:00,2023-11-09 20:10:00
会心一曲,Knowing the Score,2023,,小西天,2023-11-09 19:00:00,2023-11-09 20:30:00
星期五见，鲁滨逊先生,"See You Friday, Robinson",2022,,小西天(2),2023-11-10 18:30:00,2023-11-10 20:07:00
长江图,Crosscurrent,2016,,百子湾,2023-11-10 19:00:00,2023-11-10 20:55:00
早春二月,Zaochun eryue / Early Spring / February / 早春二月（2K）,1963,,小西天,2023-11-10 19:00:00,2023-11-10 20:53:00
青木瓜之味,The Scent of Green Papaya,1993,,小西天,2023-11-11 11:00:00,2023-11-11 12:39:00
饲养乌鸦,Raise Ravens,1976,,小西天,2023-11-11 13:30:00,2023-11-11 15:20:00
爱情神话,B for Busy,2021,,百子湾,2023-11-11 13:30:00,2023-11-11 15:22:00
全世界的国王,The King of All the World,2021,,小西天,2023-11-11 16:00:00,2023-11-11 17:35:00
情书,Love Letter,1995,,百子湾,2023-11-11 16:00:00,2023-11-11 17:57:00
墙壁会说话,The Wall Can Talk,2022,,小西天,2023-11-11 18:30:00,2023-11-11 19:45:00
横道世之介,A Story of Yonosuke,2013,,百子湾,2023-11-11 18:30:00,2023-11-11 21:10:00
皮娜,Pina,2011,,小西天,2023-11-12 11:00:00,2023-11-12 12:43:00
灿烂人生,The Best of Youth,2003,,小西天,2023-11-12 13:30:00,2023-11-12 19:36:00
牛奶配送员的奇幻人生,On the Milky Road,2016,,百子湾,2023-11-12 13:30:00,2023-11-12 15:35:00
黑猫白猫,"Black Cat, White Cat",1998,,百子湾,2023-11-12 16:00:00,2023-11-12 18:09:00
地下,Underground,1995,,百子湾,2023-11-12 18:40:00,2023-11-12 21:30:00
红楼梦,The Dream of Red Mansions,1962,,小西天(2),2023-11-14 18:30:00,2023-11-14 21:11:00
小城之春,Xiaocheng zhi chun / Spring Time in a Small Town / 小城之春（2K）,1948,,小西天,2023-11-14 19:00:00,2023-11-14 20:38:00
随心所欲,My Life to Live,1962,,小西天(2),2023-11-15 18:30:00,2023-11-15 19:54:00
桃花泣血记,Taohua qixue ji / The Peach Girl / 桃花泣血记 / 桃花泣血記（2K）,1931,,小西天,2023-11-15 19:00:00,2023-11-15 20:33:00
盘丝洞,The Spider Cave,1927,,百子湾,2023-11-15 19:00:00,2023-11-15 20:08:00
穆谢特,Mouchette,1967,,小西天(2),2023-11-16 18:30:00,2023-11-16 19:51:00
水与茴香,Olimpia’s Way,2022,,小西天,2023-11-16 19:00:00,2023-11-16 20:59:00
驴子巴特萨,Au hasard Balthazar,1966,,小西天(2),2023-11-17 18:30:00,2023-11-17 20:05:00
驴叫,EO,2022,,小西天,2023-11-17 19:00:00,2023-11-17 20:28:00
皮娜,Pina,2011,,百子湾,2023-11-17 19:00:00,2023-11-17 20:43:00
无用的人,Good for Nothing,2010,,小西天,2023-11-18 11:30:00,2023-11-18 12:46:00
乐满哈瓦那,Buena Vista Social Club,1999,,百子湾,2023-11-18 13:30:00,2023-11-18 15:15:00
