name,englishName,year,director,cinima,playTime,endTime
烈火中永生,Eternity in Flames,1965,水华,小西天,2024-07-01 19:00:00,2024-07-01 21:24:00
梁山伯与祝英台,Liang Shanbo and Zhu Yingtai,1954,桑弧/黄沙,小西天(2),2024-07-02 18:30:00,2024-07-02 20:21:00
菊次郎的夏天,Kikujiro,1999,北野武,小西天,2024-07-02 19:00:00,2024-07-02 21:01:00
喝彩！,Aferim!,2015,拉杜·裘德 Radu Jude,小西天(2),2024-07-03 18:30:00,2024-07-03 20:21:00
假凤虚凰,Phony Phoenixes,1947,黄佐临,小西天,2024-07-03 19:00:00,2024-07-03 20:31:00
花姑娘,The Flower Girl,1951,朱石麟,百子湾,2024-07-03 19:00:00,2024-07-03 20:32:00
佛罗里达乐园,The Florida Project,2017,肖恩·贝克 Sean Baker,小西天(2),2024-07-04 18:30:00,2024-07-04 20:21:00
旺角卡门,As Tears Go By,1988,王家卫 Kar Wai Wong,小西天,2024-07-04 19:00:00,2024-07-04 20:42:00
三女性,Three Women,1947,岳枫 Feng Yueh,小西天(2),2024-07-05 18:30:00,2024-07-05 19:50:00
咖啡公社,Cafe Society,2016,伍迪·艾伦 Woody Allen,百子湾,2024-07-05 19:00:00,2024-07-05 20:32:00
恋战冲绳,Okinawa: Rendez-vous,2000,陈嘉上,小西天,2024-07-05 19:00:00,2024-07-05 20:39:00
邮差,The Postman,1994,迈克尔·莱德福/马西莫·特洛伊西,小西天,2024-07-06 10:30:00,2024-07-06 12:19:00
胭脂扣,Rouge,1987,关锦鹏 Stanley Kwan,小西天,2024-07-06 13:00:00,2024-07-06 14:37:00
面包店的女孩+苏姗娜的故事,The Bakery Girl of Monceau+Suzanne's Career,1963,埃里克·侯麦,百子湾,2024-07-06 13:30:00,2024-07-06 14:48:00
女收藏家,The Collector,1967,埃里克·侯麦,百子湾,2024-07-06 15:20:00,2024-07-06 16:46:00
阮玲玉,Center Stage,1991,关锦鹏,小西天,2024-07-06 15:30:00,2024-07-06 18:05:00
慕德家一夜,My Night at Maud's,1969,埃里克·侯麦,百子湾,2024-07-06 17:20:00,2024-07-06 19:10:00
奈伊,National Theatre Live: Nye,2024,鲁弗斯·诺里斯,小西天,2024-07-06 19:00:00,2024-07-06 21:55:00
英雄本色,A Better Tomorrow,1986,吴宇森,小西天,2024-07-07 11:00:00,2024-07-07 12:35:00
“炼”爱,Hard Love,2021,董雪莹,百子湾,2024-07-07 13:30:00,2024-07-07 15:07:00
英雄本色2,A Better Tomorrow II,1987,吴宇森,小西天,2024-07-07 13:30:00,2024-07-07 15:15:00
克莱尔的膝盖,Claire's Knee,1970,埃里克·侯麦,百子湾,2024-07-07 15:40:00,2024-07-07 17:25:00
喋血双雄,The Killer,1989,吴宇森,小西天,2024-07-07 16:00:00,2024-07-07 17:51:00
午后之爱,Love in the Afternoon,1972,埃里克·侯麦,百子湾,2024-07-07 18:00:00,2024-07-07 19:37:00
美国往事,Once Upon a Time in America,1984,赛尔乔·莱昂内 Sergio Leone,小西天,2024-07-07 18:30:00,2024-07-07 22:41:00
柳毅传书,Liu Yi Delivers A Mail,1962,蔡振亚,小西天(2),2024-07-09 18:30:00,2024-07-09 20:21:00
无人知晓,Nobody Knows,2004,是枝裕和 Hirokazu Koreeda,小西天,2024-07-09 19:00:00,2024-07-09 21:21:00
世界的阿菊,Okiku and the World,2023,阪本顺治,小西天(2),2024-07-10 18:30:00,2024-07-10 20:00:00
飞虎娇娃,China Doll,1958,弗兰克·鲍沙其,百子湾,2024-07-10 19:00:00,2024-07-10 20:38:00
艳阳天,Yanyang tian / Bright Day / 艳阳天 / 豔陽天（2K）,1948,曹禺,小西天,2024-07-10 19:00:00,2024-07-10 20:40:00
流浪的迪潘,Dheepan,2015,雅克·欧迪亚,小西天(2),2024-07-11 18:30:00,2024-07-11 20:25:00
薄荷糖,Peppermint Candy,1999,李沧东 Chang-dong Lee,小西天,2024-07-11 19:00:00,2024-07-11 21:10:00
女大当嫁,The Owner's Daughter,1948,杨工良,小西天(2),2024-07-12 18:30:00,2024-07-12 19:53:00
独自等待,Waiting Alone,2005,伍仕贤,小西天,2024-07-12 19:00:00,2024-07-12 20:47:00
当我们仰望天空时看见什么？,What Do We See When We Look at the Sky?,2021,亚历山大·科贝里泽 Aleksandre Koberidze,百子湾,2024-07-12 19:00:00,2024-07-12 21:30:00
纵横四海,Once a Thief,1991,吴宇森,小西天,2024-07-13 10:30:00,2024-07-13 12:18:00
恋战冲绳,Okinawa: Rendez-vous,2000,陈嘉上,小西天,2024-07-13 13:00:00,2024-07-13 14:39:00
切腹,Harakiri,1962,小林正树 Masaki Kobayashi,百子湾,2024-07-13 13:30:00,2024-07-13 15:42:00
这时对，那时错,"Right Now, Wrong Then",2015,洪常秀 Sang-soo Hong,小西天,2024-07-13 15:30:00,2024-07-13 17:30:00
奇遇,The Adventure,1960,米开朗基罗·安东尼奥尼  Michelangelo Antonioni,百子湾,2024-07-13 16:10:00,2024-07-13 18:28:00
美国往事,Once Upon a Time in America,1984,赛尔乔·莱昂内 Sergio Leone,小西天,2024-07-13 18:30:00,2024-07-13 22:41:00
红色沙漠,Red Desert,1964,米开朗基罗·安东尼奥尼 Michelangelo Antonioni,百子湾,2024-07-13 19:00:00,2024-07-13 20:57:00
万箭穿心,Feng Shui,2012,王竞,小西天,2024-07-14 10:00:00,2024-07-14 11:58:00
法兰西,France,2021,布鲁诺·杜蒙 Bruno Dumont,小西天,2024-07-14 12:40:00,2024-07-14 14:53:00
脸庞，村庄,Faces Places,2017,阿涅斯·瓦尔达/让·热内,百子湾,2024-07-14 13:30:00,2024-07-14 14:59:00
一年到头,The End of Year,2008,王竞,小西天(2),2024-07-14 13:30:00,2024-07-14 15:10:00
将来的事,Things to Come,2016,米娅·汉森-洛夫 Mia Hansen-Løve,百子湾,2024-07-14 15:30:00,2024-07-14 17:12:00
致英格兰,National Theatre Live: Dear England,2024,鲁伯特·古尔德/克里斯汀·拉拉,小西天,2024-07-14 15:40:00,2024-07-14 18:45:00
我是植物人,Vegetate,2010,王竞,小西天(2),2024-07-14 16:00:00,2024-07-14 17:38:00
晨光正好,One Fine Morning,2022,米娅·汉森-洛夫,百子湾,2024-07-14 17:40:00,2024-07-14 19:37:00
天使爱美丽,Amelie,2001,让-皮埃尔·热内,小西天,2024-07-14 19:30:00,2024-07-14 21:31:00
穆桂英挂帅,Mu Guiying Takes Command,1958,徐苏灵,小西天(2),2024-07-16 18:30:00,2024-07-16 19:50:00
相爱相亲,Love Education,2017,张艾嘉,小西天,2024-07-16 19:00:00,2024-07-16 21:00:00
薄荷糖,Peppermint Candy,1999,李沧东 Chang-dong Lee,小西天(2),2024-07-17 18:30:00,2024-07-17 20:40:00
假凤虚凰,Phony Phoenixes,1947,黄佐临,百子湾,2024-07-17 19:00:00,2024-07-17 20:31:00
误佳期,Spoiling the Wedding Day,1951,朱石麟/白沉,小西天,2024-07-17 19:00:00,2024-07-17 20:50:00
冬去春来,Spring Comes and Winter Goes,1950,章泯,小西天(2),2024-07-18 18:30:00,2024-07-18 20:20:00
82年生的金智英,"Kim Ji-young, Born 1982",2019,金度英,小西天,2024-07-18 19:00:00,2024-07-18 20:58:00
咖啡公社,Cafe Society,2016,伍迪·艾伦 Woody Allen,小西天(2),2024-07-19 18:30:00,2024-07-19 20:02:00
蛇草莓,Wild Berries,2003,西川美和,小西天,2024-07-19 19:00:00,2024-07-19 20:48:00
这时对，那时错,"Right Now, Wrong Then",2015,洪常秀 Sang-soo Hong,百子湾,2024-07-19 19:00:00,2024-07-19 21:00:00
下一站，天国,After Life,1998,是枝裕和 Hirokazu Koreeda,小西天,2024-07-20 10:00:00,2024-07-20 11:58:00
摇摆,Sway,2006,西川美和,小西天,2024-07-20 12:30:00,2024-07-20 14:29:00
嘉年华,Angels Wear White,2017,文晏,百子湾,2024-07-20 13:30:00,2024-07-20 15:17:00
佛罗里达乐园,The Florida Project,2017,肖恩·贝克 Sean Baker,百子湾,2024-07-20 15:45:00,2024-07-20 17:36:00
亲爱的医生,Dear Doctor,2009,西川美和,小西天,2024-07-20 16:00:00,2024-07-20 18:10:00
荒蛮故事,Wild Tales,2014,达米安·斯兹弗隆 Damián Szifron,百子湾,2024-07-20 18:00:00,2024-07-20 20:02:00
距离,Distance,2001,是枝裕和,小西天,2024-07-20 19:30:00,2024-07-20 21:42:00
卖梦的两人,Dreams for Sale,2012,西川美和,小西天,2024-07-21 12:30:00,2024-07-21 14:47:00
永安镇故事集,Ripples of Life,2023,魏书钧,百子湾,2024-07-21 13:30:00,2024-07-21 15:33:00
流浪的迪潘,Dheepan,2015,雅克·欧迪亚,百子湾,2024-07-21 16:00:00,2024-07-21 17:55:00
永远的托词,The Long Excuse,2016,西川美和,小西天,2024-07-21 16:10:00,2024-07-21 18:14:00
世界的阿菊,Okiku and the World,2023,阪本顺治,百子湾,2024-07-21 18:30:00,2024-07-21 20:00:00
美好的世界,Under the Open Sky,2020,西川美和,小西天,2024-07-21 19:40:00,2024-07-21 21:46:00
野猪林,Wild Boar Forest,1962,崔嵬/陈怀皑,小西天(2),2024-07-23 18:30:00,2024-07-23 20:45:00
切腹,Harakiri,1962,小林正树 Masaki Kobayashi,小西天,2024-07-23 19:00:00,2024-07-23 21:12:00
脸庞，村庄,Faces Places,2017,阿涅斯·瓦尔达/让·热内,小西天(2),2024-07-24 18:30:00,2024-07-24 19:59:00
花姑娘,The Flower Girl,1951,朱石麟,小西天,2024-07-24 19:00:00,2024-07-24 20:32:00
艳阳天,Yanyang tian / Bright Day / 艳阳天 / 豔陽天（2K）,1948,曹禺,百子湾,2024-07-24 19:00:00,2024-07-24 20:40:00
火凤凰,The Fiery Phoenix,1951,王为一,小西天(2),2024-07-25 18:30:00,2024-07-25 20:23:00
喋血双雄,The Killer,1989,吴宇森,小西天,2024-07-25 19:00:00,2024-07-25 20:51:00
秋瑾,The Dawn of China's Revolution,1953,屠光启,小西天(2),2024-07-26 18:30:00,2024-07-26 19:59:00
六大导演看巴黎,Six in Paris,1965,克洛德·夏布洛尔 Claude Chabrol/让·杜歇 Jean Douchet/让-吕克·戈达尔 Jean-Luc Godard/让·丹尼尔·波莱 Jean-Daniel Pollet/埃里克·侯麦 Éric Rohmer,小西天,2024-07-26 19:00:00,2024-07-26 20:35:00
喝彩！,Aferim!,2015,拉杜·裘德 Radu Jude,百子湾,2024-07-26 19:00:00,2024-07-26 20:51:00
英雄本色,A Better Tomorrow,1986,吴宇森,小西天,2024-07-27 10:30:00,2024-07-27 12:05:00
十诫（上）,Dekalog(1-5),1989,克日什托夫·基耶斯洛夫斯基 Krzysztof Kieślowski,小西天,2024-07-27 13:00:00,2024-07-27 17:41:00
塔洛,Tharlo,2015,万玛才旦,百子湾,2024-07-27 13:30:00,2024-07-27 15:33:00
将来的事,Things to Come,2016,米娅·汉森-洛夫 Mia Hansen-Løve,百子湾,2024-07-27 16:00:00,2024-07-27 17:42:00
晨光正好,One Fine Morning,2022,米娅·汉森-洛夫,百子湾,2024-07-27 18:20:00,2024-07-27 20:17:00
纵横四海,Once a Thief,1991,吴宇森,小西天,2024-07-27 19:00:00,2024-07-27 20:48:00
胭脂扣,Rouge,1987,关锦鹏 Stanley Kwan,小西天,2024-07-28 10:30:00,2024-07-28 12:07:00
十诫（下）,Dekalog(6-10),1989,克日什托夫·基耶斯洛夫斯基 Krzysztof Kieślowski,小西天,2024-07-28 13:00:00,2024-07-28 17:43:00
