name,englishName,year,cinima,playTime,endTime
弗兰西丝·哈,Frances Ha,2012,小西天(2),2023-12-01 18:30:00,2023-12-01 19:56:00
乡愁,Nostalghia,1983,小西天,2023-12-01 19:00:00,2023-12-01 21:06:00
回归,The Return,2003,百子湾,2023-12-01 19:00:00,2023-12-01 20:46:00
绿洲,Oasis,2002,小西天,2023-12-02 10:30:00,2023-12-02 12:43:00
红辣椒,Paprika,2006,小西天,2023-12-02 13:30:00,2023-12-02 15:00:00
南极料理人,The Chef of South Polar,2009,百子湾,2023-12-02 13:30:00,2023-12-02 15:35:00
天云山传奇,Legend of Tianyun Mountain,1981,小西天,2023-12-02 16:00:00,2023-12-02 18:06:00
小森林 夏秋篇,Little Forest: Summer & Autumn,2014,百子湾,2023-12-02 16:00:00,2023-12-02 17:53:00
小森林 冬春篇,Little Forest: Winter & Spring,2015,百子湾,2023-12-02 18:30:00,2023-12-02 20:30:00
牧马人,The Herdsman,1982,小西天,2023-12-02 19:00:00,2023-12-02 20:43:00
步履不停,Still Walking,2008,小西天,2023-12-03 10:30:00,2023-12-03 12:24:00
无人知晓,Nobody Knows,2004,小西天,2023-12-03 13:15:00,2023-12-03 15:36:00
路边野餐,Kaili Blues,2015,百子湾,2023-12-03 13:30:00,2023-12-03 15:20:00
晒后假日,Aftersun,2022,百子湾,2023-12-03 16:00:00,2023-12-03 17:41:00
德州巴黎,"Paris, Texas",1984,小西天,2023-12-03 16:20:00,2023-12-03 18:45:00
奥兰多,Orlando,1992,百子湾,2023-12-03 18:10:00,2023-12-03 19:43:00
柏林苍穹下,Wings of Desire,1987,小西天,2023-12-03 19:30:00,2023-12-03 21:39:00
柔道龙虎榜,Throw Down,2004,小西天,2023-12-04 19:00:00,2023-12-04 20:35:00
花为媒,Rose as a Go-between,1963,小西天(2),2023-12-05 18:30:00,2023-12-05 20:22:00
爱情神话,B for Busy,2021,小西天,2023-12-05 19:00:00,2023-12-05 20:52:00
海鸥食堂,Kamome Diner,2006,小西天(2),2023-12-06 18:30:00,2023-12-06 20:12:00
鸡毛信,The Letter With Feathers,1954,百子湾,2023-12-06 19:00:00,2023-12-06 20:15:00
女篮5号,Woman Basketball Player No. 5,1957,小西天,2023-12-06 19:00:00,2023-12-06 20:30:00
