name,englishName,year,cinima,playTime,endTime
恐惧的代价,The Wages of Fear,1953,小西天(2),2023-12-07 18:30:00,2023-12-07 21:03:00
摩登时代,Modern Times,1936,小西天,2023-12-07 19:00:00,2023-12-07 20:27:00
恶魔,Diabolique,1955,小西天(2),2023-12-08 18:30:00,2023-12-08 20:27:00
秋瑾,Qiu Jin: A Revolutionary,1983,小西天,2023-12-08 19:00:00,2023-12-08 21:16:00
切腹,Harakiri,1962,百子湾,2023-12-08 19:00:00,2023-12-08 21:12:00
寻子遇仙记,The Kid,1921,小西天,2023-12-09 10:30:00,2023-12-09 11:23:00
淘金记,The Gold Rush,1925,小西天,2023-12-09 12:10:00,2023-12-09 13:19:00
天堂孤影,Shadows in Paradise,1986,百子湾,2023-12-09 13:30:00,2023-12-09 14:44:00
一年到头,The End Of Year,2008,小西天,2023-12-09 14:00:00,2023-12-09 15:40:00
升空号,Ariel,1988,百子湾,2023-12-09 15:15:00,2023-12-09 16:28:00
我是植物人,Vegetate,2010,小西天,2023-12-09 16:30:00,2023-12-09 18:08:00
当我们仰望天空时看见什么？,What Do We See When We Look at the Sky?,2021,百子湾,2023-12-09 17:00:00,2023-12-09 19:30:00
万箭穿心,Feng Shui,2012,小西天,2023-12-09 19:00:00,2023-12-09 20:58:00
故乡之光,Nostalgia for the Light,2010,小西天,2023-12-10 11:00:00,2023-12-10 12:30:00
一次别离,A Separation,2011,小西天,2023-12-10 13:15:00,2023-12-10 15:18:00
平原上的夏洛克,Summer Detective,2019,百子湾,2023-12-10 13:30:00,2023-12-10 15:08:00
列宁格勒牛仔征美记,Leningrad Cowboys Go America,1989,百子湾,2023-12-10 15:30:00,2023-12-10 16:49:00
马戏团,The Circus,1928,小西天,2023-12-10 16:00:00,2023-12-10 17:11:00
列宁格勒牛仔搭摩西,Leningrad Cowboys Meet Moses,1994,百子湾,2023-12-10 17:20:00,2023-12-10 18:54:00
卓别林短片精选,The Chaplin Revue,1959,小西天,2023-12-10 18:00:00,2023-12-10 20:01:00
蓝桥会,Rendezvous at Orchid Bridge,1954,小西天(2),2023-12-12 18:30:00,2023-12-12 19:19:00
寻找小津,Tokyo-Ga,1985,小西天,2023-12-12 19:00:00,2023-12-12 20:33:00
绿洲,Oasis,2002,小西天(2),2023-12-13 18:30:00,2023-12-13 20:43:00
黄宝妹,Huang Bao Mei,1958,小西天,2023-12-13 19:00:00,2023-12-13 19:49:00
舞台姐妹,Wutai jiemei / Two Stage Sisters / Two Actresses 舞台姐妹 / 舞臺姐妹（2K）,1965,百子湾,2023-12-13 19:00:00,2023-12-13 20:52:00
回归,The Return,2003,小西天(2),2023-12-14 18:30:00,2023-12-14 20:16:00
异度空间,Inner Senses,2002,小西天,2023-12-14 19:00:00,2023-12-14 20:36:00
柔情史,Girls Always Happy,2018,小西天(2),2023-12-15 18:30:00,2023-12-15 20:26:00
好老板,The Good Boss,2021,小西天,2023-12-15 19:00:00,2023-12-15 21:00:00
步履不停,Still Walking,2008,百子湾,2023-12-15 19:00:00,2023-12-15 20:54:00
晒后假日,Aftersun,2022,小西天,2023-12-16 11:00:00,2023-12-16 12:41:00
感光时代,Sensitization Age,1994,小西天,2023-12-16 13:30:00,2023-12-16 14:57:00
弗兰西丝·哈,Frances Ha,2012,百子湾,2023-12-16 13:30:00,2023-12-16 14:56:00
奇遇,The Adventure,1960,百子湾,2023-12-16 15:30:00,2023-12-16 17:48:00
城市之光,City Lights,1931,小西天,2023-12-16 16:40:00,2023-12-16 18:06:00
红色沙漠,Red Desert,1964,百子湾,2023-12-16 18:20:00,2023-12-16 20:17:00
摩登时代,Modern Times,1936,小西天,2023-12-16 19:00:00,2023-12-16 20:27:00
脐带,The Cord of Life,2023,小西天,2023-12-17 11:00:00,2023-12-17 12:36:00
大独裁者,The Great Dictator,1940,小西天,2023-12-17 13:20:00,2023-12-17 15:25:00
兔子暴力,The Old Town Girls,2020,百子湾,2023-12-17 13:30:00,2023-12-17 15:16:00
德州巴黎,"Paris, Texas",1984,百子湾,2023-12-17 15:45:00,2023-12-17 18:10:00
凡尔杜先生,Monsieur Verdoux,1947,小西天,2023-12-17 16:15:00,2023-12-17 18:18:00
柏林苍穹下,Wings of Desire,1987,百子湾,2023-12-17 18:40:00,2023-12-17 20:49:00
舞台春秋,Limelight,1952,小西天,2023-12-17 19:00:00,2023-12-17 21:16:00
穆桂英挂帅,Mu Guiying Takes Command,1958,小西天(2),2023-12-19 18:30:00,2023-12-19 19:50:00
风声,The Message,2009,小西天,2023-12-19 19:00:00,2023-12-19 20:58:00
当我们仰望天空时看见什么？,What Do We See When We Look at the Sky?,2021,小西天(2),2023-12-20 18:30:00,2023-12-20 21:00:00
控诉,Accusation,1951,百子湾,2023-12-20 19:00:00,2023-12-20 20:31:00
红色娘子军,Hongse niangzi jun / Red Detachment of Women / 红色娘子军 / 紅色娘子軍（2K）,1961,小西天,2023-12-20 19:00:00,2023-12-20 20:55:00
蛇之拥抱,Embrace of the Serpent,2015,小西天(2),2023-12-21 18:30:00,2023-12-21 20:34:00
帕特森,Paterson,2016,小西天,2023-12-21 19:00:00,2023-12-21 20:58:00
路边野餐,Kaili Blues,2015,小西天(2),2023-12-22 18:30:00,2023-12-22 20:20:00
不法之徒,Down by Law,1986,小西天,2023-12-22 19:00:00,2023-12-22 20:46:00
海鸥食堂,Kamome Diner,2006,百子湾,2023-12-22 19:00:00,2023-12-22 20:42:00
神秘列车,Mystery Train,1989,小西天,2023-12-23 11:00:00,2023-12-23 12:50:00
离魂异客,Dead Man,1995,小西天,2023-12-23 13:30:00,2023-12-23 15:31:00
面包店的女孩+苏姗娜的故事,The Bakery Girl of Monceau+Suzanne's Career,1963,百子湾,2023-12-23 13:30:00,2023-12-23 14:48:00
女收藏家,The Collector,1967,百子湾,2023-12-23 15:20:00,2023-12-23 16:46:00
最后的贵族,The Last Aristocrats,1989,小西天,2023-12-23 16:15:00,2023-12-23 18:07:00
慕德家一夜,My Night at Maud's,1969,百子湾,2023-12-23 17:20:00,2023-12-23 19:10:00
清凉寺钟声,Bell of Purity Temple,1991,小西天,2023-12-23 19:00:00,2023-12-23 21:00:00
红辣椒,Paprika,2006,小西天,2023-12-24 11:00:00,2023-12-24 12:30:00
灿烂人生,The Best of Youth,2003,小西天,2023-12-24 13:30:00,2023-12-24 19:36:00
逃走的女人,The Woman Who Ran,2020,百子湾,2023-12-24 13:30:00,2023-12-24 14:47:00
克莱尔的膝盖,Claire's Knee,1970,百子湾,2023-12-24 15:15:00,2023-12-24 17:00:00
午后之爱,Love in the Afternoon,1972,百子湾,2023-12-24 17:30:00,2023-12-24 19:07:00
女驸马,Female Consort Prince,1959,小西天(2),2023-12-26 18:30:00,2023-12-26 20:13:00
狂欢之夜,Carnival Night,1956,小西天,2023-12-26 19:00:00,2023-12-26 20:15:00
切腹,Harakiri,1962,小西天(2),2023-12-27 18:30:00,2023-12-27 20:42:00
红色娘子军,Hongse niangzi jun / Red Detachment of Women / 红色娘子军 / 紅色娘子軍（2K）,1961,百子湾,2023-12-27 19:00:00,2023-12-27 20:55:00
舞台姐妹,Wutai jiemei / Two Stage Sisters / Two Actresses 舞台姐妹 / 舞臺姐妹（2K）,1965,小西天,2023-12-27 19:00:00,2023-12-27 20:52:00
奇遇,The Adventure,1960,小西天(2),2023-12-28 18:30:00,2023-12-28 20:48:00
乡愁,Nostalghia,1983,小西天,2023-12-28 19:00:00,2023-12-28 21:06:00
红色沙漠,Red Desert,1964,小西天(2),2023-12-29 18:30:00,2023-12-29 20:27:00
夜以继日,Asako I & II,2018,百子湾,2023-12-29 19:00:00,2023-12-29 20:59:00
鸦片战争,The Opium War,1997,小西天,2023-12-29 19:00:00,2023-12-29 21:33:00
奥兰多,Orlando,1992,小西天,2023-12-30 10:30:00,2023-12-30 12:03:00
三只猴子,Three Monkeys,2008,小西天,2023-12-30 13:00:00,2023-12-30 14:46:00
欢乐时光,Happy Hour,2015,百子湾,2023-12-30 13:30:00,2023-12-30 18:48:00
野梨树,The Wild Pear Tree,2018,小西天,2023-12-30 15:30:00,2023-12-30 18:38:00
钟无艳,Wu Yen,2001,小西天,2023-12-30 19:20:00,2023-12-30 21:23:00
偶然与想象,Wheel of Fortune and Fantasy,2021,百子湾,2023-12-30 19:20:00,2023-12-30 21:21:00
宇宙探索编辑部,Journey to the West,2023,小西天,2023-12-31 13:30:00,2023-12-31 15:28:00
末路狂花,Thelma & Louise,1991,小西天,2023-12-31 16:10:00,2023-12-31 18:19:00
驾驶我的车+天使爱美丽,Drive My Car+Amelie,2021,小西天,2023-12-31 19:00:00,2024-01-01 00:00:00
