name,englishName,year,cinima,playTime,endTime
红色沙漠,Red Desert,1964,百子湾,2023-05-21 18:40:00,2023-05-21 20:37:00
杨门女将,Women Generals of the Yang Family,1960,小西天(2),2023-05-23 18:30:00,2023-05-23 20:54:00
月升中天,The Moon Has Risen,1955,小西天,2023-05-23 19:00:00,2023-05-23 20:42:00
奶牛,Cow,2021,小西天(2),2023-05-24 18:30:00,2023-05-24 20:03:00
母亲,Mother,1949,小西天,2023-05-24 19:00:00,2023-05-24 20:41:00
革命家庭,A Revolutionary Family,1960,百子湾,2023-05-24 19:00:00,2023-05-24 20:41:00
小妈妈,Little Mom,2021,小西天(2),2023-05-25 18:30:00,2023-05-25 19:42:00
白日焰火,"Black Coal, Thin Ice",2014,小西天,2023-05-25 19:00:00,2023-05-25 20:45:00
路边野餐,Kaili Blues,2015,小西天(2),2023-05-26 18:30:00,2023-05-26 20:20:00
潜行者,Stalker,1979,小西天,2023-05-26 19:00:00,2023-05-26 21:42:00
人约巴黎,Rendezvous in Paris,1995,百子湾,2023-05-26 19:00:00,2023-05-26 20:38:00
育蝇奇谭,Mandibles,2020,小西天,2023-05-27 11:00:00,2023-05-27 12:17:00
薄荷糖,Peppermint Candy,1999,小西天,2023-05-27 13:00:00,2023-05-27 15:10:00
偶然与想象,Wheel of Fortune and Fantasy,2021,百子湾,2023-05-27 13:30:00,2023-05-27 15:31:00
面包店的女孩+苏姗娜的故事,The Bakery Girl of Monceau+Suzanne's Career,1963,百子湾,2023-05-27 16:00:00,2023-05-27 17:18:00
平原上的夏洛克,Summer Detective,2019,小西天,2023-05-27 16:00:00,2023-05-27 17:38:00
女收藏家,The Collector,1967,百子湾,2023-05-27 18:00:00,2023-05-27 19:26:00
被嫌弃的松子的一生,Memories of Matsuko,2006,小西天,2023-05-27 19:30:00,2023-05-27 21:40:00
逃走的女人,The Woman Who Ran,2020,小西天,2023-05-28 11:00:00,2023-05-28 12:17:00
阿基里斯与龟,Achilles and the Tortoise,2008,小西天,2023-05-28 13:00:00,2023-05-28 14:59:00
慕德家一夜,My Night at Maud's,1969,百子湾,2023-05-28 13:30:00,2023-05-28 15:20:00
通讯员,Courier,1986,小西天,2023-05-28 15:40:00,2023-05-28 17:07:00
克莱尔的膝盖,Claire's Knee,1970,百子湾,2023-05-28 15:45:00,2023-05-28 17:30:00
雷曼兄弟三部曲,The Lehman Trilogy,2019,小西天,2023-05-28 18:00:00,2023-05-28 21:52:00
午后之爱,Love in the Afternoon,1972,百子湾,2023-05-28 18:00:00,2023-05-28 19:37:00
宝莲灯,The Magic Lotus Lantern,1959,小西天(2),2023-05-30 18:30:00,2023-05-30 19:51:00
定理,Theorem,1968,小西天,2023-05-30 19:00:00,2023-05-30 20:38:00
随心所欲,My Life to Live,1962,小西天(2),2023-05-31 18:30:00,2023-05-31 19:54:00
祝福,New Year Sacrifice,1956,小西天,2023-05-31 19:00:00,2023-05-31 20:38:00
苦菜花,Sow Thistle,1965,百子湾,2023-05-31 19:00:00,2023-05-31 20:40:00
